"name","address","phone","website","profileUrl","isPremiumMember"
"THE DUO GLOBAL","TEMA C12 , TEMA, GHANA, 00233","","","https://www.freightnet.com/profile/225265.htm","No"
"TRUKALL CARGO","Abosseyokai  , Accra, Ghana, 00233","","","https://www.freightnet.com/profile/197555.htm","No"
"Africa Container Shipping Ghana Limited","Jehovah Nissi House , Community 12, Tema, Greater Accra, 00233","","","https://www.freightnet.com/profile/147100.htm","No"
"GRAND HUB SERVICES LTD","Brijay Plaza Building, 1st Floor. rm 4 , Sakumono main road, Accra, Ghana, 233","","","https://www.freightnet.com/profile/129116.htm","No"
"Unitedicons Transport & Logistics Service(GH) Ltd","P. O. Box CS8792 Tema, Ghana , Off Michelle Street. C8, Tema, Ghana, 0233","","","https://www.freightnet.com/profile/102251.htm","No"
"GLOBEX CARGO LOGISTICS COMPANY LIMITED","BOX SQ 238 TEMA , -, TEMA, GHANA, 233","","","https://www.freightnet.com/profile/100824.htm","No"
"Integral Marine Ghana Limited","Room 20 Greenwhich Tower building Meridian Road  Tema Ghana , Shipping Agents, Freightforwarders, Launch boat rentals Haulage, Tema and Takoradi Ports, Ghana  Tema and Takoradi Ports, 45011","","","https://www.freightnet.com/profile/84572.htm","No"
"integral marine ghana limited","p.o.box aj alajo-accra , tema, accra, +233","","","https://www.freightnet.com/profile/85364.htm","No"
"CLIMAE SHIPPING AND TRADING LTD","BOX CO 3038 , Tema, Greater Accra, 233","","","https://www.freightnet.com/profile/51662.htm","No"
"SPEED WINGS INTL SERVICES","P.O. BOX GP 4904 ACCRA-CENTRAL,GHANA , P.O. BOX GP 4904 ACCRA-CENTRAL, ACCRA, Greater Accra, 23321","","","https://www.freightnet.com/profile/22039.htm","No"
