"name","address","phone","website","profileUrl","isPremiumMember"
"Maestro Logistics S.A","Ag. Spyridona 23, Piraeus, Greece, 18535","+306974173370","https://maestro-logistics.com/","https://www.freightnet.com/profile/249067.htm","Yes"
"Onitas Hellas","Agioriton Pateron 21 Str., Thessaloniki, Central Macedonia, 57001","+302310530126","http://www.onitas-hellas.gr/","https://www.freightnet.com/profile/52235.htm","Yes"
"ARIAN MARITIME SA","Filonos 133A, PIRAEUS, GREECE, 18536","2104170211","http://www.arianmaritime.gr/","https://www.freightnet.com/profile/169259.htm","Yes"
"UNION LOGISTICS SA","16, AKTI MOUTSOPOULOU STREET , PIRAEUS, ATHENS, GREECE, 18535","","","https://www.freightnet.com/profile/220822.htm","No"
"Nest LTD","Miltiadou 19 , Glyfada, Greece, 16675","","","https://www.freightnet.com/profile/263948.htm","No"
"Euromare Forwarding Ltd","6-8 Fragon str , Thessaloniki, 546 26","","","https://www.freightnet.com/profile/18597.htm","No"
"Thalassa Maritime Services & Logistics","VIKTOROS HUGO 14 , THESSALONIKI, GREECE, 54625","","","https://www.freightnet.com/profile/174141.htm","No"
"Red Lines Logistics Ltd","98 Kolokotroni Street , Piraeus, Attica, 18535","","","https://www.freightnet.com/profile/17834.htm","No"
"SKG Thessaloniki Cargo Services","21, Kountouriotou str , Thessaloniki, Center, 546 25","","","https://www.freightnet.com/profile/135778.htm","No"
"Planet Trans Int. Ltd","Veranzerou 30 , Athens, Attika, 10432","","","https://www.freightnet.com/profile/2445.htm","No"
"Cargo & Freight Services Ltd","26 October Street 90 , Porto Center Office 502, Thessaloniki, Greece, 54627","","","https://www.freightnet.com/profile/181816.htm","No"
"WTS Logistics","Ag.Dimitriou Str. 41 , Piraeus, Greece, 18546","","","https://www.freightnet.com/profile/249376.htm","No"
"Actimar Shipping Co.","18A Spyrou Labrou str. , Piraeus, Attiki, 18538","","","https://www.freightnet.com/profile/10196.htm","No"
"INTERWAYS SA","12 Etolikou street , Piraeus, Greece, 18545","","","https://www.freightnet.com/profile/218832.htm","No"
"AEGEAN SHIPPING AGENCY","7, Karatasou str. , THESSALONIKI, THESSALONIKI, 54626","","","https://www.freightnet.com/profile/170001.htm","No"
"Nivice","Thesis Kelia Kimi Evias , Kimi, Greece, 34003","","","https://www.freightnet.com/profile/232710.htm","No"
"AKTIS SHIPPING AND FORWARDING LTD","HATZIKYRIAKOU AVENUE 27-31 , PIRAEUS, ATTICA, 18538","","","https://www.freightnet.com/profile/184618.htm","No"
"LOADIT","Arhailogikoy Mouseioy 17 , Thessaloniki, Thessaloniki, 54640","","","https://www.freightnet.com/profile/225007.htm","No"
"Marinair Cargo Services Ltd","97, Akti Miaouli , Piraeus, Attica, 185 38","","","https://www.freightnet.com/profile/187592.htm","No"
"Tas Trans Ltd","Skra 4 Voula , Athens, Attika, 16673","","","https://www.freightnet.com/profile/4106.htm","No"
"L.G. TRANS Ltd.","113 Filonos Str. Piraeus Port , Piraeus, Piraeus, GR-18535","","","https://www.freightnet.com/profile/195118.htm","No"
"ΩRION FREIGHT","4-6 D. Gounari str. , Piraeus, Greece, 18531","","","https://www.freightnet.com/profile/172716.htm","No"
"BISTIS","57 TINOU STR , KYPSELI, ATHENS, ATTICA - GREECE, 11361","","","https://www.freightnet.com/profile/153420.htm","No"
"EXPRESS LINES D.A.","LEOF.DIMOKRATIAS82 , ASPROPYRGOS, GREECE, 19300","","","https://www.freightnet.com/profile/183210.htm","No"
"Euro Container Services","Grigoriou Lampraki 44 , Kifisia, Greece, 14561","","","https://www.freightnet.com/profile/151694.htm","No"
"Aegean Shipping Agency L.P.","7, Karatasou str. , Thessaloniki, GREECE, GR54626","","","https://www.freightnet.com/profile/8416.htm","No"
"CARGO INTERLAND","L.PORFYRA 32 , PIRAEUS, GREECE, 18539","","","https://www.freightnet.com/profile/154849.htm","No"
"GATE LINE","Kalochori - Thessaloniki , Thessaloniki, Greece, 54628","","","https://www.freightnet.com/profile/160026.htm","No"
"CARGO TRACKERS","ΑΚΤΗ ΙΩΝΙΑΣ 36 , ΚΕΡΑΤΣΙΝΙΟΥ, ΕΛΛΑΔΑ, 18755","","","https://www.freightnet.com/profile/158794.htm","No"
"T.P.S. GREECE S.A.","13, N. KOUNTOURIOTOU Str , THESSALONIKI, GREECE, 54625","","","https://www.freightnet.com/profile/86553.htm","No"
"Antips Cargo","26 Trikalon St. Ambelokipi  , 8 Kandanou St. Ambelokipi, Athens, Athens, 11526","","","https://www.freightnet.com/profile/149195.htm","No"
"VLP Hellas S.A.","Thesi Skarpa  , Aspropirgos, Attika, 19300","","","https://www.freightnet.com/profile/44511.htm","No"
"VENIERIS MARITIME S.A.","2 Navarinou , 4th Floor, Piraeus, Greece, 18531","","","https://www.freightnet.com/profile/146244.htm","No"
"PHOENIX ECTS LIMITED","Akti Miaouli 85 , PIRAEUS, ATTICA, GR-18538","","","https://www.freightnet.com/profile/140936.htm","No"
"Contact Air","El. Venizelou 6, Argyroupolis , Athens, Greece, 164 52","","","https://www.freightnet.com/profile/140131.htm","No"
"ARPA SA","10 KLM THESSALONIKIS-POLIGIROU , THERMI, THESSALONIKI, GREECE, 57001","","","https://www.freightnet.com/profile/136980.htm","No"
"Aektemar Forwarding Ltd","2 Andrianoupoleos Str. , Keratsini, Piraeus, Attika, 187 56","","","https://www.freightnet.com/profile/648.htm","No"
"Eurotrans Group of Companies","Sotiros Dios 13-15 , Piraeus, Attika, 18535","","","https://www.freightnet.com/profile/10320.htm","No"
"IONIAN NAVIGATION&MANAGEMENT Co Ltd","7,IRODOU ATTIKOU STR , KIFISIA,ATHENS, GREECE, 14561","","","https://www.freightnet.com/profile/136125.htm","No"
"Cargo Group Services","5-7 Filellinon str , Piraeus, GREECE, 18536","","","https://www.freightnet.com/profile/133641.htm","No"
"FREEMAR LIMITED","7 SOTIROS DIOS STR. , PIRAEUS, GREECE, 18535","","","https://www.freightnet.com/profile/48798.htm","No"
"Gold Star Shipping SA","Notara Str.117 , Piraeus, Greece, 18535","","","https://www.freightnet.com/profile/110963.htm","No"
"EASTERN TRANS","215, SALAMINOS AVENUE , KERATSINI, GREECE, 18756","","","https://www.freightnet.com/profile/131714.htm","No"
"Volos International Transports Ltd","1, K. Kartali Street , Volos,","","","https://www.freightnet.com/profile/6856.htm","No"
"Fairplay SA","5, Koleti St. , , Thessaloniki, 54627","","","https://www.freightnet.com/profile/20008.htm","No"
"Eurotrans Logistics","FILONOS 97-99 , Piraeus, ATTIKI, 18535","","","https://www.freightnet.com/profile/8437.htm","No"
"Phoenix Ects Limited","Akti Miaouli 85 , Piraeus, Attika, 18538","","","https://www.freightnet.com/profile/11740.htm","No"
"Horizon co","4, Salaminos str , , Thessaloniki,","","","https://www.freightnet.com/profile/8663.htm","No"
"olympias sa","agias sophias , athens, greece, 19300","","","https://www.freightnet.com/profile/92472.htm","No"
"CARGO TRUST MON.I.K.E","KATOUNI 3 , THESSALONIKI, Greece, 54625","","","https://www.freightnet.com/profile/114165.htm","No"
"STEFANIDIS SPECIAL TRANSPORT","21 Artis str. , Thessaloniki, Greece, 56334","","","https://www.freightnet.com/profile/110746.htm","No"
"MEDAL LINES (GREECE)","Venizelou 4 , , Thessaloniki, 54624","","","https://www.freightnet.com/profile/51474.htm","No"
"FREEMAR LIMITED","7 SOTIROS DIOS STREET , Piraeus, Attika, 185 35","","","https://www.freightnet.com/profile/52528.htm","No"
"EasyCargo ltd","Prousis 1, Keratsini , Piraeus, Greece, 18755","","","https://www.freightnet.com/profile/107891.htm","No"
"HELLENIC & INTERNATIONAL TRANSPORT SYSTEMS LTD","13 Vakchou street , Vari, Attica, 16672","","","https://www.freightnet.com/profile/86241.htm","No"
"Orphee Beinoglou International Forwarders SA","Orphee Beinoglou Building , Syngrou Ave Kallithea, Athens, 176 74","","","https://www.freightnet.com/profile/785.htm","No"
"Atlantis S.A Freight forwarding","43, 26th October Str , Thessaloniki, Greece, 54627","","","https://www.freightnet.com/profile/100926.htm","No"
"cargoline ltd","N.Maltezou 39 , Athens, Greece, 17455","","","https://www.freightnet.com/profile/97855.htm","No"
"CARGO LINE HELLAS","N.MALTEZOU 39 str. , Athens, GREECE, 17455","","","https://www.freightnet.com/profile/97938.htm","No"
"ESH Int'l Transport","25, Dimokratias , 35, Evripidou, Athens, Piraeus, 18755","","","https://www.freightnet.com/profile/96713.htm","No"
