"name","address","phone","website","profileUrl","isPremiumMember"
"Agencia Globo Link, S.A.","7a, Ave 3-33 Zona 9, 6o. Nivel Oficina 601, Guatemala, 01009","+502 2362-3350","http://www.aglotesa.com/","https://www.freightnet.com/profile/18550.htm","Yes"
"Pro Logistics","7ma Avenida 05-45 Zona 4 Edificio XPO1 Oficina 701, Guatemala, Guatemala. , Ciudad de Guatemala, Guatemala, 01004","","","https://www.freightnet.com/profile/256225.htm","No"
"Star Logistics","15 Calle 10-69 Zona 11 , Ciudad de Guatemala, Guatemala, 01011","","","https://www.freightnet.com/profile/163609.htm","No"
"Consolidacion Integrada S.A. (COINTEGRA)","24 Av. 41-81 Zona 12 , Calzada Atanasio Tzul, Interior Almacenadora Integrada, Guatemala, 01012","","","https://www.freightnet.com/profile/14793.htm","No"
"GUATE SHIPPING GROUP","4ta calle 21-17 Sector B2 Ciudad San Cristobal zona 8 de Mixco , Guatemala, Guatemala, 01057","","","https://www.freightnet.com/profile/54707.htm","No"
"Expressway Logistics","EXPRESSWAY LOGISTICS INC 1818 SW 1ST AVE APT 1010  , MIAMI, FLORIDA, 33129","","","https://www.freightnet.com/profile/247098.htm","No"
"Smart Logistica","km 31 ruta al Atlantico El progreso , Guatemala, Guatemala, 22023","","","https://www.freightnet.com/profile/243563.htm","No"
"ASSUKARGO","15 Avenida 18-78 Zona 13 , Guatemala, Guatemala, 01013","","","https://www.freightnet.com/profile/210691.htm","No"
"Uniforce Logistics Efficiency","6 Avenida 20-25 Zona 10 Edificio Plaza Maritima Of 9-4 Guatemala City, Guatemala C.A. 01010 , Guatemala City, Guatemala City, 01010","","","https://www.freightnet.com/profile/168209.htm","No"
"GRUPO INTERLOGIXS TRANSPORTE Y LOGISTICA, S.A.","Boulevard Los Proceres 24-20 Zona 10 , Zentro Plaza, Bodega #8, Guatemala, Guatemala, 01010","","","https://www.freightnet.com/profile/107405.htm","No"
"Star Logistics","9 Avenida 19-30 Zona 11 , Mariscal, Ciudad de Guatemala, Guatemala, 01011","","","https://www.freightnet.com/profile/158442.htm","No"
"VYN Logistics S.A","11 Calle 0-48 Zona 10, Ofc. 501 , Edificio Diamond Business Center, Guatemala, Guatemala, 00010","","","https://www.freightnet.com/profile/117653.htm","No"
"Translogistica S.A.","C. G. Las Margaritas , Diag. 6, 10-01, Torre 2, Nivel 8, Guatemala, Guatemala, 01010","","","https://www.freightnet.com/profile/95019.htm","No"
"Americargo Express S.A.","Calzada Atanasio Tzul,22-00 zona 12 , Empresarial Cortijo II,Bodega 311, Guatemala City, Guatemala, .","","","https://www.freightnet.com/profile/107291.htm","No"
"CORPOMEGA","Avenida La Castellana 9-53 Zona 9, Guatemala City, Guatemala. , Guatemala, Guatemala, 01009","","","https://www.freightnet.com/profile/62688.htm","No"
"Ale Cargo Guatemala","Av. Las Américas 20-47, Zona 14 , , Guatemala, 00000","","","https://www.freightnet.com/profile/19021.htm","No"
"CPS Transportation & Logistics","13 calle 15-38 zona 13 edificio CPS Guatemala , Gautemala, Guatemala, 01013","","","https://www.freightnet.com/profile/64619.htm","No"
"Agencia General Logistica, S.A.","5av. 4-08 Panorama Ciudad San Cristobal Z.8 Mixco , Guatemala, Guatemala, 01057","","","https://www.freightnet.com/profile/84428.htm","No"
"GTLogistics Internacional","10a. Avenida 00-80 Prolongación Norte el Tabacal, Barrio San Lorenzo , Amatitlán, Amatitlán, 502","","","https://www.freightnet.com/profile/45481.htm","No"
"Nexo Logistics","7a. Avenida 14-44, Zona 9 Edificio La Galería Of.15A , Guatemala, Guatemala, 01009","","","https://www.freightnet.com/profile/59541.htm","No"
"GTLogistics Internacional","10 Ave. 00-80 Prolongacion Norte , Barrio San Lorenzo, El Tabacal, Guatemala, Guatemala, 01063","","","https://www.freightnet.com/profile/45639.htm","No"
"Postal Box SA","Avenida las Americas 20-47 zona 14 , , Guatemala, 01014","","","https://www.freightnet.com/profile/12913.htm","No"
"C&s Logistica","19 Avenida 6-88 Zona 7 , Kaminal Juyu I, Guatemala, Guatemala, Guatemala, 01007","","","https://www.freightnet.com/profile/21905.htm","No"
"Consolidados 807, S.A.","25 Ave 31-23 zona12 , guatemala, 502,","","","https://www.freightnet.com/profile/7467.htm","No"
"Trans-Inter","9a. Calle A 12-75 , zona 11, Guatemala, 01011","","","https://www.freightnet.com/profile/11699.htm","No"
"E - Solution","4ta. Ave. 2-124 zona 1 de mixco col. lomas de portugal , , Guatemala,","","","https://www.freightnet.com/profile/22768.htm","No"
"GTLogistics Internacional","10a. Avenida 00-80 Prolongación Norte el Tabacal , Barrio San Lorenzo, Amatitlán, Amatitlán, 502","","","https://www.freightnet.com/profile/45519.htm","No"
"Transoceanicas, S.A.","Av. Reforma 9-55 Zona 10 , Edificio Reforma 10, Office# 708, Guatemala City, Guatemala, 01010","","","https://www.freightnet.com/profile/121242.htm","No"
