"name","address","phone","website","profileUrl","isPremiumMember"
"Air Courrier & Shipping","227 Impasse Rodrigue  , Ave John Brown, Port-au-Prince/Haiti, Ht6110","","","https://www.freightnet.com/profile/59958.htm","No"
"Kijeas Transport and International Services","5 Building Nick Plaza Tabarre 36 Tabarre Haiti , Port-au-Prince, Haiti, HT6110","","","https://www.freightnet.com/profile/133253.htm","No"
"HAITI LOGISTICS AND FORWARDING","Avenue Marie Jeanne Cite de l\'exposition  , Port au Prince, Haiti, HT6120","","","https://www.freightnet.com/profile/140770.htm","No"
"Kijea's Transport & International Services","5, Rue Darguin Irish Village Petion-Ville , Port-au-Prince, Haiti, HT6110","","","https://www.freightnet.com/profile/133306.htm","No"
"Haiti Logistics Solution","Building Garden Plaza Apt#4 , Delmas, Haiti, 6120","","","https://www.freightnet.com/profile/139890.htm","No"
"JECSLO INTERNATIONAL",": 2 Angle Ave Martin Luther kings & , PORT AU PRINCE, HAITI, 509","","","https://www.freightnet.com/profile/110932.htm","No"
"DROOMPAC","#52, Rue Salomon Varreux , Route de l'Aeroport, Port-au-Prince, Haiti, 0000","","","https://www.freightnet.com/profile/58411.htm","No"
"Air Sea & land Worldwide Logistics","# 19 Delmas 95 , Petion-ville, Port-Au-Prince, Haiti, HT-6140","","","https://www.freightnet.com/profile/107144.htm","No"
"ADEKO Enterprises & Co","Blvd. Harry Truman, Ave.  , Marie-Jeanne # 33, Port-au-Prince, Ouest, 6120","","","https://www.freightnet.com/profile/14578.htm","No"
"Sky & Earth Shipping Worldwide S.A","15, Clercine 14, Gerald Bataille , Port-au-Prince, HAITI,","","","https://www.freightnet.com/profile/64178.htm","No"
"Agriplex","Santo 17-19 , Port Au Prince, Centre, WI","","","https://www.freightnet.com/profile/3273.htm","No"
"Ets. J.B. Vital S.A.","P.O. Box 87 , Port-Au-Prince, Centre, 06110","","","https://www.freightnet.com/profile/9204.htm","No"
"AI SHIPPING INTERNATIONAL","Apt 1, SONADIM BUILDING, Rte de l'Aeroport , PORT AU PRINCE, OUEST, HT509","","","https://www.freightnet.com/profile/64708.htm","No"
"Air Sea & Land Worldwide Logistics","Delmas 28 A , delmas, ouest, ht6130","","","https://www.freightnet.com/profile/133268.htm","No"
