"name","address","phone","website","profileUrl","isPremiumMember"
"Apex Logistics","Edif. Santa Anita # 307, 1ra calle, 6ta ave, S.E., San Pedro Sula, Honduras, 504","(504) 9990-5735","http://www.apexhn.com/","https://www.freightnet.com/profile/65258.htm","Yes"
"HL WORLDWIDE LOGISTICS, S. DE R. L.","(HQ OFFICE) RES. CASA MAYA II, 2-3 AVE 12 CALLE N.O., BLOQUE J, #6B, SAN PEDRO SULA, CORTES, 21102","+504-3172-6786","https://hlworldwidelog.com/","https://www.freightnet.com/profile/181732.htm","Yes"
"Northstar International Transport S. de R.L.","Edificio Copemh, Col. Las Colinas, 2do Nivel, No. 3 y 4, Blvr. Centroamerica, Tegucigalpa Honduras C.A. , Tegucigalpa, Fco. Morazan, Tegucigalpa., 11101","","","https://www.freightnet.com/profile/55718.htm","No"
"CBM INTL FREIGHT S DE RL","Bo. Guamilito 2 Calle 7 Avenida  , Nor Oeste, San Pedro Sula, Cortes, 21101","","","https://www.freightnet.com/profile/260653.htm","No"
"REMACO S DE RL","Shipping agents representatives authorized by Honduran customs, Whatsapp +504 9886-7430 , https://www.linkedin.com/company/remaco-hn/, San Pedro Sula, Honduras, 21101","","","https://www.freightnet.com/profile/218027.htm","No"
"PANGEA Logistics","Col. Los Angeles , esquina opuesta Pharma , Edificio Pangea , Tegucigalpa, Tegucigalpa, Francisco Morazan, 11101","","","https://www.freightnet.com/profile/140428.htm","No"
"Grupo McCOS","COL. 15 DE SEPTIEMBRE 2DA CALLE CASA #11 , TEGUCIGALPA, None - Non-US/Canada, 11101","","","https://www.freightnet.com/profile/186086.htm","No"
"HL WORLDWIDE LOGISTICS","VILLAVIEJA  , KM 4.5  CARRETERA A ORIENTE, Tegucigalpa, francisco morazan, 11101","","","https://www.freightnet.com/profile/181734.htm","No"
"Dacotrans de Centroamerica","Barrio Suayapa 9 calle entre 10 y 11 avenida  , San pedro Sula, Honduras, 21103","","","https://www.freightnet.com/profile/166102.htm","No"
"Translogic Internacional","Col. San Carlos , Bl.25 # 23, Choloma, Cortes, 504","","","https://www.freightnet.com/profile/132533.htm","No"
"NOVA CARGO EXPRESS","Bo. SUYAPA 2 Street 16 Ave. SO. EDIFICIO LAS MERCEDES LOCAL No. 4 , SAN PEDRO SULA, CORTES, 21104","","","https://www.freightnet.com/profile/135760.htm","No"
"Advanced Shipping & Customs","24 ave 9 ca. Rio Piedras , San Pedro Sula, Honduras, 21104","","","https://www.freightnet.com/profile/86822.htm","No"
"Ale Cargo Ltd","col trejo 21 ave B 10-11 calle, S.O. #110 , San Pedro Sula, Cortes, 00000","","","https://www.freightnet.com/profile/17479.htm","No"
"Amos Cargo Shipping","Edificio Emporio, Barrio Guamilito , 7y8 calle 1 cuadra antes de Diario La Prensa, San Pedro Sula, Cortes, 504","","","https://www.freightnet.com/profile/101546.htm","No"
"JDE Cargo Express S. de R.L.","Bo. Rio de Piedras 6ta Calle 17-18 Avenida , Plaza Cibeles Local no. 1, San Pedro Sula, Cortes, 504","","","https://www.freightnet.com/profile/22108.htm","No"
"Grupo McCos","Col. 15 de Septiembre atras de , BGA Toncontin, Tegucigalpa,","","","https://www.freightnet.com/profile/6815.htm","No"
"Internacional Cargo S de R L","2 calle 8y9 ave  , Bo.Barandillas, San Pedro Sula, Cortes, 504","","","https://www.freightnet.com/profile/48331.htm","No"
"IS Logistic","Edificio Centroa America , Local # 14, Sector Calpules, San Pedro Sula, Cortes,","","","https://www.freightnet.com/profile/20941.htm","No"
"Servicios Industriales y Fabricacion de Maquinaria ""SIFMAQ""","Bo. Barandillas entre 11 y 12  calle Avenida 4ta junior, San Pedro Sula, Cortes  , San Pedro Sula, Cortes, 21101","","","https://www.freightnet.com/profile/64180.htm","No"
"QUICK SHIPPING HONDURAS","Ave Circunvalación 6ta calle S. O. , SAN PEDRO SULA, CORTES, 000510","","","https://www.freightnet.com/profile/59050.htm","No"
"Plus Logistics S. de R.L.","Col. Altiplano, 26 Calle , 20 y 21 Ave. S.O. No. 02, San Pedro Sula, Cortes,","","","https://www.freightnet.com/profile/21151.htm","No"
"Logistic International S. de R.L.","Barrio Guamilito 4 calle 4 y 5 avenida local #30 , San Pedro Sula, Cortes, 504","","","https://www.freightnet.com/profile/17753.htm","No"
"SETA","Colonia 15 de Septiembre , Bloque P, Casa # 6006., TEGUCIGALPA, Francisco Morazan, 504","","","https://www.freightnet.com/profile/13226.htm","No"
"TGD Honduras, S.A.","Colonia 15 De Septiembre B-I No. 1612 , Tegucigalpa, 1612","","","https://www.freightnet.com/profile/10676.htm","No"
"Honducargo, S. de R.L.","Col. Jardines del Valle 10 calle 3era Ave. bloque 8 V etapa , San pedro Sula, na, na","","","https://www.freightnet.com/profile/23228.htm","No"
"Fusion Freight","1001 Ave. Maximo Jerez , Tegucigalpa, Francisco Morazan, n/a","","","https://www.freightnet.com/profile/23721.htm","No"
"GSI, Grupo de Servicios Internacionales","Las Colinas 1806, Blvd. Francia, Bloque T1 , Tegucigalpa, Francisco Morazan,","","","https://www.freightnet.com/profile/24169.htm","No"
