"name","address","phone","website","profileUrl","isPremiumMember"
"Siberia Line Service Limited","RM1323, 13F, GOLDEN INDUSTRIAL BLDG, 16-26 KWAI TAK STREET, Kwai Chung, All Regions, 00000","34211195","https://www.siberialine.com/","https://www.freightnet.com/profile/248794.htm","Yes"
"Rainspeed logistics co., ltd","615, Yantai Environmental Protection Building, No.5 Xinyuan Road, Laishan，Yantai，Shandong Province , Laishan, Yantai, 246000","","","https://www.freightnet.com/profile/255844.htm","No"
"Synergy-Cargo Group Limited","WAREHOUSE-S LEVEL ONE  6 WING YIP STREET,, KWUN TONG, HONG KONG, 852","","","https://www.freightnet.com/profile/213782.htm","No"
"JNK LOGISTICS LIMITED","Unit E, 24/F Shield Industrial Centre, No. 84-92 Chai Wan Kok Street, Tsuen Wan. , HONG KONG, HONG KONG, HONG KONG","","","https://www.freightnet.com/profile/173404.htm","No"
"Linkswork Logistics Limited","RM 718, 7F, Blk B, Profit Ind. Bldg.,  No 1-15 Kwai Fung Crescent , Profit Ind. Bldg.,  No 1-15 Kwai Fung Crescent, Hong Kong, Hong Kong, 852","","","https://www.freightnet.com/profile/208032.htm","No"
"We World Express LTD","Unit 1408, 14th Floor, Magnet Place Tower 1, 77-81 Container Port Road, Kwai Chung, N.T, Hong Kong , xxx, China, xxx","","","https://www.freightnet.com/profile/167815.htm","No"
"SKY UNION CARGO COMPANY LIMITED","Flat J, 2/F, Southtex Building , 51 Tsun Yip Street, Kwun Tong, Kowloon, Hong Kong,","","","https://www.freightnet.com/profile/149262.htm","No"
"TOL - Trans Orient Logistics (HK) Ltd.","unit 1, 10/F., Global Gateway (HK), 168 Yeung Uk Road, Tsuen Wan, Hong Kong, China, nil","","","https://www.freightnet.com/profile/152195.htm","No"
"M9 logistics HK Limited","Room 302, 3/F, ""88"" Bldg. ,  88 Kwai Cheong Rd, NT , Hong Kong, Hong Kong, 5000","","","https://www.freightnet.com/profile/147974.htm","No"
"freight smarter co. ltd","1501, 1st freight smarter street , hong kong, hong kong, hk","","","https://www.freightnet.com/profile/130298.htm","No"
"capital freight services ltd","108 lok shan road, 6/floor Room B3 , Kowloon, China SAR, 852","","","https://www.freightnet.com/profile/98173.htm","No"
"Eagle-Trans Logistics Company Limited","Unit 2, 22/F., Wan Chun Industrial Centre,54 Tai Chung Road,Tsuen Wan , N.T, Hong Kong, 999077","","","https://www.freightnet.com/profile/97723.htm","No"
