"name","address","phone","website","profileUrl","isPremiumMember"
"Trinity International Freight Ltd","Flat A , 5/F , Wah Shun Industrial Building, No 4 , Cho Yuen Street , Yau Tong , KLN, Hong Kong,","+852 2349 7911","","https://www.freightnet.com/profile/9514.htm","Yes"
"Inter Pacific Express, Inc.    ( Inter Pacific Group Int'l Ltd )","USA :       507S Stoneman Ave, Unit A Alhambra,      CA91801, California,   USA.                          , HKG : 11/F Jing Ho Ind. Bldg., 78-84 Wang Lung St., Tsuen Wan, N.T., Hong Kong, Los Angeles; New York;, Hong Kong; Qingdao;, CA91801 / HK0000","+852-25469692 / + 1-626-282-9982","http://www.ipexpress.com/","https://www.freightnet.com/profile/153588.htm","Yes"
"HONG KONG ESENG INTERNATIONAL CO., LIMITED","No.27, 12F, Block I, Golden Industrial Bldg, Nos.16-26 Kwai Tak Street, Kwai Chung, N.T, HK, HONG KONG, CHINA, 999999","+85282875709","","https://www.freightnet.com/profile/260452.htm","Yes"
"CHINA E-CARGO LTD.","29-31F , THE GATEWAY , TOWER 5 , HARBOUR CITY , 15 CANTON ROAD, KOWLOON, HONG KONG, 00000","","","https://www.freightnet.com/profile/265885.htm","No"
"HIT LOGISTICS (SHENZHEN) CO.,LTD.","2908,Shenrun Building,1001 Shennan East Road, Luohu District, Shenzhen. , luohu, China, 518000","","","https://www.freightnet.com/profile/265016.htm","No"
"Sky Cargo Logistics Ltd","Unit 10, 14/F Mai Wo Ind Building, 90 Kwai Cheong Road, Kwai Chung, Hong Kong, -","","","https://www.freightnet.com/profile/162675.htm","No"
"Sea Global Line (HK) Ltd","Unit 1909, 19/F.,Global Gateway Tower, 63 Wing Hong Street, Cheung Sha Wan, Kowloon, Hong Kong, HONG KONG, CHINA, 999077","","","https://www.freightnet.com/profile/228138.htm","No"
"Free Trade Logistics Limited,","Flat 2001, 20/F, Multifield Centre , 426 Shanghai Street, Mong Kok, Hong Kong, HKG","","","https://www.freightnet.com/profile/191870.htm","No"
"Integrity Cargo Service Ltd.","Yip Fung Industrial Building , Kwai Chung, Hong Kong, nil","","","https://www.freightnet.com/profile/128580.htm","No"
"ZAZ Shipping HK Limited","Unit 2305, Metro Plaza Hing Fong Road, KWAI HING , KWAI CHUNG NEW TERRITORIES, NEW TERRITORIES, Hong Kong, 223","","","https://www.freightnet.com/profile/245568.htm","No"
"Team Logistics (HK) Ltd.","Workshop 05, 2/F, International Enterprise Center II , 73 Chai Wan Kok Street, Tsuen Wan, N.T., Hong Kong, Nil","","","https://www.freightnet.com/profile/136906.htm","No"
"Sinstar Global Limited","RM 1137 LIVEN HOUSE , 61 KING YIP ST, KUNT TONG, HONG KONG, 999999","","","https://www.freightnet.com/profile/262815.htm","No"
"Fast Cargo Solution","Unit A01, 10/Floor, Block A, East Sun Industrial Centre  , No. 16, Shing Yip Street, Kwun Tong, Kowloon, China, 999077","","","https://www.freightnet.com/profile/249569.htm","No"
"JOINT MERIT INT'L LOGISTICS LTD","FLAT 1, 9/F., BLOCK B, TEXACO ROAD IND CENTRE, 14-22 WANG LUNG STREET, TSUEN WAN, N.T., HONG KONG. , HONG KONG, HKSAR, XX","","","https://www.freightnet.com/profile/113493.htm","No"
"Win Sino Cargo (H.K) Ltd.","Flat I, 15/F, Block 1, Golden Dargon Ind Centre, 152-160 Tai Lin Pai Road, Kwai Chung, N.T, Hong Kong, HKG","","","https://www.freightnet.com/profile/186102.htm","No"
"Helin trading co limited","ROOM 182 BEVERLY HOUSE 93-107 LOCKHART ROAD WAN CHAI , WAN CHAI, hongkong, 999077","","","https://www.freightnet.com/profile/251188.htm","No"
"M & W CHINA LIMITED","RM608,GUANGSHEN BLDG.2023# SHENNAN  EAST ROAD,SHENZHEN,CHINA , Guangdong, shenzheng, 518000","","","https://www.freightnet.com/profile/258666.htm","No"
"X JETTY Co., Ltd. Guangzhou Branch","2001B, Greenland Center, 662 Huangpu Avenue, Tianhe District, Guangzhou, Guangdong, China , Guangzhou, Huangpu, 510630","","","https://www.freightnet.com/profile/254924.htm","No"
"WE CARRY PLUS COMPANY LIMITED","Rm14, 4F Blk A Hi-Tech Ind Ctr , 5-21 Pak Tin Par St Tsuen Wan, N.T., Hong Kong, 999077","","","https://www.freightnet.com/profile/153889.htm","No"
"DocShipper","Office C, 23 / F., COS Center, 56 Tsun Yip St, Kwun Tong, Hong Kong , Kwun Tong, hong kong, 999077","","","https://www.freightnet.com/profile/209811.htm","No"
