"name","address","phone","website","profileUrl","isPremiumMember"
"Eximlogic","Korányi köz 5., Pécel, Pest, 2119","+3670-248-9983","","https://www.freightnet.com/profile/162437.htm","Yes"
"GS Global Service Kft","Széchenyi ut. , 1, Körmend, Vas / Hungary, 9900","","","https://www.freightnet.com/profile/210225.htm","No"
"Airpharm Hungary Kft","Hungary Lorinci ut 61, Aerozone Logisztikai Park , Vecsés, Budapest, 2220","","","https://www.freightnet.com/profile/261762.htm","No"
"UNIVERSE ACCESS KFT","Kossuth Lajos Ut. 69 , Újlengyel, Hungary, 2724","","","https://www.freightnet.com/profile/211782.htm","No"
"Tensi Aviation Kft.","Komjádi Béla u. 1 , Budapest, Hungary, 1023","","","https://www.freightnet.com/profile/183604.htm","No"
"2hm Logistics Kft","Jászai Mari tér 5-6 , Budapest, Hungary, 1137","","","https://www.freightnet.com/profile/212553.htm","No"
"UNICO Logistics Kft.","Ulloi ut 206. Bldg B, office 430-434 , Budapest, Hungary, 1191","","","https://www.freightnet.com/profile/167168.htm","No"
"ONE LOG Hungary Kft.","Ferihegy Airport , Budapest, Hungary, H-1185","","","https://www.freightnet.com/profile/146606.htm","No"
"ITS Logistics Hungary Kft.","Almaskert u. 4. , Vecses, Pest megye, 2220","","","https://www.freightnet.com/profile/159802.htm","No"
"Global Freigh Services Ltd.","Üllői út 704/b , Budapest, Pest, 1185","","","https://www.freightnet.com/profile/91150.htm","No"
"RB Kereskedőház Kft","revay utca 7 , Budapest, Hungary, 1205","","","https://www.freightnet.com/profile/143798.htm","No"
"Hunicorn Kft","Szent László Tér 20 , Budapest, Hungary, 1102","","","https://www.freightnet.com/profile/140058.htm","No"
"Imex Trans","Szabadság u. 107. , Bajót, Hungary, H-2533","","","https://www.freightnet.com/profile/87025.htm","No"
"Intercargo Hungary Ltd","Szeremi ut 7 / B - 103 , , Budapest, 1117","","","https://www.freightnet.com/profile/22854.htm","No"
"Maurice Ward & Co. kft","2220 Vecsec Lorinci u. 61 , Airport Business Park, Budapest,","","","https://www.freightnet.com/profile/19589.htm","No"
"ILG Forwarding Kft","Kozdulo utca 2.  , Budapest, Hungary, 1186","","","https://www.freightnet.com/profile/19034.htm","No"
"UnitedShipping Hungary","Pf.1735 Bank Tower 7 , , Budapest, 1465","","","https://www.freightnet.com/profile/45003.htm","No"
"Aerosat","Frankhegy U.12 , , Budapest, H-1118","","","https://www.freightnet.com/profile/795.htm","No"
"BB-Transports Ltd.","Kossuth-Lajos-ut 66 , Marcali, Somogy, 8700","","","https://www.freightnet.com/profile/797.htm","No"
"Hungarocamion Rt.","Nagykõrösi út. 351. , H-1142, Po.Box 108, Budapest, 1239","","","https://www.freightnet.com/profile/2978.htm","No"
"Volán Tefu Company Group","Bogáncs U.1-3. , , Budapest, H-1151","","","https://www.freightnet.com/profile/4624.htm","No"
"Ares Hungaria Kft","Szilaj U. 19. , , Budapest, 1162","","","https://www.freightnet.com/profile/5649.htm","No"
"CD Cargo Kft","Dugonics u. 11 , , Budapest, 1043","","","https://www.freightnet.com/profile/11225.htm","No"
"IFS Hungary Ltd","Almaskert u. 4. , , Budapest, 2220","","","https://www.freightnet.com/profile/14249.htm","No"
"Unimasters Freight Xpress Kft","6 Europa utca , BILK Logistics Terminal, Budapest, 1239","","","https://www.freightnet.com/profile/23577.htm","No"
