"name","address","phone","website","profileUrl","isPremiumMember"
"Sree Venkateswarah Enterprises","No.2/2,Sacred Heart Road, Opp:St Antony's public School, bangalore, karnataka/India, 560036","0091-9886829450","","https://www.freightnet.com/profile/157234.htm","Yes"
"YASUDA LOGISTICS INDIA PVT LTD","9, ALAGENDRA TOWERS, AVINASHI ROAD, TIRUPUR, TAMILNADU, 641603","+919500432888","http://www.yasuda-soko.co.jp/","https://www.freightnet.com/profile/261998.htm","Yes"
"RE Logistics","283 Punjabi Mohalla , Tekhand Village, Okhla Phase 1, DELHI, 110020","","","https://www.freightnet.com/profile/265512.htm","No"
"WEBUP AVIMICRO PRIVATE LIMITED","Khasra No. 55 , Muradpuri, rewari, haryana, 123401","","","https://www.freightnet.com/profile/265294.htm","No"
"SJ IMPORTS AND EXPORTS","D3 CAMELLIA SOCIETY NEAR SAMSHAN , PUNE, MAHARASHTRA, 411040","","","https://www.freightnet.com/profile/264952.htm","No"
"United Xpress Service","119/2rt Prakash Nagar , Begumpet, hyderabad, telangana, 500016","","","https://www.freightnet.com/profile/250224.htm","No"
"glaraglobal","No 12  , Hebbal, Bengaluru, Karnataka, 560032","","","https://www.freightnet.com/profile/260336.htm","No"
"SOONEXT INDIA PVT LTD","M Floor, 107, Salzburg Square, Harrington  , Road, Chetpet, Chennai- 600031, India, tamil nadu, chennai, 600031","","","https://www.freightnet.com/profile/253795.htm","No"
"crystal agencies","201-A CENTER POINT , RING ROAD, Surat, Gujarat, 395007","","","https://www.freightnet.com/profile/263804.htm","No"
"Lavender Global pvt ltd","15/9 1st Floor, Kamala Ganesh Nager , wireless Road, Thiruchirapalli, Tamilnadu, 620007","","","https://www.freightnet.com/profile/263750.htm","No"
"Courier Dunia","Janakpuri, Delhi , Janakpuri, India, 110058","","","https://www.freightnet.com/profile/255860.htm","No"
"Teamleader logistics Pvt ltd","Adress comercial mall , Office no 224, Pune, Maharashtra, 411046","","","https://www.freightnet.com/profile/250504.htm","No"
"TAPROBANE AVIATION PVT LTD","1st Floor Kandamkulathy towers Cochin 682011 , Cochin, Kerala, 682011","","","https://www.freightnet.com/profile/260788.htm","No"
"ReliGo Logisitcs","Sector 63, Noida, Delhi NCR, India, 201301 , NOIDA, Uttar Pradesh, 201301","","","https://www.freightnet.com/profile/258999.htm","No"
"V R Logistics Pvt Ltd","155 venus house street number 09, jeevan nagar, focal point Ludhiana, new delhi, new delhi, 110037","","","https://www.freightnet.com/profile/259286.htm","No"
"ATB Cargo pvt Ltd","mahipalpur Extn , New Delhi, Delhi, delhi, 110037","","","https://www.freightnet.com/profile/21310.htm","No"
"ASD LOGISTICS","GAYATRI TOWER, S-16 , GREEN HILLS COLONY, HYDERABAD, TELANGANA, 500035","","","https://www.freightnet.com/profile/154241.htm","No"
