"name","address","phone","website","profileUrl","isPremiumMember"
"CHANCHAL CARGO INDIA PVT LTD","D /14 /105, CHITTARANJAN NAGAR V  , RAJAWADI, NEAR ONGC COLONY VIDHYAVIHAR EAST, MUMBAI, INDIA, 400077","","","https://www.freightnet.com/profile/181381.htm","No"
"Courier24x7","10/307, DDA Flats, Kalkaji,, New Delhi, Delhi, 110019","","","https://www.freightnet.com/profile/258716.htm","No"
"HINDEX LOGISTICS PVT LTD","INDIRA NAGAR , BANGLORE NORTH, BANGLORE, INDIA, 560038","","","https://www.freightnet.com/profile/224934.htm","No"
"Sarr Shipping And Logistics","H No 1203, Gali No 6, Mahipalpur, Near Hotel Om Paradise, New Delhi, Delhi, 110037","","","https://www.freightnet.com/profile/252119.htm","No"
"Shipdelight Logistics Technologies Pvt Ltd","402, Town Centre, 2, Andheri - Kurla Rd,  opposite Times Square Building, Mittal Industrial Estate, Marol, Andheri East, Mumbai, Maharashtra, 400059","","","https://www.freightnet.com/profile/250054.htm","No"
"2cloudglobal courier & cargo services","SN building , vizhinjam opposite sea port, neyatinkara, kerala, 695521","","","https://www.freightnet.com/profile/249921.htm","No"
"Airborne International Courier Services","309 Apollo Complex, R.K. Singh Marg, Parsi Panchayat Road, Old Nagardas Road, Mumbai, Maharashtra, 400069","","","https://www.freightnet.com/profile/133879.htm","No"
"Unique Air Express","130, Siddhivinayak Apartment , Shaniwar Peth, Pune, Maharashtra, 411030","","","https://www.freightnet.com/profile/143382.htm","No"
"Pranav vyas","8 chitrakute Society  , Nr Bharat Mata society, Ahmedabad, Gujarat, 382445","","","https://www.freightnet.com/profile/229950.htm","No"
"Perfekt Relocation &a Logistic Service","D-1/40 , Mayday cross road 3, Mumbai, Maharashtra/ India, 400101","","","https://www.freightnet.com/profile/213128.htm","No"
"Fly Bird International Couriers","Door no : 4/60/4/1 , Lawson's bay colony, Visakhapatnam, Andhrapradesh, 530017","","","https://www.freightnet.com/profile/226457.htm","No"
"Mondaymail Delivery Network Pvt. Ltd.","719A Unitech Arcedia , South City 2, Gurgaon, Haryana/ India, 121820","","","https://www.freightnet.com/profile/225055.htm","No"
"Hansraj Logistics Pvt Ltd","office No 123, Grohitam Premises Society Ltd, APMC Sector-19, Vashi, Navi Mumbai, Maharashtra/India, 400705","","","https://www.freightnet.com/profile/169321.htm","No"
"PS Logistics","Flat#301,Bldg No.145,Sunchan towers, 5th cross, Annasandrapalya, Bangalore, Karnataka/India, 560017","","","https://www.freightnet.com/profile/142323.htm","No"
"Sar Transport Systems Private Ltd.","504, Mansarowar 90,  Nehru place , New Delhi, Delhi, new Delhi, 110019","","","https://www.freightnet.com/profile/42588.htm","No"
"Friends enterprises courior service","Sandhu markeet , Opp delhi bakery, Faridkot, Punjab, 151203","","","https://www.freightnet.com/profile/217607.htm","No"
"S M GLOBAL LOGISTICS","201 A WING , BHAIRAVNATH COMPLEX, VIJAY NAGAR , URAN, Maharashtra, 400702","","","https://www.freightnet.com/profile/181733.htm","No"
"Quadsen Cargo","Calvary Road , Opposite Calvary social centre, Thrissur, Kerala, 680004","","","https://www.freightnet.com/profile/211033.htm","No"
"United Express","G-12, Sai Prasad Building, Street No. 7 , M.I.D.C., MUMBAI, maharastra, 400093","","","https://www.freightnet.com/profile/206812.htm","No"
"Airborne International Courier Services","309, Apollo Complex, R.K. Singh Marg,  Near Sona Udyog, Parsi Panchayat, Old Nagardas Road, Andheri East, Mumbai, Maharshtra, 400069","","","https://www.freightnet.com/profile/109000.htm","No"
