"name","address","phone","website","profileUrl","isPremiumMember"
"BLUE WAVE SHIPPING","DOORNO.11/414C, KUTTEPARAMBIL COMPLEX,P.T JACOB ROAD, THOPPUMPADY, COCHIN -682005, DOORNO.11/414C, KUTTEPARAMBIL COMPLEX,P.T JACOB ROAD, THOPPUMPADY, COCHIN -682005, Ernakulam, Kerala, 682005","09847070764","http://www.bluewaveshipping.in/","https://www.freightnet.com/profile/264685.htm","Yes"
"SUSWASHIS CLEARING AND FORWARDING AGENCY","SHIV CHAMBER A WING OFFICE NO 517, PLOT NO21, SECTOR 11, CBD BELAPUR, NAVI MUMBAI, India, 400614","+919867802429","http://www.suswashis.com/","https://www.freightnet.com/profile/251081.htm","Yes"
"World Cargo Logistics","140, Citi of Joy, Ecstasy business Park JSD Rd, Mulund west Mumbai, Mumbai, Maharashtra, 400080","+919699758888","http://wclogistic.in/","https://www.freightnet.com/profile/159424.htm","Yes"
"CHENNAI SHIPPING INDIA","228/200 Thambu Chetty Street , chennai, TAMIL NADU, 600001","","","https://www.freightnet.com/profile/186940.htm","No"
"Rishishwar Logistics Pvt","Galaxy Blue Sapphire , Uttar Pradesh, Greatar Noida west, Uttar Pradesh, 201009","","","https://www.freightnet.com/profile/264140.htm","No"
"7 ACE EXIM LLP","12, PART A, Commercial Shopping Complex POCKET 4 MAYUR VIHAR PHASE 1 , Delhi, Delhi, 110091","","","https://www.freightnet.com/profile/263566.htm","No"
"HND Freight & Logistics","Metropolis tower, Office no: 202 Business bay , Business Bay, Dubai, 0000","","","https://www.freightnet.com/profile/260979.htm","No"
"Excel Maritime & Logistics Pvt.Ltd","No 5A/96E, First Floor, Caldwell Colony Main Road,Tuticorin - 628002 , TUTICORIN, TAMIL NADU, 628003","","","https://www.freightnet.com/profile/261907.htm","No"
"SAARVIN CUSTOM CLEARANCE","OFFICE NO.5 ,FIRST FLOOR, GRAM PANCHAYAT, NO.1/4/63-5, AMRUT KRUPA BUILDING, JAWAHAR, CHOCK, MUNDRA, Kachchh, Gujarat, 370421 , Mundra, Gujarat, 370421","","","https://www.freightnet.com/profile/262249.htm","No"
"KARVA GLOBAL LOGISTICS PVT LTD","60-A-15, MCD Flat, Sarai Kaley Khan , New Delhi, New Delhi, New Delhi, 110013","","","https://www.freightnet.com/profile/261341.htm","No"
"MRK LOGISITICS","41-234/1,SANJAYPURI COLONY,JAGATHGIRI GUTA , HYDERABAD, India, 500037","","","https://www.freightnet.com/profile/133965.htm","No"
"Sky Fly trucking","1900 Polaris Parkway Suite 450 Columb , Columbus, OH, 43240","","","https://www.freightnet.com/profile/255672.htm","No"
"FREEDOM SHIPPING AGENCY","2G/117A KOKKUR MAIN ROAD , RAJIVE NAGER WEST, TUTICORIN, TAMILNADU, 628008","","","https://www.freightnet.com/profile/257804.htm","No"
"Geeta Shipping And Clearing Services Pvt Ltd","701 B,  Centre Point Andheri - Kurla Rd, near Kohinoor Hotel, J B Nagar, Andheri East,, Mumbai, Maharashtra, 400059","","","https://www.freightnet.com/profile/249798.htm","No"
"Confreight Maritime Private Limited","17, SHREE RAM PLAZA, FOURWAY, LANE ROAD, Pipavav, GUJARAT, 365560","","","https://www.freightnet.com/profile/255315.htm","No"
"P.S.CARGO SERVICES","604, PADMA TOWER-1, RAJINDRA PLACE, NEW DELHI, NEW DELHI, Delhi, 110008","","","https://www.freightnet.com/profile/255309.htm","No"
"Cargo Carriers","No 807 8th Floor Shah Prima , Plot 13 Sector 2 Kharghar, Navi Mumbai, Maharashtra, 410210","","","https://www.freightnet.com/profile/86539.htm","No"
"BEST SHIPPING & CLEARING AGENCY PVT LTD","5M SKANDA  , 122 ,5TH MAIN, BANGALORE, INDIA, 560043","","","https://www.freightnet.com/profile/250932.htm","No"
"Fairdeal Customs House Agent Private Limited","2 CHURCH LANE , 2ND FLOOR, ROOM NO 201, KOLKATA, INDIA, 700091","","","https://www.freightnet.com/profile/169040.htm","No"
"SILVER WINGS C AND F SERVICES","21, Shreeji Plaza , Ground Floor, Plot No.24, Nerul (East),Navi Mumbai 400 706, MAHARSHTRA INDIA, 400 706","","","https://www.freightnet.com/profile/250255.htm","No"
"vayudoot impex pvt ltd","386/2, street no.2  mahipal pur , new delhi, new delhi, india, 110075","","","https://www.freightnet.com/profile/248442.htm","No"
"Nischay Logistics","202 Matushree Apartment, Sir M. V.Road , Near Natraj Rustomjee Complex, Andheri East, Mumbai - 400069 , Mumbai, India, 400069","","","https://www.freightnet.com/profile/247560.htm","No"
"Customs Unity","plot no. 7 , official colony , Rajahmundry, Andhra Pradesh,India, 533125","","","https://www.freightnet.com/profile/244448.htm","No"
"Customs Unity","plot no. 7 , official colony , Rajahmundry , Rajahmundry, Andhra Pradesh, 533125","","","https://www.freightnet.com/profile/244447.htm","No"
"SUNVIEW EXPRESS LOGISTICS PVT LTD","NO 24 N S GARDEN STREET , NEAR CLIVE BATTERY, CHENNAI, TAMILNADU / INDIA, 600001","","","https://www.freightnet.com/profile/197640.htm","No"
