"name","address","phone","website","profileUrl","isPremiumMember"
"TCF Global Logistics Pvt Ltd","204/205, Damji Shamji Industrial Complex, LBS Marg , Kurla West, Mumbai, 400070, Mumbai, India, 400070","","","https://www.freightnet.com/profile/257963.htm","No"
"Inaaya Logistics And Trading","First Floor, 11/109 , Aluva, Ernakulam, Kerala, 683578","","","https://www.freightnet.com/profile/261894.htm","No"
"G R INTERNATIONAL","49 3RD FLOOR  , RANI JHANSI ROAD, NEW DELHI, DELHI /INDIA, 110055","","","https://www.freightnet.com/profile/229181.htm","No"
"ORIENT MARINE LINES PVT LTD","49, RANI JHANSI ROAD , NEW DELHI, INDIA, 110055","","","https://www.freightnet.com/profile/96156.htm","No"
"AR Overseas","Hans plaza, Kotla Mubarak Pur , Delhi, India, 110003","","","https://www.freightnet.com/profile/246692.htm","No"
"Orient Marine Lines Pvt. Ltd","49 Rani Jhansi Road , New Delhi, Delhi, 110055","","","https://www.freightnet.com/profile/3133.htm","No"
"Schenker India Pvt Ltd","Building No. 8C, 12th Floor, DLF Cyber City , Phase II, Gurgaon – 122002, Haryana, India, Gurgaon, Haryana, 122002","","","https://www.freightnet.com/profile/156839.htm","No"
"Parulekars Shipping Pvt Ltd","Royal Industrial Easte , wadala, Mumbai, Maharashtra, 400081","","","https://www.freightnet.com/profile/107049.htm","No"
"Siddhartha Logistics Co. Pvt. Ltd","43 Chitrakoot Building, 230A, A. J. C. Bose Road, Opp. Minto Park, Kolkata, West Bengal, 700020","","","https://www.freightnet.com/profile/18697.htm","No"
"R.E. Rogers India Pvt. Ltd.","1, Commercial Complex , Pocket H &amp; J, Sarita Vihar, New Delhi, Delhi, 110 040","","","https://www.freightnet.com/profile/16720.htm","No"
"infodriveindia","E-2,3rd Floor, Kalkaji Main Road, New Delhi, India , Delhi, India, 110019","","","https://www.freightnet.com/profile/93810.htm","No"
