"name","address","phone","website","profileUrl","isPremiumMember"
"SKYPORT EXIM CORP PRIVATE LIMITED","Rajiv Gandhi Road,Old Mahabalipuram Road,Kottiwakkam , 111,Ground Floor, CHENNAI, Tamil Nadu, 600096","","","https://www.freightnet.com/profile/263675.htm","No"
"Shams Logistics","Ground Floor, Nano Wing , Haware Fantasia Bussiness Park, mumbai, Maharashtra > Greater Mumbai, 400703","","","https://www.freightnet.com/profile/256794.htm","No"
"SHREE BALAJI EXIM INTERNATIONAL","2365-A, SECTOR-3, FARIDABAD-121004 , FARIDABAD, Haryana, 121004","","","https://www.freightnet.com/profile/255804.htm","No"
"Sravanthi Transport","nellore , kavali, andhra, 524201","","","https://www.freightnet.com/profile/253707.htm","No"
"Logistics Solutions","Dynasty Business Park  , Andheri East, Mumbai, India, 400059","","","https://www.freightnet.com/profile/250604.htm","No"
"Qureshi Cold Chain","19-2-294  , Doodh Bowli, Hyderabad, Telangana, 500064","","","https://www.freightnet.com/profile/249144.htm","No"
"Logistic Integrator","1, Krushnakunj Appartment  , Maninagar, Ahmedabad, Gujarat, 380008","","","https://www.freightnet.com/profile/245012.htm","No"
"NILKANTH EXPORT IMPORT GLOBAL TRADE LLP","979, CHHATARIYA FALIYA GHEJ Ta. CHIKHLI , Di. NAVSARI State. GUJARAT INDIA, CHIKHLI, Gujarat, 396521","","","https://www.freightnet.com/profile/238615.htm","No"
"Exim","B/13 Jala ram park society ranoli vadodara  , Ranoli, Vadodara, 391350","","","https://www.freightnet.com/profile/246247.htm","No"
"Hinduja TMT","Vasanthanagar Colony Plot 868 , KPHB, HYDERABAD, Andhra Pradesh, 500085","","","https://www.freightnet.com/profile/241665.htm","No"
"Up express goods carrier","Gautam Buddha marg Lucknow  , Lucknow, Uttar Pradesh India, 226003","","","https://www.freightnet.com/profile/238908.htm","No"
"Rk Enterprises","302,ms estates A Block  , Ms estates, nizampet, hyderabad, telangana, 500090","","","https://www.freightnet.com/profile/231306.htm","No"
"Prerna Impex","Kanchanjanga , Plot 20 sector 11, Navi Mumbai, Maharashtra/India, 400709","","","https://www.freightnet.com/profile/211069.htm","No"
"AMK impex and trading","Shukrawarpeth , Kamankatti, Dharwad, India, 580001","","","https://www.freightnet.com/profile/197937.htm","No"
