"name","address","phone","website","profileUrl","isPremiumMember"
"Sreetrans Logistics India Pvt Ltd","B-1001, Kukreja Center , Sector -11 , CBD Belapur , Navi Mumbai, Navi Mumbai, Maharashtra, 400614","9821522002","","https://www.freightnet.com/profile/251168.htm","Yes"
"UNIYAL LOGISTICS PRIVATE LIMITED","PLOT NO 52 C, THIRD FLOOR, KRISHNA COMPLEX, HASANPUR, I.P EXTENSION, DELHI- 110092, INDIA, 110092","01143084582","","https://www.freightnet.com/profile/176288.htm","Yes"
"REINFORCE LOGISTICS PVT LTD","852.8th floor Galaxy Diamond Plaza, Gaur Chowk Greater Noida West, Noida west, India, 201308","9910501336","http://www.reinforcelogistics.com/","https://www.freightnet.com/profile/265303.htm","Yes"
"GR Logistics (India) Pvt Ltd","RZ#1B, Bhawani Kunj, Near Heritage School Behind D2, Vasant Kunj, New Delhi-110070, New Delhi, Delhi, 110070","91 11 41067702","http://www.grlogistics.net/","https://www.freightnet.com/profile/128363.htm","Yes"
"ALEXA INTERNATIONAL PVT LTD","39 GURU KRIPA COMPLEX, OPP ST. TERESA SCHOOL, NIWARU ROAD, JHOTWARA, JAIPUR, RAJASTHAN, 302012","7023921669","http://www.alexaipl.com/","https://www.freightnet.com/profile/158519.htm","Yes"
"GSL FREIGHT PVT. LTD.","A-8/C , WHITE HOUSE ROOM NO. 23, VISHWAKARMA COLONY, NEW DELHI, DELHI, 110044","+91 9818158025","http://www.gslfreight.com/","https://www.freightnet.com/profile/42207.htm","Yes"
"Zoomx Cargo & Logistics","RZ I-65-B/211, Street No. 8, West Sagarpur, New Delhi, Delhi, 110046","+91-8802395079","http://www.zoomxcourierlogistics.co.in/","https://www.freightnet.com/profile/249202.htm","Yes"
"UNOFINITY FREIGHT PVT LTD","14  NS ROAD , ROOM NO 311 , KOLKATA, Opposite Glinder House, Kolkata, West Bengal/India, 700001","03348496240","https://unofinity.in/","https://www.freightnet.com/profile/62695.htm","Yes"
"Fastways Global Logistics Pvt Ltd","1st Floor, Plot-237/727, Street No 7A, Block-L, Mahipalpur, New Delhi, Delhi India, 110037","9560495738","http://www.fastwaysglobal.com/","https://www.freightnet.com/profile/266028.htm","Yes"
"JC TRANS INDIA PVT.LTD","C 39, 3rd Floor, SECTOR 4, RADON BUILDING, NOIDA, INDIA, 201301","+919899040307","http://www.jctransindia.com/","https://www.freightnet.com/profile/191857.htm","Yes"
"O2D Freight Asia","HSR Layout, Bengaluru, India, 560102","+919739998944","https://o2d.asia/","https://www.freightnet.com/profile/220285.htm","Yes"
"ST XAVIYER LOGISTICS","111/55G & 55F, STATE BANK COLONY, TUTICORIN, TAMILNADU, 628002","9677627467","","https://www.freightnet.com/profile/231013.htm","Yes"
"TRIPLE V AIR & SEA SERVICES INDIA PVT LTD","TUNE TOWER , 1A, FIRST FLOOR, 32/318, THAMBU CHETTY STREET, PARRYS, CHENNAI, INDIA, 600001","9940072764","http://www.tvlgroup.co.in/","https://www.freightnet.com/profile/116867.htm","Yes"
"SUPER FREIGHT ( DELHI )","210, US COMPLEX, 120 MATHURA ROAD, OPPOSITE APOLLO HOSPITAL, NEW DELHI, DELHI, 110076","011-61357400","http://www.superfreight.co.in/","https://www.freightnet.com/profile/97462.htm","Yes"
"SYS SHIPPING & LOGISTICS PVT LTD","G-207, TOWER NO.2, RAILWAY STATION COMPLEX, CBD BELAPUR, NAVI MUMBAI, INDIA, 400710","+91 9819494443","http://www.sysshipping.com/","https://www.freightnet.com/profile/214477.htm","Yes"
"SRH LOGISTICS","NEW NO.5, OLD NO.4, BRAHMIN STREET, NEMALICHERRY, CHROMEPET, CHENNAI, TAMILNADU, 600044","09381053340","","https://www.freightnet.com/profile/208474.htm","Yes"
"OFS CARGO PVT. LTD","D/1 & C/6, Ground floor, Jayant Premises Co Op Society Ltd., Next to Cargo Complex, Sahar, Andheri (East), MUMBAI - 400 099, INDIA,","+91 9820220437 / +91 22 26829310","http://www.ofs.co.in/","https://www.freightnet.com/profile/65862.htm","Yes"
"Deep Focuz Logistics LLP","CC 61/2710 ,2nd Floor , Opp to Sangeeth Mahal , Chennai , Tamil Nadu, Cochin, Kerala, 682016","00 91 484 4864667 , 7994879440","https://deepfocuz.com/","https://www.freightnet.com/profile/185699.htm","Yes"
"BREKSAN OPC PRIVATE LIMITED","302 PP TRADE CENTER NSP PITAMPURA, PITAMPURA, DELHI, INDIA, 110034","8178206290","http://www.breksan.com/","https://www.freightnet.com/profile/227722.htm","Yes"
"NEZHA K LOGISTICS PRIVATE LIMITED","C27/23 DWARKA , G. NO. 122-123, CHAKAN, PUNE, MAHARASHTRA, INDIA, 410501","+919175127177","http://www.nezhaklogistics.com/","https://www.freightnet.com/profile/173363.htm","Yes"
"NNK Logistics","No 45, Ambedkar street , Meenambakkam, CHENNAI, Tamil Nadu, 600027","+918072782382","http://www.nnkglobal.com/","https://www.freightnet.com/profile/264803.htm","Yes"
"FK GLOBAL INDIA JABAL CARGO","LAXMI NAGAR DELHI-110092, DELHI, Delhi, 110092","+919810844774","http://www.jabalcargo.com/","https://www.freightnet.com/profile/259068.htm","Yes"
"SEED SEAOCEAN LINES PVT LTD","NEW NO 28 , 5TH FLOOR , SMJ PARRYS PLAZA, CHENNAI, TAMILNADU, 600001","914442159823","","https://www.freightnet.com/profile/244776.htm","Yes"
"Phoenix Logistics India Pvt Ltd","New # 40. Rajaji Salai, 2nd Floor, Chennai, Tamil Nadu, 600001","914443517000","http://phoenixlogistics.in/","https://www.freightnet.com/profile/105302.htm","Yes"
"DYER INTL LOGISTICS PVT. LTD. INDIA","E-14, OPP ORIENTAL BANK, IGI, INTERNATIONAL AIRPORT, MAHIPALPUR EXTN, NEW DELHI, INDIA, 110037","+91 9717312855  WhatsApp No.","http://www.dyerlogistics.in/","https://www.freightnet.com/profile/129572.htm","Yes"
"Multimodal Freight System Pvt Ltd","716B C wing, Dattani Plaza, Safedpool, Andheri-Kurla Road, Mumbai 400 072 India, Mumbai, India, 400072","6366157775","http://www.multimodal.org.in/","https://www.freightnet.com/profile/169269.htm","Yes"
"Logivia Logistics Solutions","B-511, 5th Floor, 119 Business Point, Near Sahar Air Cargo Complex, Andheri East, Mumbai, Maharashtra, 400099","09820102229","http://www.logivialogistics.com/","https://www.freightnet.com/profile/230342.htm","Yes"
