"name","address","phone","website","profileUrl","isPremiumMember"
"Tarangya","santacruz, mumbai , Santa Cruz, india, 400054","","","https://www.freightnet.com/profile/262508.htm","No"
"Axiometrix","Godhbundar, Thane , Mumbai, Maharashtra, 400610","","","https://www.freightnet.com/profile/256405.htm","No"
"Softlink Global","301-304 Satellite Silver Building , Mumbai, India, 400059","","","https://www.freightnet.com/profile/246175.htm","No"
"Softlink Global","Marol, Andheri , Andheri, India, 400097","","","https://www.freightnet.com/profile/243736.htm","No"
"Intelli Infotech Private Limited","No.5/302A, First Floor, Madha Koil Street , Okkiyampettai, Thoraipakkam, Chennai, India, 600097","","","https://www.freightnet.com/profile/229356.htm","No"
"EDILINK Solutions Pvt Ltd","The Ithum, A-40, #512 & 512A, Sector 62, Noida , Noida, Uttar Pradesh, 201301","","","https://www.freightnet.com/profile/65439.htm","No"
"eBMS","New No. - 42 / Old No. - 04, 3rd Floor, 2nd Line Beach, Chennai - 600 001.C , Chennai, Tamilnadu, 600001","","","https://www.freightnet.com/profile/224075.htm","No"
"TLPL INTEGRATED SHIPPING SERVICES PVT LTD","NO.52,BASEMENT, Dr.RADHAKRISHNAN SALAI, MYLAPORE, CHENNAI , CHENNAI, INDIA, 600004","","","https://www.freightnet.com/profile/193162.htm","No"
"Fresa Technologies Pvt Ltd","42/57-Bharathi Nagar Main Road , Pallavaram, Chennai, Tamilnadu, 600043","","","https://www.freightnet.com/profile/87093.htm","No"
"Quantum-Bso Tech Pvt Ltd","4008, Hal 2nd Stage , 100 ft Road, Indira Nagar, Bangalore, Karnataka, 560038","","","https://www.freightnet.com/profile/12004.htm","No"
"FreightSphere","#107, Brigade Arcade, brigade metropolis , Mahadevapura Post, Garudacharpalya, Bengaluru, Karnataka, 560048","","","https://www.freightnet.com/profile/170979.htm","No"
"Haytrans India Ltd","402-403, Pragati's Devika Tower , 6, Nehru Place, New Delhi, Delhi, 110019","","","https://www.freightnet.com/profile/16155.htm","No"
"Enterprise System Solutions Pvt. Ltd.","C2, Sector – 1 , Noida, Uttar Pradesh, India, 201301","","","https://www.freightnet.com/profile/162128.htm","No"
"Softlink Global","606 Wellington Business Park , Andheri Kurla Road, Mumbai, India, 400059","","","https://www.freightnet.com/profile/128014.htm","No"
"I CODE TECHNOLOGIES PVT LTD","23/7 1 st Cross CSI Compound  lal Bhagh Road , Bangalore, Karnataka, 560027","","","https://www.freightnet.com/profile/43904.htm","No"
"Neosoft Technologies","#1, 5th A Block , Koramangla, Bangalore, Karnataka,","","","https://www.freightnet.com/profile/6118.htm","No"
"Softlink Logistic Systems Pvt. Ltd","15/17, Samhita Complex, Jivan Silk MIlls Lane , Off Andheri - Kurla Road, Andheri (E), Mumbai, Maharashtra, 400072","","","https://www.freightnet.com/profile/11155.htm","No"
"BlueQuanta Technologies Pvt Ltd","No 31, Vivekanandar Street , T.Nagar, Chennai, Tamil Nadu, 600017","","","https://www.freightnet.com/profile/10273.htm","No"
"iInterchange Systems Pvt Ltd","VS&B Niketan, Y-50 (New number 8), 9th street, Anna Nagar, Chennai, Tamil Nadu, 600040","","","https://www.freightnet.com/profile/103943.htm","No"
"RAG Technologies","Cochin , Cochin, India, 685611","","","https://www.freightnet.com/profile/103531.htm","No"
"I Code Technologies Pvt Ltd","23/7 1 St Cross , Csi Compound , Lal Bhagh Road  , Bangalore, Karnataka, 640027","","","https://www.freightnet.com/profile/21692.htm","No"
"Kainaaz Infotec","Old Oriental Building , 1st Floor  65 M.G  Road  Flora Fountain, Mumbai, Maharashtra, 400023","","","https://www.freightnet.com/profile/17974.htm","No"
"Four Soft Ltd","5Q1 A2, Cyber Towers, Hitec City, Madhapur, Hyderabad, Andhra Pradesh, 500033","","","https://www.freightnet.com/profile/9150.htm","No"
"IntellSys","# 23/7, Christha Krupa, CSI Compound, Ist Cross , Lal Bagh Road, Bangalore, Karnataka, 560027","","","https://www.freightnet.com/profile/12191.htm","No"
"Hypergistics Computing Solutions","C-17 Mugappair Industrial Estate , Padi Pudunagar, Chennai, Tamil Nadu, 600037","","","https://www.freightnet.com/profile/10270.htm","No"
"Genesis Online Technologies P. Ltd","727, Navjivan Society Bldg. No.3 , Lamington Road, Mumbai, Maharashtra, 400 008","","","https://www.freightnet.com/profile/11265.htm","No"
"Software Associates Information Tech. P. Ltd","6/1238-F, KRS Commercial Complex , Cherooty Road, Calicut, Kerala, 673032","","","https://www.freightnet.com/profile/12520.htm","No"
"VelTech Systems","Unit of Siva Computer , 36,Swamy Sannathy, Sankarankovil, Tamil Nadu, 627756","","","https://www.freightnet.com/profile/16159.htm","No"
"ESSPL","Enterprise System Solutions (P) Limited, Infocity Bhubaneswar, Orissa - 751024 , Bhubaneswar, India, 751024","","","https://www.freightnet.com/profile/104363.htm","No"
