"name","address","phone","website","profileUrl","isPremiumMember"
"Vals Freight Lines Pvt Ltd.","Mahaavir Icon, B Wing, Office Number: 405Plot No 3, Sector 15, CBD Belapur,Navi Mumbai, Maharashtra 400614 , Navi Mumbai, Maharshtra, 400614","","","https://www.freightnet.com/profile/263795.htm","No"
"SROMPL","150ft Ring Road , Wings Business Bay, Rajkot, INDIA, 360004","","","https://www.freightnet.com/profile/259844.htm","No"
"Citrus Freight","91springboard , 6th Floor Trifecta Building, Bangalore, Karnataka, 560048","","","https://www.freightnet.com/profile/258014.htm","No"
"TRANSHIPMENTS AVIATION","8/2132 , Gujarathi Road, Cochin, Kerala, 682002","","","https://www.freightnet.com/profile/227796.htm","No"
"Atharva Logistics Pvt Ltd.","At Digodhe Uran , Navi Mumbai, Maharashtra, 410206","","","https://www.freightnet.com/profile/251630.htm","No"
"Global Vision Shipping Agencies India Pvt Ltd","Office no A458  4th Floor Balaji Bhavan , SECTOR 11 , CBD BELAPUR, Select, Maharashtra, 400614","","","https://www.freightnet.com/profile/245755.htm","No"
"Network Airline Services","Room No. 226, Exports Building, Cargo Complex, IGI Airport, New Delhi, Delhi, 110037","","","https://www.freightnet.com/profile/120230.htm","No"
"MGM Global Air P. Ltd.","206 Sahar Cargo Estate, JB Nagar , Andheri East, Mumbai, Mumbai, India, 400099","","","https://www.freightnet.com/profile/214040.htm","No"
"Logistics express","2570 b block  , Street no 5 sgm.nagar, Faridabad, Haryana, 121001","","","https://www.freightnet.com/profile/205677.htm","No"
"ARROW EXIM CONSULTANTS","1104, AKASHDEEP BUILDING , BARA KHAMBA ROAD, NEW DELHI, Delhi, India, 110001","","","https://www.freightnet.com/profile/174578.htm","No"
"CYBASE CARGO","Chennai , Chennai, Tamilnadu, 600001","","","https://www.freightnet.com/profile/107339.htm","No"
"Subhash Transport Corporation","25, G.T. Road, Clock Tower , Ghaziabad, U.P/ Ghaziabad, 201001","","","https://www.freightnet.com/profile/104534.htm","No"
"Shanti Transport Service","Bhoir street, Nr. saisadguru Apt. , Davle Nagar, Thane, India, 400606","","","https://www.freightnet.com/profile/98170.htm","No"
"Vinod Shankar","""Kustubham"" Puzhakulankara , Kapalikulankara, Taliparamba, India, 670141","","","https://www.freightnet.com/profile/55392.htm","No"
"TD Oceantech Logistics & Shipping Co.","67A, PRATAPADITYA ROAD, 4th FL., Marine Centre Campus, Marine Street, Sec-11, Vashi, New Mumbai-400703, Kolkata, WEST BENGAL, 700026","","","https://www.freightnet.com/profile/99438.htm","No"
"Sharp Logistics Pvt Ltd","19 a/b 2nd floor, Sucheta niwas , 285, S.B.S Rd, Mumbai, Maharashtra/India, 400001","","","https://www.freightnet.com/profile/81498.htm","No"
"CARGOALLINE LOGIX","43 Sovabazar Street , 2nd floor , kolkata, kolkata, West Bengal/india, 700005","","","https://www.freightnet.com/profile/52496.htm","No"
"SOVIKA AIRLINE SERVICES","Dynasty Business Park , Andheri, Mumbai, Maharashtra, 400059","","","https://www.freightnet.com/profile/63639.htm","No"
"Arrkay Tranship Forwarders Pvt Ltd","#116/4,""Alaka Mansion"",  Flat No 1-1,Outer Ring Road, Bangalore, Karnataka, India, 560043","","","https://www.freightnet.com/profile/56279.htm","No"
"Aman Logistics","204, 2nd Floor, Aum Corner , Opp UTI Bank, Gandhidham, Gujarat, 370201","","","https://www.freightnet.com/profile/21303.htm","No"
