"name","address","phone","website","profileUrl","isPremiumMember"
"Bhavii Impotex","una , una, HIMACHAL PRADESH, 174303","","","https://www.freightnet.com/profile/182667.htm","No"
"PROGRESS OCEAN SHIPPING PVT LTD","NO.6 PARKS CIRCLE, MOORES ROAD, CHENNAI, CHENNAI, TAMIL NADU, 600006","","","https://www.freightnet.com/profile/135450.htm","No"
"Bothra Metals & Alloys Pvt Ltd","37 Ramwadi  Room no 16 Kalbadevi Rd  , Mumbai, Maharashtra, 400002","","","https://www.freightnet.com/profile/19311.htm","No"
"san international","135, 200 feet inner ring road,, md, tamil nadu, 600110","","","https://www.freightnet.com/profile/56261.htm","No"
"ICC Worldwide","Lotus House , Off Andheri Kurla Road, Mumbai, India, 400072","","","https://www.freightnet.com/profile/102357.htm","No"
"Sapa Building System Pvt. Ltd.","302/303, Dheeraj Heritage Commercial Complex, S.V Road, Santacruz west, Mumbai, Maharashtra, India, 400054","","","https://www.freightnet.com/profile/100079.htm","No"
"ruchi soya industries","South tukoganj , Indore, Indore, madhaya pradesh, 452010","","","https://www.freightnet.com/profile/100025.htm","No"
"BSM Technologies Pvt. Ltd.","Plot No 29 , E.C.Extn., IDA , Kushaiguda, Hyderabad, INDIA, 500062","","","https://www.freightnet.com/profile/86981.htm","No"
"elyxir agency","plot 198 hyd india , hyderabad, andhra pradesh/india, 500016","","","https://www.freightnet.com/profile/56098.htm","No"
"Vastram Worldwide Pvt. Ltd.,","# 96 , Setor -15, Panhkula, india, 134113","","","https://www.freightnet.com/profile/53253.htm","No"
"akal overseas","room no.224,owpl,focal point ,dry port,ludhiana , ludhiana, ludhiana, panjab, 14101010","","","https://www.freightnet.com/profile/51360.htm","No"
"gsa logistics india","a-95,road no:2,near green palace hotel, 1st floor,2nd floor,3rd floor, mahipalpur, NEW DELHI, 110037","","","https://www.freightnet.com/profile/51041.htm","No"
"Ralco Synergy (P) Ltd","n-602, manipal Center , Dickenson Road, Bangalore, Karnataka, 560042","","","https://www.freightnet.com/profile/13841.htm","No"
"Eatas Enterprises","230 & 231, Plaza Centre , No 129, G.N. Chetty Road, Chennai, Tamil Nadu, 600006","","","https://www.freightnet.com/profile/17897.htm","No"
"Gadre Marine Export Pvt. Ltd","FP-1, MIDC , Mirjole Block, Ratnagiri, Maharashtra, 415 639","","","https://www.freightnet.com/profile/21238.htm","No"
"Perma Lube Private Limited","F-204, Dheeraj Presidency , M.G. Road, Kandivali-West, Mumbai, Maharashtra, 400067","","","https://www.freightnet.com/profile/22016.htm","No"
"Deborah Musicals","#3,Trustpuram, 2nd, Main Road , Kodambakkam, Chennai, Tamil Nadu, 600024","","","https://www.freightnet.com/profile/22589.htm","No"
"Shubham Logistics","202, 2nd Floor, Plot No.E-30/31 , Street No.17, Madhu Vihar, Patparganj, Delhi, Delhi, 110092","","","https://www.freightnet.com/profile/117084.htm","No"
