"name","address","phone","website","profileUrl","isPremiumMember"
"Kamat logistics and Relocation Pvt Ltd","7, Shree Siddhi vinayak Premises, Plot 26, Sector 10,  Navi Mumbai,, Airoli, MAHARASHTRA, 400708","","","https://www.freightnet.com/profile/263912.htm","No"
"Packers and Movers","Singapore Township , Dewas Naka, Indore, Madhya Pradesh, 453771","","","https://www.freightnet.com/profile/216818.htm","No"
"Ecostal removals","Block-N NXTN Plot no 24, Sector 110, New Palam Vihar, Gurgaon , Gurugram, Haryana, 122017","","","https://www.freightnet.com/profile/206712.htm","No"
"KAIRALI PACKERS AND MOVERS","NO-1,HILLSIDE MEADOWS,VIDHYARANYAPURA POST,M.S PALAYA,HESSERGHATTA ROAD,BANGALORE-560097 , BENGALURU, KARNATAKA, 560097","","","https://www.freightnet.com/profile/161031.htm","No"
"IGL Relocation","901, Vikas Centre, Dr. C. G. Road, Opp. Bombay Presidency Golf Club, Chembur (E) , Mumbai, Maharashtra, 400074","","","https://www.freightnet.com/profile/106690.htm","No"
"Mukta International Relocation","#32, Purna Nagar , Telco Road, Pune, India, 411014","","","https://www.freightnet.com/profile/96572.htm","No"
"Indraprastha Movers and Packers","H.No-50, Peer Wali Gali, Patparganj, New Delhi, Delhi, 110091","","","https://www.freightnet.com/profile/91034.htm","No"
"Indian Van Lines","D-204 Bhoomi Classic , Goregaon West, Mumbai, Maharashtra, 400064","","","https://www.freightnet.com/profile/11023.htm","No"
"Seven Seas Relocations Pvt Ltd","2470, 17th  Main, 2nd Cross , H.A.L. 2nd Stage, Bangalore, Karnataka, 560008","","","https://www.freightnet.com/profile/14591.htm","No"
"Crown Relocations","ESPEE IT Park,7th Floor , D.P. No - 5, NP, Chennai, Tamil Nadu, 600032","","","https://www.freightnet.com/profile/117620.htm","No"
"Crown Relocations","GAT No. 2329, Hissa No. A/2 , Ganga Retreat Road, Pune, Maharashtra, 412207","","","https://www.freightnet.com/profile/119806.htm","No"
"Crown Relocations","P.O. - Dankuni Coal Complex , Township, Dist. - Hooghly, Kolkata, West Bengal, 712310","","","https://www.freightnet.com/profile/121079.htm","No"
"Crown Relocations","No. 108 & 109 Babukhan Mall , Rajiv Gandhi Circle, Somajiguda, Hyderabad, Telangana, 500 082","","","https://www.freightnet.com/profile/127989.htm","No"
"Maxwell Packers And Movers","D 21 Pushp Shoping Center , Behind Hotel Mony, Narol Road Ahmedabad, Gujarat India, 382443","","","https://www.freightnet.com/profile/133179.htm","No"
