"name","address","phone","website","profileUrl","isPremiumMember"
"BLUE SEA FREIGHT SERVICE","56 A/1 TOOVIPURAM 10TH STREET , TUTICORIN, TAMILNADU, 628003","","","https://www.freightnet.com/profile/228485.htm","No"
"Network Shipping Services - India","No. 23, Coral Merchant Street, George Town , Chennai, Tamil Nadu, India - 6000, Chennai, Tamil Nadu, 600001","","","https://www.freightnet.com/profile/205508.htm","No"
"chitrakutshippingservices","15 braham samaj building plot no 106  , sector 8, gandhidham, india, 370201","","","https://www.freightnet.com/profile/151173.htm","No"
"ASEAN SHIPSTORES","No. 5, Grand Diamond Residence Tarmwe Tsp.,, Yangon, Myanmar, 01","","","https://www.freightnet.com/profile/148766.htm","No"
"LAL CHAND","New Delhi , delhi, delhi, 110001","","","https://www.freightnet.com/profile/22902.htm","No"
"Admiral Marine Services PVT Ltd","23 Moore Street , Chennai, Tamil Nadu, 600001","","","https://www.freightnet.com/profile/16430.htm","No"
"S.V.R.Marine  ( Ship Chandlers )","25-8-124,Near One Town Police Station , main Road, Visakhapatnam / Vizag, Andhra Pradesh, 530001","","","https://www.freightnet.com/profile/50417.htm","No"
"Globe Maritime","18/22 - K.K.B. ST. Ellis Road , Mount Road, 3rd Floor, Chennai, Tamil Nadu, 600002","","","https://www.freightnet.com/profile/17152.htm","No"
"Kandla Marine Works","D.B.Z.South.13/16 , Office No: 5  G.Floor, Gandhidham, Kutch, Gujarat, 370201","","","https://www.freightnet.com/profile/19878.htm","No"
"MS Logistics","59A/3B,SOUTH COTTON ROAD, OPP:KARAPETTAI BOYS SCHOOL, Tuticorin, Tamilnadu, 628001","","","https://www.freightnet.com/profile/86070.htm","No"
"POLAR MARITIME INDIA","D/202, GOKUL GALAXY , THAKUR COMPLEX, MUMBAI, INDIA, 400101","","","https://www.freightnet.com/profile/112715.htm","No"
