"name","address","phone","website","profileUrl","isPremiumMember"
"Logenix logistics Pvt Ltd","opposite Rajpath Rangoli road , Shilp Corporate park B-707 Seventh floor, ahmedabad, Gujarat, 380054.","","","https://www.freightnet.com/profile/265570.htm","No"
"EXIM Container Line Pvt.Ltd.","213, Mahinder Chambers, W.T.Patil Marg, Opp. Dukes factory, Mumbai, Maharashtra / India, 400071","","","https://www.freightnet.com/profile/264123.htm","No"
"Skylark Container Lines LLP","Saini Arcade, Office No. S11 , Plot No 25, Sector 8, Gandhidham, Gujarat, 370201","","","https://www.freightnet.com/profile/250770.htm","No"
"Transworld","D 301–305, Level 3, Tower II,Seawoods Grand Central, Plot No. R1, Sector 40, Nerul Node, Seawoods, Navi Mumbai, Maharashtra 400706, India , Address : Plot No. S 20119 Jebel Ali Free Zone (South) - Dubai, United Arab Emirates, Navi Mumbai, India,","","","https://www.freightnet.com/profile/224252.htm","No"
"Mehta Transport Corporation","617, 6th Floor, Best Business Park, Netaji Subhash Place, Pitam Pura , New Delhi, Delhi, 110034","","","https://www.freightnet.com/profile/257499.htm","No"
"Single line logistics","Kpa building,Gandhigram,Coimbatore  , Tamilnadu, Coimbatore, Tamilnadu, 641005","","","https://www.freightnet.com/profile/258096.htm","No"
"CARRYWINGS LINES PVT LTD","NO 6 AIR INDIA FLATS KIPAUK , CHENNAI, TAMILNADU, 600010","","","https://www.freightnet.com/profile/201087.htm","No"
"EVERGROW SHIPPING LINE","Door no 18, 2nd Floor North beach road , 3rd Line, Chennai, Tamil nadu, 600001","","","https://www.freightnet.com/profile/255979.htm","No"
"THE PRISM CONTAINER LINE INDIA","202 2NF FLOOR PLOT NO 314 WARD 12B , P&P PLAZA NEAR LIC BUILDING, GANDHIDHAM (KUTCH), GUJARAT, 370201","","","https://www.freightnet.com/profile/219978.htm","No"
"Coral Mars Oceanway logistics","1/322 -66  , PLOT NO.3, TUTICORIN, TAMILNADU, 628103","","","https://www.freightnet.com/profile/246301.htm","No"
"CAPER INDIA PRIVATE LIMITED","302, Ascot Center, Sahar Rd, next to Hilton Hotel, Andheri East, Mumbai, Maharashtra 400099 , 302, Ascot Center, Sahar Rd, next to Hilton Hotel, Andheri East, Mumbai, Maharashtra 400099, Mumbai, 27 - Maharashtra, 400099","","","https://www.freightnet.com/profile/248944.htm","No"
"ITAJAI SHIPPING LINES PRIVATE LIMITED","M56, M BLOCK, 9TH STREET,ANNANAGAR EAST , CHENNAI, TAMILNADU,  INDIA, 600102","","","https://www.freightnet.com/profile/180885.htm","No"
"TUTICORIN LOGISTICS P LTD","8-B, WORLD TRADE AVENUE , NEW HARBOUR ESTATE, TUTICORIN, INDIA, 628004","","","https://www.freightnet.com/profile/155752.htm","No"
"SAR TRANSPORT SYSTEMS PVT LTD","NEHRU PLACE  , DELHI, DELHI, 110019","","","https://www.freightnet.com/profile/148824.htm","No"
"DRJ  LOGISTICS INDIA PVT LTD","2/7 SAI DARSHAN , NEXT TO NISARG FARMHOUSE MOTHGAON TEKDI DOMBIVALI WEST, DOMBIVALI WEST, MAHARASHTRA, 421202","","","https://www.freightnet.com/profile/204148.htm","No"
"Star India Trans Logistics","132-Albert Fernandez,Chawl,Santacruz Highway Service,Road Marble Market, Navpada, Vile Parle East, Vile Parle, Maharashtra, 400099","","","https://www.freightnet.com/profile/197529.htm","No"
"MSK FREIGHT AND LOGISCTICS","OLD NO 225 NEW NO 218 , THAMBU CHETTY STREEY PARRYS, CHENNAI, TAMIL NADU, 600 001","","","https://www.freightnet.com/profile/111344.htm","No"
"Capeline Shipping India Pvt. Ltd.","Aerocity #1, NIBR Complex, 1022 , Jarimari, Sakinaka, Mumbai, Maharashtra, 400072","","","https://www.freightnet.com/profile/184961.htm","No"
"Balaji international","Shah bazar , Lal, GULBARGA, Karnataka india, 585101","","","https://www.freightnet.com/profile/183418.htm","No"
"KUTCH SHIPPING AGENCY PVT LTD","19/20, AJANTA COMMERCIAL CENTER  , ABOVE TITAN WORLD SHOWROOM, GANDHIDHAM , NR .PORT OF KANDLA & MUNDRA, GUJARAT, 370201","","","https://www.freightnet.com/profile/181762.htm","No"
"Sowmiya Shipping & Logistics Pvt Ltd.","No-22, 2nd street, Bank colony, MMC,, Chennai, Tamilnadu, 600051","","","https://www.freightnet.com/profile/177080.htm","No"
"Royal SeaTrans","Office No. 230, Manali Tower, Gandhidham,Kutch 370201, Manali Tower, India, 370201","","","https://www.freightnet.com/profile/156744.htm","No"
"Kin Lines and Logistics Pvt Ltd","130 1st Floor Chawla Complex , Sector 15 Plot 38, CBD BELAPUR, Maharashtra, 400614","","","https://www.freightnet.com/profile/155137.htm","No"
"AQUA NEREID","9th cross road,  Girinagar Housing Colony  , Panampilly Nagar, Ernakulam, Kochi, Kerala, 682020","","","https://www.freightnet.com/profile/157490.htm","No"
"Dacon Logistics (I) Pvt Ltd","44, 4th Floor, BBC Villa Complex,  65, Prakasam Salai, Broadway,  Chennai – 600108 , Chennai, India, 600108","","","https://www.freightnet.com/profile/63367.htm","No"
"EASTER SHIPPING & LOGISTICS INDIA","G-7 RANGOLI BUILDING , NEAR AIR CARGO COMPLEX, ANDHERI EAST, INDIA, 400099","","","https://www.freightnet.com/profile/146910.htm","No"
"TRANSWORLD GLOBAL LOGISTICS SOLUTIONS INDIA PVT. LTD.","410, 4th Floor, Amit Court, Behind Mangala Cinema Hall, Shivajinagar, Pune - 411005. India, Pune, Maharashtra / India, 411005","","","https://www.freightnet.com/profile/145844.htm","No"
"Logistica Innovations Pvt Ltd","Regus Platinum Techno Park, Level-13, Plot No - 17 & 18, Sector-30A, Vashi, Navi Mumbai  , Navi Mumbai, Mumbai, 400705","","","https://www.freightnet.com/profile/145804.htm","No"
"Wheel&Time Shipping Transport Logistics","Vatika Business Center, Supreme Busines6s Park, Hiranandani Gardens. Powai. Mumbai. 400 076. INDIA. , Mumbai, Maharashtra/India, 40007","","","https://www.freightnet.com/profile/145051.htm","No"
