"name","address","phone","website","profileUrl","isPremiumMember"
"Your Space Doctor","Your Space Doctor LLP 608, Lodha Supremus, New cuffe parade, Wadala Truck Terminal road, Wadala, Mumbai, Maharashtra 400037, India , Mumbai, Maharashtra, 400037","","","https://www.freightnet.com/profile/265388.htm","No"
"Golden Star Packers And Movers","Shop No D-11, New Stella Rd, opposite Ice Wine Shop, Prabhu Krupa Nagar, Suyog Nagar, Vasai West, Vasai-Virar, Maharashtra, 401202","","","https://www.freightnet.com/profile/262376.htm","No"
"AKL TRANSPORT","Hamapura road  , Biddadi, Bangalore, Karnataka, 562109","","","https://www.freightnet.com/profile/257719.htm","No"
"Horizon Industrial Parks Pvt Ltd","Floor 15, Tower 1, One World Center Lower Parel , Mumbai, Maharashtra, 400 013","","","https://www.freightnet.com/profile/242329.htm","No"
"Dynapak Packaging & Securing Solutions Pvt Ltd","119-A, Bommasandra Industrial Area  , Bangalore, Karnataka, 560099","","","https://www.freightnet.com/profile/234003.htm","No"
"Holisol Logistics Pvt Ltd","A-1, Cariappa Marg,  Sainik Farms, Gate No. 2 New Delhi , New Delhi, Delhi, 110062","","","https://www.freightnet.com/profile/193938.htm","No"
"Ecom express","H. No. 19-3-201/b/68,Achi Reddy Nagar,Jahanuma,falaknuma,hyd , Jahanuma, HYDERABAD, TELANGANA, 500053","","","https://www.freightnet.com/profile/211376.htm","No"
"Carryfast Logistics Pvt. Ltd.","66/1, 67/4/2, Lasudia Mori, DewasNaka Indore , Indore, Madhya Pradesh, 453771","","","https://www.freightnet.com/profile/208454.htm","No"
"KALKI PACKERS AND MOVERS","E/412 Comfort Heights New Jail Road , Bhopal, Madhya Pradesh, 462023","","","https://www.freightnet.com/profile/201742.htm","No"
"Spire Logistics India Pvt Ltd","C-1/58, 2ND FLOOR, ARDEE CITY, Gurugram, Gurugram, 122001","","","https://www.freightnet.com/profile/194511.htm","No"
"Showfreight Shipping India Pvt Ltd","A-49, Road No.4, New Delhi, Delhi, 110037","","","https://www.freightnet.com/profile/184356.htm","No"
"Packers Movers 24","Road No:1, Shed No 2, Sambhaji Nagar, Kondhwa , Pune, Maharashatra, 411044","","","https://www.freightnet.com/profile/171437.htm","No"
"BHARAT LOGISTICS","64/1, II STREET, ALMELAPURAM, CHENNAI, TAMILNADU, 600126","","","https://www.freightnet.com/profile/170662.htm","No"
"Honest Packers","188/6, Ray Bahadur Road ,New Alipur , Kolkata - 700053 , Kolkata, West Bengal, 700053","","","https://www.freightnet.com/profile/162678.htm","No"
"RIGHTWAYS PACKERS AND MOVERS","RIGHTWAYS HOUSE , BHARDHWAJ VATIKA, JAIPUR, RAJASTHAN, 302039","","","https://www.freightnet.com/profile/157513.htm","No"
"Patel Logistics And Packaging","Basistha chariali  , Bakarapara road, near sani mandir, Guwahati, Assam, 781029","","","https://www.freightnet.com/profile/154080.htm","No"
"Dhl Home Relocations Movers","B45 Puspak Tranament behind Mony , Hotel Isanpur Ahmedabad, Isanpur, Gujarat, 342443","","","https://www.freightnet.com/profile/147431.htm","No"
"Harsha International packers and Movers","Flat no 201, Badrirajunialyam , NAD KothaRoad, Adhrapradesh, India, 530027","","","https://www.freightnet.com/profile/103991.htm","No"
"SUPER PACKAGING COMPANY","SHOP NO.4,GARRY HOUSE,CHURCH PAKHADI ROAD NO.1 , SAHAR VILLAGE, MUMBAI, INDIA, 400099","","","https://www.freightnet.com/profile/114040.htm","No"
"1st Air CargoLogistics 9327719944","D-23 Pushp Tenament Behind Hotal Mony , Isanpur Narol, Ahmedabad, Gujarat, 382443","","","https://www.freightnet.com/profile/111342.htm","No"
"Regal Shipping & Marine Services Pvt. Ltd.","711, Vindhya Commercial Complex , Sector 11, CBD Belapur, Navi Mumbai, Maharashtra/India, 600614","","","https://www.freightnet.com/profile/96195.htm","No"
"Shainex Packers and Movers","D - 50 Old Palam Road , Sector -14 Dwarka, Dwarka, Delhi, 110075","","","https://www.freightnet.com/profile/91779.htm","No"
"Parekh Integrated Services P Ltd","117/3D & 3C, Padmavathi Garder, Numbal, Chennai, Tamilnadu / INDIA, 600077","","","https://www.freightnet.com/profile/86402.htm","No"
"hirenishaan","512 pandesara , surat, surat, AL, 394221","","","https://www.freightnet.com/profile/53776.htm","No"
"ALFA HALL","ARVIND NAGAR , KARWAR ROAD, OLD HUBLI, KARNATAKA, 580024","","","https://www.freightnet.com/profile/98660.htm","No"
