"name","address","phone","website","profileUrl","isPremiumMember"
"PT. NAWA AGUNG SEMESTA","Grand, Cibubur Country, Food Market 1 No..8 , Jl. Green Park Avenue, Cikeas Udik, Kec. Gn. Putri, Kabupaten Bogor, Jawa Barat, 16966","","","https://www.freightnet.com/profile/216959.htm","No"
"PT.NAWA AGUNG SEMESTA","Cibubur Country Grand FM 1 No.8   , Jl. Green Park Avenue, Cikeas Udik, Gunung Putri, Bogor Regency, West Java 16966, Kab. Bogor, Jawa Barat, 16966","","","https://www.freightnet.com/profile/216761.htm","No"
"PT. PANCA LAKSINDO EXPRESS","JL.KALIBATA UTARA II NO.26 , JAKARTA, INDONESIA, 12760","","","https://www.freightnet.com/profile/118115.htm","No"
"Deliveree Indonesia","Wisma Anugraha, 2nd Floor, Jl. Taman Kemang No 32B, Bangka, Mampang Prapatan, RT.14/RW.1 , Jakarta Selatan, Jakarta, 12730","","","https://www.freightnet.com/profile/153919.htm","No"
"Smart Unggul Cargo","Jl. Lapangan Kobra 11 Rt/Rw 006/01 Tambun, Bekasi , Pergudangan RA. PT. Avatar areal cargo Soekarno Hatta, Tangerang, Banten/ Indonesia, CGK","","","https://www.freightnet.com/profile/136068.htm","No"
"Pahala Express BSD City","Jl. Ciater Barat / Rawabuntu Raya No. 1 BSD City Serpong , Tangerang Selatan, Banten, 15318","","","https://www.freightnet.com/profile/92432.htm","No"
"PT BUANA BARU EXPRESS","Jln. Ahmad Yani No.45 , Medan, Sumatera Utara, 20178","","","https://www.freightnet.com/profile/85882.htm","No"
"GC Logistics","Mega Grosir Cempaka Mas P42 , Jl. Let Jend Suprapto, Jakarta Pusat, Jakarta, 10640","","","https://www.freightnet.com/profile/51822.htm","No"
"Total Global Transport Express PT","Komp. Citra Batam Block.D No.49 , Batam Center, Batam Island, Kepulauan Riau, 29431","","","https://www.freightnet.com/profile/15107.htm","No"
"Double Express Indonesia PT","Jl. Laksamana Bintan, Batamas Trikarsa Ekualita , Block.d No.2 Pasir Putih Districts, Batam Center, Batam Island, Kepulauan Riau Province, 29641","","","https://www.freightnet.com/profile/18079.htm","No"
"Pt. Gerak Persada Makmur","Perkantoran Grand Supomo , Jl. Prof.dr. Supomo No. 73 Kav. G, Tebet Jakarta, Indonesia, 12870","","","https://www.freightnet.com/profile/21036.htm","No"
