"name","address","phone","website","profileUrl","isPremiumMember"
"OPL Indonesia","Jl. Raya Ciangsana No.178, Ciangsana , Jawa Barat, Bogor, 16868","","","https://www.freightnet.com/profile/249227.htm","No"
"DORA CARGO","Metropolitan Estate # Gardenia Blok RB 07 , JL.Siliwangi KM 07 Narogong, Kota Bekasi, JAWA BARAT, 17117","","","https://www.freightnet.com/profile/212968.htm","No"
"PT.TRANS PRATAMA SEJAHTERA","JAKARTA GARDEN CITY LA SEINE BLOK F8 NO 12 , CAKUNG TIMUR, JAKARTA, INDONESIA, 13910","","","https://www.freightnet.com/profile/243912.htm","No"
"PT.NAM LAUTAN LOGISTIK MAS","JL JAGALAN 113C , SURABAYA , RUKO DUPAK MUTIARA BLOK F27,JL DUPAK NO.63 SURABAYA, SURABAYA, INDONESIA, 60179","","","https://www.freightnet.com/profile/184428.htm","No"
"Rabbani Expressindo","Jl mampang prapatan 2 Rt 09 Rw 03 no 35 , Jakarta selatan, Jakarta, Jakarta, 12790","","","https://www.freightnet.com/profile/186812.htm","No"
"PT. SERVISINDO GLOBAL ASIA","Jl. Juanda No.30A , Ruko Buisiness - Depok, Indonesia, 16418","","","https://www.freightnet.com/profile/172596.htm","No"
"PT Purna Mitra Bhakti","Jl. Gajayana no 30 malang , Jl Gayungsari no 48 surabaya, malang, indonesia, 65141","","","https://www.freightnet.com/profile/159079.htm","No"
"PT. Sentra Amanah ventura (SAV Logistik)","Is Plaza Floor 5, Suite 505 Jl.Pramuka Raya kav.150 Jakarta , Jakarta, Indonesia, 13120","","","https://www.freightnet.com/profile/145037.htm","No"
"PT. Zarkha Karya Utama","Jl. Gorontalo No. 9AA Tanjung Priok Jakarta Utara , DKI Jakarta, Indonesia, 14310","","","https://www.freightnet.com/profile/139419.htm","No"
"PT ANUGRAH SUMBER SEMBILAN","​Jl. Jend.Ahmad Yani No.2 Jakarta Timur 13210 , Gedung Perkantoran Pulomas (1) Gedung IV Lantai 2, Jakarta Timur, DKI Jakarta, 13210","","","https://www.freightnet.com/profile/136207.htm","No"
"Jorindo Sakti Utama PT","Head Office : Jl.Tanah Merdeka No.I ,Rambutan,Ciracas,Jakarta Timur , Branch : Jl.Cikoko Timur Raya No.34B,Pancoran,Jakarta Selatan, Jakarta, DKI Jakarta, 13830","","","https://www.freightnet.com/profile/23926.htm","No"
"PT. Mahesa Trans Utama","Jl. Kebon Bawang X No. 68A , Kebon Bawang, Tg. Priok, Jakarta Utara, Indonesia, 14320","","","https://www.freightnet.com/profile/82615.htm","No"
"pt.manunggal cargo","JL.RAYA SETU NO 80 B JAKARTA 13840 , jakarta, indonesia, 13840","","","https://www.freightnet.com/profile/62987.htm","No"
"PT.TRIPA GLOBAL LOGISTICS","Head office: Jl.cipinang asem raya no.30A , operasional. jl.enggano raya no.15A, jakarta timur, dki jakarta, 13650","","","https://www.freightnet.com/profile/92374.htm","No"
"Pasadena Surya Logistic, PT","Jl. A. Yani Kav. 66, Cempaka Putih , Jakarta Pusat, DKI Jakarta, Indonesia, 10510","","","https://www.freightnet.com/profile/52494.htm","No"
"LMBTrans PT","Jl. Ganggeng 3 no 30 Tg Priok , Jakarta, DKI Jakarta, 14330","","","https://www.freightnet.com/profile/22622.htm","No"
"PT.Rimo Transport Expressindo","Jl.Pedurungan Kidul III no.18, RT.03/RW.01,kel.Gemah kec.Pedurungan , Semarang, Indonesia, 50191","","","https://www.freightnet.com/profile/95696.htm","No"
"PT LINA cargo","Jl. Permata Hijau BB38, Pondok Hasanudin , Semarang, Jawa Tengah/ Indonesia, 50176","","","https://www.freightnet.com/profile/115137.htm","No"
