"name","address","phone","website","profileUrl","isPremiumMember"
"PT Eulogia Ekspres Internasional","Komplek Ruko Sentra Bisnis Pluit Blok B/11, Jl. Pluit Sakti Raya No. 28, Jakarta, DKI Jakarta, 14450","+62 21 3972 6216","https://eulogiainternational.com/","https://www.freightnet.com/profile/263930.htm","Yes"
"DIRECT TRANSPORT INDONESIA","JL.Kalimas Baru No.29, Surabaya, East Java, 60176, Indonesia","+62 877 5165 3777  ( WhatsApp )","https://www.direct-transport.co.id/","https://www.freightnet.com/profile/210841.htm","Yes"
"PT.MCI TRANS INTERNATIONAL","Jl.M.H. Thamrin No.12 Rt.002,  Kebon Sirih, Menteng, Jakarta Pusat, Indonesia, 10340","+6281368770929","http://www.mcitransint.com/","https://www.freightnet.com/profile/253976.htm","Yes"
"Anugerah Gema Nusantara","Jalan Sabeni No.30 RT 005 RW 02 Kalisari Pasar Rebo Jakarta Timur, Komplek Gading Bukit Indah Blok F No.6 Kelapa Gading Jakarta Utara, Jakarta, Indonesia, 13790","085179792436","","https://www.freightnet.com/profile/254250.htm","Yes"
"PT. NAY LOGISTIK INDONESIA","RUKO APARTMENT CENTER POINT , BLOK B, GF-46. JL. AHMAD YANI KAV.20, BEKASI, INDONESIA, 17141","+622124140808","http://www.naylogistik.com/","https://www.freightnet.com/profile/116046.htm","Yes"
"PTJAGADDHITA KARYA SARANA","PERUM. JL. ASABRI INDAH NO. D-02/01, RT 002, RW 001, JATILUHUR, JATIASIH, KOTA BEKASI,, JATIASIH, BEKASI, b","+62 811189624","","https://www.freightnet.com/profile/260756.htm","Yes"
"ARKA Isotrans","Sedayu City, Jl. Boulevard Raya Blok SCBRF No. 28A, Cakung Barat, Cakung, Jakarta Timur, Indonesia, 13910","+62 21 3886 5085","http://www.arkaisotrans.com/","https://www.freightnet.com/profile/261790.htm","Yes"
"PT. INTERNASIONAL FORTUNA EKSPRESINDO","JL Madukoro Komplek, Jl. Semarang Indah No.X/3, Tawangmas, Semarang Barat, Semarang City, Central Java, Indonesia, 50144","(024) 7612756","http://ifesrg.com/","https://www.freightnet.com/profile/229459.htm","Yes"
"SENA SATWIKA","RPX CENTER BUILDING, Jalan Ciputat raya no 99, Jakarta, Indonesia, 50123","+62 85641144278","http://www.rpx.co.id/","https://www.freightnet.com/profile/197830.htm","Yes"
"PT Pinggir Kali Utama","Gedung masindo lt 3 jl. Mampang prapatan jaya no.73A RT tegal parang, Mampang Prapatan kota adm. Jakarta selatan DKI jakarta, Mampang prapatan, Jakarta selatan, 12790","+6282211303789","http://pkulogistic.com/","https://www.freightnet.com/profile/257315.htm","Yes"
"PT. Putera Bahari Indojaya","Ruko Rose Garden I No. 51 RT.002/RW.017 Grand Galaxy City Jakasetia, Kota Bekasi 17148 Jawa Barat, Jakarta, west java, 17148","+62 21 29571245","https://puterabahari.net/","https://www.freightnet.com/profile/232794.htm","Yes"
"PT MENARA PERDANA ANUGERAH","Jalan Raya Kranggan Nomor 2, Desa/Kelurahan Jatiraden, Kec. Jatisampurna, Kota Bekasi, Provinsi Jawa Barat,, Bekasi, Indonesia, 17433","+62 811-9234-511","https://www.mpa.my.id/service","https://www.freightnet.com/profile/232114.htm","Yes"
"PT ADHIKA MAJU MANDIRI","Jalan Edam II no 15A, Tanjung Priok, Jakarta Utara, Jakarta, 14310","085959305602","https://www.ammancargo.co.id/","https://www.freightnet.com/profile/258150.htm","Yes"
"PT Rancangsemesta Transportindo","Jalan Melati No. 23N, Rawabadak Utara, Kecamatan Koja, Jakarta, DKI Jakarta, 14230","+62 (021) 4353159","http://www.rst-indonesia.com/","https://www.freightnet.com/profile/263755.htm","Yes"
