"name","address","phone","website","profileUrl","isPremiumMember"
"PT.RAHARJA SUKSES MANDIRI LOGISTICS-INDONESIA","JL.BINTARA RAYA IX NO.49 BEKASI , JL.PERUNGGU NO.48 JAKPUS, GEDUNG RSM BINTARA, INDONESIA/JAKARTA, 13640","","","https://www.freightnet.com/profile/120433.htm","No"
"PT. Trans Mahaka Interkontinental","12th Floor, Menara Cakrawala Unit 05A. Jl. M.H. Thamrin, Menteng, DKI Jakarta, Indonesia. Postal Code 10340 , Jakarta Pusat (Kota), DKI Jakarta, 10340","","","https://www.freightnet.com/profile/249187.htm","No"
"AREA5588","Jl. Parangkusumo 47B , SOLO, JATENG, 57147","","","https://www.freightnet.com/profile/108498.htm","No"
"PT. BETARI JAYA BERSAMA","Gedung 47, JL. Raya TB. Simatupang No.47 Tanjung Barat , Jakarta Selatan, DKI Jakarta, 12530","","","https://www.freightnet.com/profile/196825.htm","No"
"PT Garuda Trans Asia","Jl Pertokoaan Wisma Prima , Batam, Indonesia, 29432","","","https://www.freightnet.com/profile/175789.htm","No"
"PT Covanova Abadi Shiping","Komplek New Holiday Block A1 No. 09 , Sei Jodoh, Batu Ampar, Batam, Kepulauan Riau, 29453","","","https://www.freightnet.com/profile/184494.htm","No"
"PT.AMFIBI HANTU LAUT","Jl.Yos Sudarso, Fort Barat No. 39 ,  Jl.Yos Sudarso, Fort Barat No. 39, jakarta, Indonesia, 14320","","","https://www.freightnet.com/profile/136344.htm","No"
"PT.VENESA GEMILANG PRESTASI","RUKO TAMAN DUTA MAS BLOK BLOK J NO 6 , RUKO TAMAN DUTA MAS BLOK BLOK J NO 6, BATAM, INDONESIA, 294244","","","https://www.freightnet.com/profile/65448.htm","No"
"Falcon Logistics","Pucang jajar Utara 7 , Surabaya, Jawa Timur, 60282","","","https://www.freightnet.com/profile/65323.htm","No"
"PT. Premier Express","Komplek Manapahit Permai Blok A-23 , Jl. Majapahit No. 18-22, Jakarta, DKI Jakarta, 10160","","","https://www.freightnet.com/profile/89521.htm","No"
