"name","address","phone","website","profileUrl","isPremiumMember"
"Kayana Trucking Service","Jl.Satelit no.20 Denpasar , Denpasar, Bali, Indonesia, 80114","","","https://www.freightnet.com/profile/259285.htm","No"
"PT.Dora Kargo Kontena","Metropolitan Estate # Gardenia Blok RB 07 , JL.Siliwangi KM 07 Narogong, Kota Bekasi, JAWA BARAT, 17117","","","https://www.freightnet.com/profile/212480.htm","No"
"TAN Logistics","Jl Suci no 58, Susukan, Ciracas , Jakarta, Indonesia, 13750","","","https://www.freightnet.com/profile/244501.htm","No"
"Majapahit Logistics","Rungkut Harapan , Surabaya, Surabaya, East Java, 60293","","","https://www.freightnet.com/profile/239508.htm","No"
"DKK TRANSPORTATION","Pesona Metropolitan Estate Ruko Gardenia Blok RB07 , JL.Siliwangi Raya KM07 Narogong Raya, BEKASI, JAWA BARAT, 17117","","","https://www.freightnet.com/profile/224835.htm","No"
"felgra trans","pontianak , kalimantan barat, pontianak, indonesia, 78125","","","https://www.freightnet.com/profile/140437.htm","No"
"PT HIMA HITU INDONESIA CARGO","JAKARTA SELATAN , PASAR MINGGU, JAKARTA, INDONESIA JAKARTA SELATAN, 34321","","","https://www.freightnet.com/profile/167258.htm","No"
"PT. Caturmitra Adhikarsa Batara Transportindo","Komp. Pratama Green Apple , Jl. Sunu Blok CD 2 No. 3, Makassar, Sulawesi Selatan, 90223","","","https://www.freightnet.com/profile/161841.htm","No"
"PT. Serasi Logistics Indonesia","Graha Sera, Jl. Mitra Sunter Boulevard Kav. 90/C2 , Sunter Jaya, Tanjung Priok, North Jakarta, DKI Jakarta, 14350","","","https://www.freightnet.com/profile/141857.htm","No"
"PT. LINTAS JAYA KARGO","JL. SAMUDRA OXFORD. NO 18, KOJA JAKARTA-UTARA , JL. EDAM 2 NO, 34. TANJUNG-PRIOK JAKARTA-UTARA, JAKARTA-UTARA, JAKARTA, 14320","","","https://www.freightnet.com/profile/114928.htm","No"
"Pt.trans World Freight","Jl.raya Cakung Cilincing 188 , Jl. Tanjung Priok 29 / E-8 Lt.2, Jakarta, Dki Jakarta, 13910","","","https://www.freightnet.com/profile/19287.htm","No"
"PT. HIBA LOGISTIK","Jalan Raya Bekasi Timur Km. 17, Klender,, Jakarta Timur, Indonesia, 13250","","","https://www.freightnet.com/profile/97721.htm","No"
