"name","address","phone","website","profileUrl","isPremiumMember"
"PT NEXERA KARYA MANDIRI","Samboja Building, Jl. Bekasi Barat , RT.4/RW.2, Desa/Kelurahan Rawa Bunga, Jakarta Timur, DKI Jakarta, 13350","","","https://www.freightnet.com/profile/264078.htm","No"
"PT. Bahtera Citra kentjana","Jl. Raya kecapi no. 36B Jatirahayu pondok geude Bekasi 17441 , Jakarta indonesia, Indonesia, 17441","","","https://www.freightnet.com/profile/243939.htm","No"
"PT Malika Putra Logistik","Rukan The Avenue 8-129   , Jakarta Garden City, Jakarta Timur, Jakarta Timur, indonesia, 13910","","","https://www.freightnet.com/profile/191987.htm","No"
"PT.PRIMA JASALINDO NUSANTARA","Ruko Soho Jagakarsa  , Jl.Moch Kahffi II No,9 J, Jakarta Selatan, Indonesia/Jagakarsa Jakarta Selatan, 12620","","","https://www.freightnet.com/profile/203675.htm","No"
"PT MON BATEUNG MANDIRI SEMESTA","Jl.tembus kalimalang , Bintara, Bekasi, Indonesia, 17136","","","https://www.freightnet.com/profile/192676.htm","No"
"JASA IMPORT BORONGAN","Jl.Pendidikan Raya No.69 , Duren Sawit, DKI, Indonesia, 13440","","","https://www.freightnet.com/profile/145399.htm","No"
"PT. ARTHAMINDO KARGA INTERNATIONAL","IEC Building Suite 103 Jln. Jatinegara Barat No. 166H 13330 - Indonesia , -, Jakarta Timur, Indonesia, 13330","","","https://www.freightnet.com/profile/141133.htm","No"
"PT Pupuk Kujang","Perumahan Pupuk Kujang, D-7, Cikampek , Karawang, West Java/Indonesia, 41373","","","https://www.freightnet.com/profile/88150.htm","No"
"PT. TOPWAY INDONESIA TRANSPORT","JL. MARZUKI NO.42 PASAR REBO - JAKARTA TIMUR , JAKARTA, INDONESIA, 13770","","","https://www.freightnet.com/profile/112516.htm","No"
"PT. ABCD","Komp. Sansekerta , wefffhfdiafgiagdibiad, Jawa Barat, Bandung, 11752","","","https://www.freightnet.com/profile/50999.htm","No"
