"name","address","phone","website","profileUrl","isPremiumMember"
"BTB Group","Italian village, Villa No. 9B, Erbil, Iraq, 44001","9647740901223","http://www.btb.group/","https://www.freightnet.com/profile/179143.htm","Yes"
"Baghdad Station","Karada St 42, baghdad, Iraq, 10010","+964 781 379 0634","http://www.baghdadstation.com/","https://www.freightnet.com/profile/251330.htm","Yes"
"HF General Trading","HF Building Naz Naz Street , Erbil, Erbil, 44001","009647504520777","","https://www.freightnet.com/profile/188237.htm","Yes"
"Mashariq Al Saad for general trading, general transportation & logistics services ltd.","Al Mansour area, opposite Mansour mall, Baghdad, Baghdad, 10001","+9647763177401","https://mashariqalsaad.com/","https://www.freightnet.com/profile/260014.htm","Yes"
"Grand Path Logistics","Empire Business Complex, T4 - floor 6 - office 6, Erbil, Iraq, 44001","009647500565628","https://grand-path.com/","https://www.freightnet.com/profile/223539.htm","Yes"
"SLA Service Company","4 Towers Ainkawa , Buld. A, F6, Apt. 29A, ERBIL CITY, ERBIL, 44001","","","https://www.freightnet.com/profile/264506.htm","No"
"HB Logistics","peshawa qazi street , Arbil, Iraq, 44001","","","https://www.freightnet.com/profile/249074.htm","No"
"Transparency","Ainkawa, Nobel Towers, Erbil , Erbil, Iraq, 44001","","","https://www.freightnet.com/profile/244422.htm","No"
"Gateway Logistics","Ainkawa , Jamiya St., Erbil, Baghdad, Suleimanyia, Basrah, Iraq, 44001","","","https://www.freightnet.com/profile/263339.htm","No"
"SkyWay Express","iraq, basra , basra, basra, 61001","","","https://www.freightnet.com/profile/262798.htm","No"
"Ocean Platforms LTD","Manawi Basha , Basra, Iraq, Basra, Basra, 61001","","","https://www.freightnet.com/profile/255235.htm","No"
"Bosala Al Thahabia","Area 77, South Industry Area , Erbil, Erbil, 44001","","","https://www.freightnet.com/profile/262118.htm","No"
"Direct Drive Logistic","MRF QUATRO BLOCK A 29 1 , erbil, erbil, 44001","","","https://www.freightnet.com/profile/261669.htm","No"
"Daleel Al-Sahraa","Iraq - Baghdad Hay Al-Jameaa, Burj Al-Jadi Street near Shabbot Square District 635, St.16 ,h.24 , Iraq - Baghdad Hay Al-Jameaa, Burj Al-Jadi Street near Shabbot Square District 635, St.16 ,h.24, baghdad, Al-karkh, 00000","","","https://www.freightnet.com/profile/235382.htm","No"
"Almas Group Logistics","Iraq, Erbil, Empire Business Towers, T4, Floor 22, Office 1 , Iraq, Baghdad, Al-Qadisiyah, Rahaf and Riyam Building, Floor 2, Office 6, Erbil, Erbil, 44001","","","https://www.freightnet.com/profile/247813.htm","No"
"AKQ","Baghdad  , Alkadhimia, Baghdad/ iraq, 01188","","","https://www.freightnet.com/profile/220082.htm","No"
"Direct Drive Logistic","Erbil, MRF QUATRO BLOCK A 29 8 , Erbil, iraq, 44001","","","https://www.freightnet.com/profile/254028.htm","No"
"Carriers Logistics","Ainkawa - two side street  , erbil, iraq, 44","","","https://www.freightnet.com/profile/177118.htm","No"
"Lines of sahari international","Dubai , Dubai, Iraq, 00000","","","https://www.freightnet.com/profile/250413.htm","No"
"Silver Wings","100m street, near to cihan motos, 44001, Erbil IRAQ , Erbil, IRAQ, 44001","","","https://www.freightnet.com/profile/219512.htm","No"
"Focal Point Company","Iraq - Erbil – Ankawa – Hanzo Bulding – Office# 404 , Erbil, Iraq, 44001","","","https://www.freightnet.com/profile/160560.htm","No"
"Starlight Maritime FZE","Rm#241 5EB East Wing Bldg. Dubai Airport FZE, Dubai, UAE , Dubai, United Arab Emirates, Not Applicable","","","https://www.freightnet.com/profile/224152.htm","No"
"DIAMONDS LINE LOGISTICS","ALjazaer street , Abnaa Alfyhaa Building, Basra, IRAQ, 621101","","","https://www.freightnet.com/profile/217448.htm","No"
