"name","address","phone","website","profileUrl","isPremiumMember"
"Capital Sales and Storage Ltd","Units 21 and 22 Old Quarry Business Park, Blanchardstown, Dublin, Dublin, Dublin 15","+353867809983","http://www.cheapremovals.ie/","https://www.freightnet.com/profile/153968.htm","Yes"
"Hawthorn Logistics Solutions","Unit 1 Northwest Business Park , Ballycoolin, Dublin, Dublin, 15","","","https://www.freightnet.com/profile/23779.htm","No"
"MCG Logistics Ltd","Jamestown House, Jamestown Business Park , Jamestown Road, Finglas, Dublin, D11P2TT","","","https://www.freightnet.com/profile/241997.htm","No"
"Amira Trans Ltd","The Farm Yard , Bellegrove, Ballybrittas, Laois, R32 X6Y8","","","https://www.freightnet.com/profile/183719.htm","No"
"ACA International","International House , Dublin Airport, Dublin, Co Dublin, Co Dublin","","","https://www.freightnet.com/profile/207679.htm","No"
"Across Shipping","130 Sycamore , Edenderry, Offaly, Offaly","","","https://www.freightnet.com/profile/210327.htm","No"
"Voltron Spedition Srl","Str Facliei nr 68 i , Oradea, Jud Bihor, RO J05/2180/2017","","","https://www.freightnet.com/profile/182509.htm","No"
"Mason Transport Dublin Ireland","Ashbourne Business Park , Ashbourne, Meath / Dublin, -","","","https://www.freightnet.com/profile/140847.htm","No"
"Sea Air International","Seaview Ave Nth , Dublin 3, Dublin, D03C522","","","https://www.freightnet.com/profile/94793.htm","No"
"MCG Logistics Ltd","Unit 17, Northern Cross Business Park, Finglas, Dublin, D11 HN93","","","https://www.freightnet.com/profile/96653.htm","No"
"ADSG (Doyle Shipping Group)","Dublin Port , Dublin, Ireland, 01","","","https://www.freightnet.com/profile/166990.htm","No"
"Elsatrans Ltd","Unit 12 Osberstown Business Park , Caragh Road, Naas, Co Kildare,","","","https://www.freightnet.com/profile/23812.htm","No"
"Compass Logistics Ireland Ltd","HCL House , 2nd Avenue, Tallaght, Dublin, 24","","","https://www.freightnet.com/profile/60597.htm","No"
"Irish Shipping & Transport Ltd","Forward House, Eklad Close , Malahide Road Ind. Park, Coolock, Dublin, 17","","","https://www.freightnet.com/profile/21834.htm","No"
"Ace Express Freight","Blakes Cross , Lusk, Lusk, Dublin, K45 WY42","","","https://www.freightnet.com/profile/139365.htm","No"
"Emerald Freight Express Ltd","Unit 2A , Santryhall Industrial Estate, Dublin, Dublin, 9","","","https://www.freightnet.com/profile/138056.htm","No"
"Central Shipping Ltd","International House , Corballis Park, Dublin Airport,","","","https://www.freightnet.com/profile/8899.htm","No"
"Rhenus Logistics Ltd","Westpoint Court Business Pk. John F. Kennedy Dr , Naas Rd, Dublin, Dublin, 12","","","https://www.freightnet.com/profile/20745.htm","No"
"INDIVIDUAL","APT 222 PREMIER SQUARE , FINGLAS ROAD, DUBLIN, AFE - Armed Forces Europe, 11","","","https://www.freightnet.com/profile/132182.htm","No"
"Emerald Freight Express Ltd","Santry Hall Ind. Estate Santry , Dublin 9, Dublin 9","","","https://www.freightnet.com/profile/20732.htm","No"
"IE Distribution Ltd","Vision House , Damastown Ind Est, Damastown, Dublin 15,","","","https://www.freightnet.com/profile/7479.htm","No"
"Grange Forwarding Ltd","65 Sweetman House , The Coast, Dublin, Dublin, D13","","","https://www.freightnet.com/profile/110458.htm","No"
"IPS Groupage Services Ltd","Unit 160 Lakeview Drive  , Airside Business Park, Swords, Co. Dublin, Swords","","","https://www.freightnet.com/profile/20751.htm","No"
"Murphy Trans","45 Carrigmore Crescent , Dublin, Dublin, 2400","","","https://www.freightnet.com/profile/113360.htm","No"
"Cargocare Limited","32-35 Airways Industrial Estate , Cloghran, Dublin, 17","","","https://www.freightnet.com/profile/9234.htm","No"
"Multicargo Ltd","Unit K Nth. Ring Industria Park Santry , Dublin 9, Dublin 9","","","https://www.freightnet.com/profile/20767.htm","No"
"Navigator Freight Agency","45 Nth. Wall Quay , Dublin 1, Dublin 1","","","https://www.freightnet.com/profile/20768.htm","No"
"Sea Air International","Admin Building , 1 Tolka Quay Road, Dublin Port, Dublin, 1","","","https://www.freightnet.com/profile/90474.htm","No"
"Spratt Transport Services","Unit C1 Furry Park Industrial Estate , Santry, Santry, Dublin, 9","","","https://www.freightnet.com/profile/83307.htm","No"
"Hyland Shipping Agencies Ltd","17/18 Northern Cross Business Pk. , Dublin 11, Dublin 11","","","https://www.freightnet.com/profile/20743.htm","No"
"Woodland International Logistics Ltd","Unit 38 Stadium Business Park , Ballycoolin, Dublin 15, Dublin 15","","","https://www.freightnet.com/profile/20796.htm","No"
"Mac Trans Freight Ltd","Belvedere Tycor , Waterford, Waterford","","","https://www.freightnet.com/profile/20762.htm","No"
"EVER TON DEPOT","South Bank Road , Southside Dublin Port, Ringsend, Dublin, D4","","","https://www.freightnet.com/profile/57742.htm","No"
"Rochefreight Ireland Ltd","Wexford Road , Rosslare Harbour, Wexford,","","","https://www.freightnet.com/profile/21014.htm","No"
"Sandford Group","Unit P1 &p2 North Ring , Business Park, Swords Road, Cloghran, Dublin 9,","","","https://www.freightnet.com/profile/2725.htm","No"
"TDG Ltd","Ocean House Arran Court Arran Quay , Dublin 7, Dublin 7","","","https://www.freightnet.com/profile/20786.htm","No"
"Agility","4B Knockbeg Point , Shannon, Co. Clare, Shannon","","","https://www.freightnet.com/profile/20715.htm","No"
"Dmf International Limited","Albany House , Main Street, Swords, Co. Dublin,","","","https://www.freightnet.com/profile/2846.htm","No"
"LAPA Freight Ltd","6 Brookville , Hunters Lane, Ashbourne, Ireland, meath","","","https://www.freightnet.com/profile/55508.htm","No"
"Hales Freight Ltd","81-88 North Wall , Dublin, 1","","","https://www.freightnet.com/profile/12708.htm","No"
"Emerald Freight","Unit 2a  , Santryhall Ind Pk, Dublin 9, Ireland, Co","","","https://www.freightnet.com/profile/52604.htm","No"
"IWT (International Warehousing & Transport)","Ocean House , Arran Court, Dublin, 7","","","https://www.freightnet.com/profile/9301.htm","No"
"schmidt industries int ltd","64 cherry orchard ind estate , ballyfermot, dublin, ireland, d 10","","","https://www.freightnet.com/profile/47962.htm","No"
"National Seaways (Freight) Limited","Merchant House , Tivoli, Cork,","","","https://www.freightnet.com/profile/764.htm","No"
"National Vehicle Distribution","Kilrane , Rosslare Harbour, Rosslare, Wexford,","","","https://www.freightnet.com/profile/2115.htm","No"
"Eurolink International Ltd","Unit 4 Century Business Park , St Margarets Road, Dublin, Dublin, 11","","","https://www.freightnet.com/profile/2542.htm","No"
"Caulfield Industrial","Oranmore Business Park , Oranmore, Co Galway,","","","https://www.freightnet.com/profile/4362.htm","No"
"Citylink Logistics Ltd","Unit 9, The Court , Ashbourne Ind. Estate, Ashbourne, Co.Meath,","","","https://www.freightnet.com/profile/8247.htm","No"
"S&S Transport Ltd","Dromtarsna , Borrisoleigh, Thurles, Co Tipperary,","","","https://www.freightnet.com/profile/8266.htm","No"
"Efl International Distribution Ltd","Unit 4b Santry Hall Industrial Est , Santry, Dublin,","","","https://www.freightnet.com/profile/8365.htm","No"
"NB Shipping Services Ltd","28 EastGate Drive , Little Island, Co.Cork, 0000","","","https://www.freightnet.com/profile/12368.htm","No"
"Walsh Western International","Unit 1A , Airport Business Park, Cloghran, Co Dublin,","","","https://www.freightnet.com/profile/16814.htm","No"
"Lombard Shipping plc","Unit T Crosbie Centre , Tolka Quay Road, Dublin 1, Co Dublin,","","","https://www.freightnet.com/profile/16817.htm","No"
"Ace Express Group","Blakes Cross , Lusk, Co Dublin, Lusk","","","https://www.freightnet.com/profile/20711.htm","No"
"Aerly Bird Trans Global","Unit Q1 North Ring Business Pk. Swords Rd. Santry , Dublin 9, Dublin 9","","","https://www.freightnet.com/profile/20712.htm","No"
"ALPI Ireland Ltd","20 Park West Road Park West Ind. Park , Dublin 12, Dublin 12","","","https://www.freightnet.com/profile/20716.htm","No"
"Bax Global","Unit R Nth. Ring Business Pk. Santry , Dublin 9, Dublin 9","","","https://www.freightnet.com/profile/20718.htm","No"
"Bax Global","Smithstown Ind. Est. , Shannon, Co. Clare, Shannon","","","https://www.freightnet.com/profile/20719.htm","No"
"Byrne Air Freight Ltd","BAF House Corballis Wood , Dublin Airport, Co. Dublin, Dublin Airport","","","https://www.freightnet.com/profile/20722.htm","No"
"CFS International Ltd","Unit 9 Rosemount Pk. Drive Ballycoolin , Dublin 15, Dublin 15","","","https://www.freightnet.com/profile/20726.htm","No"
"Derek Horner Agencies Ltd","Pembroke House Promenade Rd. Dublin Port , Dublin 3, Dublin 3","","","https://www.freightnet.com/profile/20727.htm","No"
"DFDS Transport (Irl) Ltd","Tougher Business Park Ladystown , Naas, Co. Kildare, Naas","","","https://www.freightnet.com/profile/20728.htm","No"
"DHL Freight","Unit 2 Beechpark Smithstown Industrial Est. , Shannon, Co. Clare, Shannon","","","https://www.freightnet.com/profile/20730.htm","No"
"Euromode-Eurosped Group","Eurocentre Cookstown Industrial Est. Belgard Road , Dublin 24, Dublin 24","","","https://www.freightnet.com/profile/20733.htm","No"
"Exel DHL","Neptune House Unit D1 Airport Business Park Swords Road , Swords, Co. Dublin, Swords","","","https://www.freightnet.com/profile/20734.htm","No"
"Exel Freight Management (Ireland) Ltd,","Intl. Logistics Centre Furry Park Ind. Estate Santry , Dublin 9, Dublin 9","","","https://www.freightnet.com/profile/20735.htm","No"
"Exel Ltd","Shannon Ind Est Shannon Airport , Swords, Co. Clare, Swords","","","https://www.freightnet.com/profile/20736.htm","No"
"Expeditors Ireland Limited","Unit 6 Horizon Logistics Park Swords , Swords, Co. Dublin, Swords","","","https://www.freightnet.com/profile/20737.htm","No"
"Expeditors Ireland Ltd","Smithstown Ind. Est. , Shannon, Co. Clare, Shannon","","","https://www.freightnet.com/profile/20738.htm","No"
"Fastfreight Ltd","Unit 5 Kilcoole Industrial Est. , Kilcoole, Co. Dublin, Kilcoole","","","https://www.freightnet.com/profile/20739.htm","No"
"Freighteam Ireland","Promenade Road Dublin Port , Dublin 3, Dublin 3","","","https://www.freightnet.com/profile/20741.htm","No"
"Independent Express Cargo Ltd","1 Nth. West Business park Blanchardstown , Dublin 15, Dublin 15","","","https://www.freightnet.com/profile/20747.htm","No"
"International Cargo Services","Unit 5/6/7 Crossagalla Business Pk. Ballysimon , Limerick, Limerick","","","https://www.freightnet.com/profile/20749.htm","No"
"IWT Global Solutions","Ocean House Arran Court Arran Quay , Dublin 7, Dublin 7","","","https://www.freightnet.com/profile/20753.htm","No"
"James P Jones & Son Ltd","Warehouse 9A Knockbeg Point , Shannon, Co. Clare, Shannon","","","https://www.freightnet.com/profile/20754.htm","No"
"James P Jones & Son Ltd","Unit 36 Airways Ind. Estate Santry , Dublin 9, Dublin 9","","","https://www.freightnet.com/profile/20755.htm","No"
"Jenkinson Agencies","Unit 36 Airways Ind. Est. Santry , Dublin 9, Dublin 9","","","https://www.freightnet.com/profile/20756.htm","No"
"Kintetsu World Express","Unit 4 Horizon Logistics Park New Naul Road , Harristown, Co Dublin, Harristown","","","https://www.freightnet.com/profile/20758.htm","No"
"Kuehne & Nagel (Ire) Ltd","Unit 5 Horizon Logistics Park Harristown , Swords, Co Dublin, Swords","","","https://www.freightnet.com/profile/20760.htm","No"
"Logiskills Ltd","Unit 17 Balbriggan Enterprise & Training Centre Stephenstown Ind. Est , Balbriggan, Co Dublin, Balbriggan","","","https://www.freightnet.com/profile/20761.htm","No"
"Maurice Ward & Co","Unit 3 Smithstown Ind. Est. Shannon , Shannon, Co. Clare, Shannon","","","https://www.freightnet.com/profile/20763.htm","No"
"Mid America Overseas","Smithstown Ind. Est. Shannon , Shannon, Co. Clare, Shannon","","","https://www.freightnet.com/profile/20764.htm","No"
"Mid Freight Shipping Ltd","Cappincur Ind. Est. Tullamore , Tullamore, Co. Offaly, Tullamore","","","https://www.freightnet.com/profile/20765.htm","No"
"Network International Cargo Ltd","Unit 202 Northwest Business Pk. Blanchardstown , Dublin 15, Dublin 15","","","https://www.freightnet.com/profile/20769.htm","No"
"Nippon Express (Ireland) Ltd","Unit1 Northern Cross Business Pk. North Road Finglas , Dublin 11, Dublin 11","","","https://www.freightnet.com/profile/20771.htm","No"
"Pallet Xpress","Unit B Forest Park Mullingar Ind. Estate , Mullingar, Co. Westmeath, Mullingar","","","https://www.freightnet.com/profile/20772.htm","No"
"Phili Orient","Unit 1 Smithstown Industrial Est. , Shannon, Co. Clare, Shannon","","","https://www.freightnet.com/profile/20774.htm","No"
"Phoenix International freight Ltd","Unit 1 Nth. West Business Park, Ballycoolin , Dublin 15, Dublin 15","","","https://www.freightnet.com/profile/20775.htm","No"
"Quality Freight","Port Centre Alexandra Road , Dublin 3, Dublin 3","","","https://www.freightnet.com/profile/20777.htm","No"
"Schenker","Unit K Smithstown Industrial Estate , Shannon, Co. Clare, Shannon","","","https://www.freightnet.com/profile/20780.htm","No"
"Schenker","Unit 3B Santry Hall Ind. Est Santry , Dublin 9, Dublin 9","","","https://www.freightnet.com/profile/20781.htm","No"
