"name","address","phone","website","profileUrl","isPremiumMember"
"Aero Trans Kerry","3 The Writings , Dromin, Listowel, Kerry, V31 EV24","","","https://www.freightnet.com/profile/198691.htm","No"
"Freightspeed","magna drive , Citywest, Dublin 24, Dublin 24","","","https://www.freightnet.com/profile/204214.htm","No"
"ward haulage limited","Unit 4C , Ashbourne, Meath, 9090","","","https://www.freightnet.com/profile/152056.htm","No"
"Fastlane Ltd","Unit 3A Rosemount Business Park , Blanchardstown, Dublin 15, Co Dublin,","","","https://www.freightnet.com/profile/16779.htm","No"
"McGrane Transport Limited",", Inver P.O., Co Donegal,","","","https://www.freightnet.com/profile/16809.htm","No"
"Ec Haulage","Moniel , Rockcorry, Rockcorry, Monaghan, n/a","","","https://www.freightnet.com/profile/55752.htm","No"
"Stephen Nolan Transport Ltd","Tolka Quay Road , Dublin Port, Dublin 1, Co Dublin,","","","https://www.freightnet.com/profile/16753.htm","No"
"Landbridge Ltd","Malahide Road Industrial Park , Malahide Road, Dublin 17, Co Dublin,","","","https://www.freightnet.com/profile/16762.htm","No"
"O'Reilly Transport","Mitchelstown House , Finglas, Dublin 11, Co Dublin,","","","https://www.freightnet.com/profile/16763.htm","No"
"Wincanton Ireland Ltd","Statoil Terminal , Promenade Road, Dublin Port East Wall, Co Dublin,","","","https://www.freightnet.com/profile/16764.htm","No"
"MOST","15 Weston Grove , Churchtown, Dublin 14, Co Dublin,","","","https://www.freightnet.com/profile/16767.htm","No"
"Paul Sweeney &amp; Co","Corner Park , Peamount Road, Newcastle, Co Dublin,","","","https://www.freightnet.com/profile/16777.htm","No"
"Wyse Transport Ltd","Kinselly Lane , Kinselley, Co Dublin,","","","https://www.freightnet.com/profile/16783.htm","No"
"J P Ryan Ltd","Bond Drive Extension , Off Promenade Road, Dublin 3, Co Dublin,","","","https://www.freightnet.com/profile/16786.htm","No"
"Coolman Ltd","Unit 18 Northern Cross Business Park , Finglas, Dublin 11, Co Dublin,","","","https://www.freightnet.com/profile/16787.htm","No"
"Gwynedd Shipping Ireland Ltd","Promenade Road , Dublin Port, Dublin 3, Co Dublin,","","","https://www.freightnet.com/profile/16788.htm","No"
"CU Transport Ltd","61 Flower Grove , Glenageary, Co Dublin,","","","https://www.freightnet.com/profile/16789.htm","No"
"Declan Kavanagh Transport","Athgoe , Newcastle, Co Dublin,","","","https://www.freightnet.com/profile/16790.htm","No"
"Globetrotter Trucking Ireland","Greenogue Business Park , Rathcoole, Co Dublin,","","","https://www.freightnet.com/profile/16791.htm","No"
"Grant Bros","80 Brookdale Road , Swords, Co Dublin,","","","https://www.freightnet.com/profile/16793.htm","No"
"Emma Nolan Freight","Toga House Kylemore Park North , Ballyfermot, Dublin 10, Co Dublin,","","","https://www.freightnet.com/profile/16794.htm","No"
"Unique Transport Ireland Ltd","6 Lutterstown Chase , Castleknock, Dublin 15, Co Dublin,","","","https://www.freightnet.com/profile/16798.htm","No"
"Murphy Transport Ltd","Maryfield , Ballinlough Road, Cork, Co Cork,","","","https://www.freightnet.com/profile/16799.htm","No"
"Giles Transport","Burgatia Rosscarbery , Cork, Co. Cork,","","","https://www.freightnet.com/profile/16800.htm","No"
"O'Donovan Transport (Cork) Ltd","Main Street , Carrigtwohill, Co Cork,","","","https://www.freightnet.com/profile/16803.htm","No"
"Freightshift Services","S & P Transport Ltd , Raheen Industrial Park, Limerick, Limerick,","","","https://www.freightnet.com/profile/16806.htm","No"
"Hyland Transport","Birchwood , Rosenallis, Portlaoise, Co Laois,","","","https://www.freightnet.com/profile/16810.htm","No"
"Fitzgerald Transport","Robinstown , Navan, Meath,","","","https://www.freightnet.com/profile/17370.htm","No"
