"name","address","phone","website","profileUrl","isPremiumMember"
"Triple A Logistics & Freight Forwarding LTD","Kibbutz Hulda, MP Emeq Soreq, Israel, 7684200","+972-52-4443874","http://www.triplealog.com/","https://www.freightnet.com/profile/7767.htm","Yes"
"Noach Niv Customs and Forwording LTD","Itshak Sade 34 , Tel Aviv, Israel, 6721207","+972544468324","","https://www.freightnet.com/profile/254865.htm","Yes"
"Noach Niv Customs & Forwarding Agents ltd","itzhak sade no 34 , tel aviv, ISRAEL, 6721207","","","https://www.freightnet.com/profile/134222.htm","No"
"shainfeld logistics services","habustan 1 , ashkelon, israel, 7850160","","","https://www.freightnet.com/profile/209991.htm","No"
"Shiponico","Hativa 8 Rd, Swissport Bldg. , Tel Aviv Airport, Israel, 7010000","","","https://www.freightnet.com/profile/220126.htm","No"
"Arma Customs Brokers & International forwarders 1975 Israel","47 HAALYA STREET , TEL-AVIV, Tel-Aviv, 66041","","","https://www.freightnet.com/profile/63566.htm","No"
"Middle East Logistic Solutions Ltd.","itshak Sade 34  , Tel Aviv, Israel, 6721207","","","https://www.freightnet.com/profile/161925.htm","No"
"HSO CARGO LTD","75 Yarok st.Bpure  bldg 1st floor suite 118 , Gedera, Israel, 7982500","","","https://www.freightnet.com/profile/217518.htm","No"
"AllCargo Logistic Services Ltd","3 Hasharon St. Airport City Lod 7190001 israel , Airport City Lod, Israel, 7190001","","","https://www.freightnet.com/profile/252068.htm","No"
"MGLine Trade & Logistic Solutions","70, Weizmann Street , Kfar Saba, Israel, 4425036","","","https://www.freightnet.com/profile/155391.htm","No"
"simba-log","Ben gurion Road 168 c  , Givatayim, Israel, 53624","","","https://www.freightnet.com/profile/237158.htm","No"
"Infinitypack","101A Derech Hebron , Jerusaelm, ISRAEL, 93121","","","https://www.freightnet.com/profile/95784.htm","No"
"Davidsons International-Israel","haagana 33 , Azur, israel, 49319","","","https://www.freightnet.com/profile/55321.htm","No"
"iTrans Logistics Ltd.","7 Hamelacha street (Floor #4) , North Industrial Area, Lod, Israel, 7152013","","","https://www.freightnet.com/profile/186721.htm","No"
"GAD OVERSEAS INTERNATIONAL FORWARDERS","ASHDOD REAR PORT , ASHDOD, ISRAEL, 774901","","","https://www.freightnet.com/profile/201137.htm","No"
"Alltrans Logistics","Hashikma 2  , azur, Israel, 5800147","","","https://www.freightnet.com/profile/160927.htm","No"
"S.H.M. ltd.","saharov 10 , rishon le zion, Israel, 7570712","","","https://www.freightnet.com/profile/163384.htm","No"
"PDC","Dotan  , Yavne, Israel,","","","https://www.freightnet.com/profile/172453.htm","No"
"Compass Cargo Ltd","P.O.BOX 60 Ben Gurion Airport , Ben Gurion airport, Israel, 70150","","","https://www.freightnet.com/profile/135606.htm","No"
"ZIOR LTD","5 JABOTINSKY STREET , AVGAD BLDG, RAMAT GAN, ISRAEL, 5252006","","","https://www.freightnet.com/profile/161730.htm","No"
"Pacific Atlantic Line (Israel) Ltd","2 Habankim Street Haifa , Haifa, Israel, 3133331","","","https://www.freightnet.com/profile/188873.htm","No"
"Log In Shipping and Logistics Ltd","Hanamal 1 , Haifa, Israel, 33662","","","https://www.freightnet.com/profile/59863.htm","No"
"Mega Cargo Ltd.","14,Yosf Caro St. , Tel Aviv, Israel, 6701416","","","https://www.freightnet.com/profile/157610.htm","No"
"Airgate (Israel) Ltd","7 Hamelacha Street , Lod, 71520","","","https://www.freightnet.com/profile/9448.htm","No"
"Lucky Key Investments Ltd","159 Igal Alon Street , Tel Aviv, Israel, 67433","","","https://www.freightnet.com/profile/149204.htm","No"
"Shanti Cargo Logistics","47 Hagdud Hevri st.,, Tel-Aviv, Israel, 7251964","","","https://www.freightnet.com/profile/144436.htm","No"
"A.M LOGISTIC","5 Natanzone St' P.O.Box 33318 , haifa, israel, 31332","","","https://www.freightnet.com/profile/112292.htm","No"
"IBL","Shivat Zion 38 , Haifa, Israel, 31300000","","","https://www.freightnet.com/profile/133305.htm","No"
"R.P.A.PORT LTD","HANAMAL 2 , HAIFA, ISRAEL, 32800","","","https://www.freightnet.com/profile/132082.htm","No"
"Arma Customs brokers & Int Forwarders","66041 Tel-Aviv , Tel-Aviv, Israel, 66041","","","https://www.freightnet.com/profile/127894.htm","No"
"EHL Trade and Logistics","Hanelacha 7st, north industrial park , LOD, Israel, 71520","","","https://www.freightnet.com/profile/118171.htm","No"
"R.P.A. Port International","Hanamal 2 st , Haifa, 33031","","","https://www.freightnet.com/profile/17294.htm","No"
"VW Freight Forwarding","sderot habbashat 9 , tel aviv, israel, 6896545","","","https://www.freightnet.com/profile/128678.htm","No"
"Master Cargo","Hamelaha 5th street , LOD, ISRAEL, 1111","","","https://www.freightnet.com/profile/98007.htm","No"
"Mayan Overseas Ltd","2 Habonim St , Ramat Gan,","","","https://www.freightnet.com/profile/812.htm","No"
"Mashgor, exp-imp - Logistic Services.","1 Palmer-Gate , Haifa, 33139","","","https://www.freightnet.com/profile/10223.htm","No"
"SEAWAY LOGISTICS LTD","MENAHEM BEGIN ST. 42 , RAMAT GAN, ISRAEL, 52771","","","https://www.freightnet.com/profile/118130.htm","No"
"Fridenson logistic services","haifa israel , ashdod israel, haifa, Israel, 01441","","","https://www.freightnet.com/profile/121399.htm","No"
"TPF Forwarding Network (Israel)","Level 6, 9 Pal-Yam Blvd , Haifa, ISRAEL, 31000","","","https://www.freightnet.com/profile/117410.htm","No"
"Plascow Logistics","18 Totzeret Ha'aretz st , tel aviv, Israel, 6789112","","","https://www.freightnet.com/profile/114862.htm","No"
"Abetrans Logistics Ltd","42 Herbert Samuel Street , P.O.Box 50383, Tel Aviv,","","","https://www.freightnet.com/profile/6412.htm","No"
"Cargopal ltd","Haifa,Israel , Ramallah,Palestine, Haifa, Israel, 00972","","","https://www.freightnet.com/profile/95229.htm","No"
"Show Time","Hagilboa 1 , Air port City Lod, Lod, Israel, 1234","","","https://www.freightnet.com/profile/99186.htm","No"
"Arma Customs brokers&int forwarders Israel","47 HAALYA STREET , TEL-AVIV, ISRAEL, 66041","","","https://www.freightnet.com/profile/59475.htm","No"
"Sharon International Freight Forwarders","Maman Bldg. Room 703 A\' , Ben Gurion A.P, Lod,","","","https://www.freightnet.com/profile/3682.htm","No"
"Abetrans Logistics Israel","42 Herbert Samuel Street , P.O.Box 50383, Tel Aviv, Israel, 61500","","","https://www.freightnet.com/profile/48453.htm","No"
"G.E.S - Global Export Shipping LTD","Yad Harutzim 13, level 2 , Renault Building, Tel Aviv, Israel, 67778","","","https://www.freightnet.com/profile/54188.htm","No"
"Bivas Bros. Ltd","68 Nachalat Benyamin St , P.O. Box 2820, Tel Aviv, 61027","","","https://www.freightnet.com/profile/339.htm","No"
"Avi-ad logistocs services ltd","barket 76 , kfar yona, israel, 40300","","","https://www.freightnet.com/profile/64084.htm","No"
"R.z logistics ltd","11 HaMada st , Ashdod, Israel, 77140","","","https://www.freightnet.com/profile/56696.htm","No"
"Barshan Int'l Forwarding Ltd","8 Hanegev St  , Tel-Aviv, 66186","","","https://www.freightnet.com/profile/1573.htm","No"
"Continent Ltd","14, Hasharon st , Tel Aviv, 66185","","","https://www.freightnet.com/profile/17778.htm","No"
"Ron-El Ltd","Rival 7, St , Tel-Aviv, 67778","","","https://www.freightnet.com/profile/10599.htm","No"
"Falcon Cargo & Transport Services Ltd","1, Katzenelson Street , Givatayim, 53213","","","https://www.freightnet.com/profile/2150.htm","No"
"Shahaf","4 Aenav , Rehovot, N.A, 76564","","","https://www.freightnet.com/profile/48104.htm","No"
"Unishipping Israel Ltd","23 Ben Yosef St , Tel Aviv, 69125","","","https://www.freightnet.com/profile/106.htm","No"
"Arab Clearing Agency","Dabdoub Building , New Road, Bethlehem,","","","https://www.freightnet.com/profile/1206.htm","No"
"A&A Shipping Ltd","6, Koyfman Street , Gibor House 16th Floor, Tel-Aviv, Gush Dan, 68012","","","https://www.freightnet.com/profile/3536.htm","No"
"Agish Advanced Logistics","Agish Building , 13 Noah Mozes Street, Tel Aviv, 67442","","","https://www.freightnet.com/profile/4473.htm","No"
"Gold Line Shipping Ltd","16 Ha'bankim Street , P O Box 33054, Haifa,","","","https://www.freightnet.com/profile/6139.htm","No"
"Target Logistic Solutions Ltd.","Bareket Bldg , Airport City, P.O.B 191, Ben Gurion Airport,","","","https://www.freightnet.com/profile/6735.htm","No"
"Bell Mar Shipping","Natazon Street 5 , Haifa,","","","https://www.freightnet.com/profile/7000.htm","No"
"MGLine","11 Bussel Street , Kfar Saba, Hasharon, 44352","","","https://www.freightnet.com/profile/7393.htm","No"
"Sigmai Trade & Logistics Ltd","8 HACHOTRIM  St Industrial Area , Holon, Holon, ISRAEL, 58812","","","https://www.freightnet.com/profile/9727.htm","No"
"Is-Line Import & Export Services","5 Horkanos St , Lod, 71106","","","https://www.freightnet.com/profile/10294.htm","No"
"E.S.L. International Logistic & Forwarding Services Ltd","65 Yigal Alon Blvd , Toyota Towers, 19th Floor, Tel Aviv, 67443","","","https://www.freightnet.com/profile/10952.htm","No"
"Jetcargo Intl","12 e12 st , Tel Aviv, 11239","","","https://www.freightnet.com/profile/13354.htm","No"
"Allcargo Logistic Services Ltd","12 Kinert St , Airport City, Lod, 70100","","","https://www.freightnet.com/profile/13448.htm","No"
"Jetspeed Group LLC","101 Nehalim St , Suite 3, Maale Adumim, 53555","","","https://www.freightnet.com/profile/14087.htm","No"
"Eyal Sela International logistics Ltd","11 ROTCHILD BLVD , PO BOX 50032, TEL AVIV, ISRAEL, 61500","","","https://www.freightnet.com/profile/61435.htm","No"
