"name","address","phone","website","profileUrl","isPremiumMember"
"AIDA SRL","Viale Alexandre Gustave Eiffel 100, Commercity Isola N28, Roma, italy, 00148","0655296940","http://www.aidaglobal.it/","https://www.freightnet.com/profile/154850.htm","Yes"
"Azimuth Co.","via Umberto I°, 60, Rocchetta Ligure, Italy, 15060","+39014390230","","https://www.freightnet.com/profile/89403.htm","Yes"
"Cogefrin spa","Via A. Marabini 8, Castel Maggiore (BO), 40013, Bologna, italy, 40013","00393311306726","https://www.cogefrin.it/","https://www.freightnet.com/profile/254659.htm","Yes"
"SL EUROPE AGENCY SRL","Via E. De Amicis 67, Cinisello Balsamo - MILAN, ITALY, 20092","+390299240412","http://www.sleuropeagency.it/","https://www.freightnet.com/profile/176485.htm","Yes"
"R.T.SPEDIZIONI SRL","BANCHINA DELL'AZOTO 15/A, MARGHERA, ITALIA, 30175","0039/041929063","http://www.rtspedizioni.it/","https://www.freightnet.com/profile/167820.htm","Yes"
"TIME SHIPPING SRL","VIA CADUTI DI MARCINELLE 11, MILAN, ITALY, 20134","+39022841586","http://www.timeshipping.it/","https://www.freightnet.com/profile/42937.htm","Yes"
"Stante Logistics SpA","Via dei Gerani 4 , Bari, Italy, 70100","","","https://www.freightnet.com/profile/263102.htm","No"
"ceylon aero logistics (CAL)","VICOLO CA' CAVATORTA 1 , Parma, Italy, 43013","","","https://www.freightnet.com/profile/262934.htm","No"
"GASKARGO S.R.L.","Via Attilio Odero, 20 , Genova, Genova, 16129","","","https://www.freightnet.com/profile/198395.htm","No"
"GASKARGO S.R.L.","VIA ODERO 20 , piano strada, GENOVA, GE, 16129","","","https://www.freightnet.com/profile/212893.htm","No"
"PARSIMPEX GROUP SRL","Via Cassanese 185 , Segrate, MI, 20054","","","https://www.freightnet.com/profile/260884.htm","No"
"Barbarini & Foglia srl","Via A. G. Eiffel, 100 , Commercity N48/50, Roma, Italy, 00148","","","https://www.freightnet.com/profile/249497.htm","No"
"Blu Cargo Shipping Srl","Via Boccherini, 8 , Livorno, Italy, 57124","","","https://www.freightnet.com/profile/209262.htm","No"
"Agile Cargo","Via Rocce Anzini 66 , Fiumicino, Rome (Lazio), 00054","","","https://www.freightnet.com/profile/211948.htm","No"
"Shipping Services Italia SRL","Piazza Cavour, 12 , Livorno, 57100","","","https://www.freightnet.com/profile/19555.htm","No"
"ITC Srl","via Evangelista Torricelli 59 , Verona, Italy, 37060","","","https://www.freightnet.com/profile/96704.htm","No"
"Freightways Srl","Viale Lazio 24 , Milano, milano, 20135","","","https://www.freightnet.com/profile/1621.htm","No"
"KLTI SRL (KING LOGISTIC)","VIA G.FRACASTORO, 3 , MILAN, ITALY, 20128","","","https://www.freightnet.com/profile/98506.htm","No"
"INSPED SRL","VIA ENRICO FERMI 3 , ORNAGO, Monza e della Brianza, 20876","","","https://www.freightnet.com/profile/235836.htm","No"
"Delta Novel SRL","Via Magazzini Anteriori 51 , Trav. Nord, Ravenna, RA, 48124","","","https://www.freightnet.com/profile/133000.htm","No"
"COGEFRIN SPA","VIA G. DI VITTORIO 21C , CASTEL MAGGIORE (BO), ITALY, 40013","","","https://www.freightnet.com/profile/65740.htm","No"
"CARGOMAR SRL","VIA PROV. BOTTEGHELLE DI PORTICI, 242 , NAPOLI, ITALY, 80147","","","https://www.freightnet.com/profile/178468.htm","No"
"albarika logistics","viale umbria 109  ,  viale umbria 109, umbria, milan, 20135","","","https://www.freightnet.com/profile/161090.htm","No"
"Alamo Global Logistics  LLC","2422 Freedom Dr  Ste F , 78217, San Antonio, Texas, 78217","","","https://www.freightnet.com/profile/225970.htm","No"
"Global Cargo Srl","Via Guardia Del Consiglio, 15 , Serravalle, Republic Of San Marino, 47899","","","https://www.freightnet.com/profile/224355.htm","No"
"AFRIMAR ITALIA","VIA TRIESTE 12  , DRESANO, ITALY, 20070","","","https://www.freightnet.com/profile/202597.htm","No"
"FISHER & RECHSTEINER CO. SPA","Via Rivoltana 35 , Pioltello. Milan, ITALY, 20090","","","https://www.freightnet.com/profile/112872.htm","No"
"T.M.I. SRL Special Services","Viale Ugo Foscolo, 82 , Monza, Milan, 20900","","","https://www.freightnet.com/profile/23286.htm","No"
"Broker Transport Services - Autotrasporti 2013 Srl","Via Ottaviano, 155 , San Gennaro Vesuviano, Italy, 80040","","","https://www.freightnet.com/profile/155831.htm","No"
"SARDELLI LOGISTICS AND FORWARDING S.r.l.u.","Via Boccherini, 8 Int. 10 , Livorno, LIVORNO, 57124","","","https://www.freightnet.com/profile/84478.htm","No"
"CLERMONT ITALIA SRL","VIA TRENTO 43 , GENOVA, ITALIA, 16145","","","https://www.freightnet.com/profile/179320.htm","No"
"First Klass Service srl","Via Togliatti 3 , Cardano al campo, Varese, 21010","","","https://www.freightnet.com/profile/157625.htm","No"
"VIPE ITALIA","Via Santa Maria 30 , Ferno (VA), italia, 21010","","","https://www.freightnet.com/profile/116894.htm","No"
"AFRIMAR ITALIA","Via Trieste, 12 , Dresano, Italy, 20070","","","https://www.freightnet.com/profile/186401.htm","No"
"OLG INTERNATIONAL SA","21 Via Di Vittorio , Settala, MI, 20090","","","https://www.freightnet.com/profile/174077.htm","No"
"WPS WORLD PRIORITY SERVICE S.R.L.S","VIA LORENZO IL MAGNIFICO,50 , ROME, ITALY, 00162","","","https://www.freightnet.com/profile/53285.htm","No"
"Technologica Srl","via San Sebastiano,4  , San Severino Marche, Italy, 62027","","","https://www.freightnet.com/profile/184554.htm","No"
"PASQUINELLI ENNIO SPA","Via IV Novembre 92 , BOLLATE-MILANO, ITALY, 20021","","","https://www.freightnet.com/profile/163190.htm","No"
"Ronsped Worldwide srl","piazza della Vittoria 7/2a , Genova, 16121","","","https://www.freightnet.com/profile/18115.htm","No"
"CLARIDON ITALIA","CORSO UMBERTO I, 131    TORRE ANNUNZIATA , VIA XX SETTEMBRE 12, GENOVA, NAPOLI, ITALY, 80133","","","https://www.freightnet.com/profile/110859.htm","No"
"Maver International Forwarding Agent Srl","Via Giuseppe di Vittorio 8/10 , Liscate, Italy, 20060","","","https://www.freightnet.com/profile/4367.htm","No"
"GENERAL CARGO ITALY SRL","Via Europa 7/b , ORIO AL SERIO, ITALIA, 24050","","","https://www.freightnet.com/profile/162377.htm","No"
"Comitrans Logistic Srl","Via Francesco Soave, 25 , Milano, Italy, 20135","","","https://www.freightnet.com/profile/64265.htm","No"
"APS S.r.l.","Via Pietro Chiesa 7  , GENOVA, ITALY, 16149","","","https://www.freightnet.com/profile/166933.htm","No"
"Sodimax Srl","Corso Andrea Podestà 1 , Genoa, Italy, 16128","","","https://www.freightnet.com/profile/161335.htm","No"
"3P Logistics SRL","Via Olivette 23/2 , Arenzano, Liguria, 16011","","","https://www.freightnet.com/profile/19197.htm","No"
"ATX INTERNATIONAL SRL","VIA PRIMO MAGGIO 20 , CASORATE SEMPIONE (VA), ITALY, 21011","","","https://www.freightnet.com/profile/96765.htm","No"
"AS INTERNATIONAL SRL","Via Taverna campanile 37 , Monteforte Irpino, Italy, 83024","","","https://www.freightnet.com/profile/158852.htm","No"
"A.S.P. SRL","Via Darsena 19 , RAVENNA, ITALY, 48122","","","https://www.freightnet.com/profile/158795.htm","No"
"monava trasporti internazionali spa","viale europa 57 , cardano al campo, italy, 21010","","","https://www.freightnet.com/profile/136998.htm","No"
"ATS SpA","Via Ficucelle s.n.c , Interporto Sud Europa, Maddaloni CASERTA, Italy, 80124","","","https://www.freightnet.com/profile/92286.htm","No"
"Italiana Cargo","Via Aldo Moro, 54  , Lallio (BG), Italy, 24040","","","https://www.freightnet.com/profile/151020.htm","No"
"Netconsolidators srl","piazza XX Settembre 15 , Germignaga, VA, 21010","","","https://www.freightnet.com/profile/138675.htm","No"
"GLOBAL CARGO SRL","Via Londra 7/9 , Segrate (Milano), Italy, 20090","","","https://www.freightnet.com/profile/149885.htm","No"
"SL Cargo Line","viale monza 18 , Milan, Italy, 20100","","","https://www.freightnet.com/profile/148017.htm","No"
"CRISTEF int. freight forwarding and transport","V. Tommaso Reggio 17 , Genoa, Italy, 16123","","","https://www.freightnet.com/profile/146618.htm","No"
"BCM S.p.A.","Via Nicola Cacudi 50 , Bari, Italia, 70132","","","https://www.freightnet.com/profile/145492.htm","No"
"THRUEX SRL","VIA DANTE 144 , LIMITO DI PIOLTELLO, ITALY, 20096","","","https://www.freightnet.com/profile/87450.htm","No"
"Private","Seregno via virgilio 2 20831 MB , Seregno MB, Italy, 20831","","","https://www.freightnet.com/profile/144772.htm","No"
"Worldwide Freight Italy","12, San Sebastiano Str. , Livorno, 57123","","","https://www.freightnet.com/profile/12602.htm","No"
"FISCHER & RECHSTEINER COMPANY","VIA PIEDIMONTE 46 , VALMADRERA, ITALIA, 23900","","","https://www.freightnet.com/profile/142268.htm","No"
"AIDA S.R.L.","VIA PORTUENSE 1555 , c/o Commercity Isola N - Lotto 28, ROMA, ITALY, 00148","","","https://www.freightnet.com/profile/141079.htm","No"
"3starsindasun cargo","Vialle Rafaello Sanzio 22 , Via Masaccio 21, Firenze, FI, 50124","","","https://www.freightnet.com/profile/140330.htm","No"
"BASE SPA","VIALE GOFFREDO MAMELI 6 , LIVORNO, ITALY, 57127","","","https://www.freightnet.com/profile/135612.htm","No"
"AXESS FREIGHT SRL S.U.","VIA TORINO 16 , BOLLATE- MILAN, ITALY, 20021","","","https://www.freightnet.com/profile/136124.htm","No"
"TREVILOG SRL","Via Roma 20/A , CASALE SUL SILE (TV), ITALY, 31032","","","https://www.freightnet.com/profile/135610.htm","No"
"BUCCI Worldwide Spa","Via Magenta, 77 , Buildings 11 & 12, Rho, Milano, 20017","","","https://www.freightnet.com/profile/23245.htm","No"
"STANTE logistics S.r.l.","Via dei gerani 4 , Modugno (BA), Italy, 70026","","","https://www.freightnet.com/profile/135004.htm","No"
"Trasporti ITAL P.A.D.","Via Pier Paolo Pasolini, 5 , Pescara, ITALY, 65123","","","https://www.freightnet.com/profile/134111.htm","No"
"So.Ge.Di.M.  Srl","Via Autostrada 1/A , Bernate Ticino ( Milano), 20010","","","https://www.freightnet.com/profile/1484.htm","No"
"D.D.P. Delivery D. & P. SRL","Piazza Municipio, 6 , Meda, Milan, 20036","","","https://www.freightnet.com/profile/13688.htm","No"
"Cosmos SRL","via Abbate Tommaso 72/A/1 , Quarto d\'Altino, Italy, 30020","","","https://www.freightnet.com/profile/59286.htm","No"
"AVIMAR SRL","Interporto Campano lotto D nr.210 , Nola (NA), Italy, 80035","","","https://www.freightnet.com/profile/117938.htm","No"
"Project Cargo Srl","Via Piave, 19 , Battipaglia (SA), Italy, 84091","","","https://www.freightnet.com/profile/21234.htm","No"
"Newexpress  SRL","Via V. Veneto  18 , Tarvisio, UD, 33018","","","https://www.freightnet.com/profile/13640.htm","No"
"Worldwide Freight Italy","via della cateratte, 90 , Livorno, tuscany, 57122","","","https://www.freightnet.com/profile/107279.htm","No"
"A KING OCEAN LINE SRL","VIA MELISURGO, 4 , NAPOLI - NAPLES, ITALY, 80133","","","https://www.freightnet.com/profile/98733.htm","No"
"Rigon Antonio Trasporti","Via dell' Astronautica, 23 , Thiene, VICENZA, 3616","","","https://www.freightnet.com/profile/105290.htm","No"
"Allservices Srl","Via Buozzi 59 , San Donato Milanese, Milano, 20097","","","https://www.freightnet.com/profile/9993.htm","No"
"Global United Logistic","Viale P.Amedeo, 85 , Solofra, AV, 83029","","","https://www.freightnet.com/profile/354.htm","No"
"ALLIANCE WORLD SHIPPING SRL","Viale di Trastevere, 173 , Via Bologna, 7, ROMA, ITALY, 00153","","","https://www.freightnet.com/profile/56027.htm","No"
"ALLIANCE WORLD SHIPPING SRL","Via Bologna, 7 , Genzano di Roma, Italy, 00045","","","https://www.freightnet.com/profile/114767.htm","No"
"Tra.Ma.Co. Srl - Transit & Maritime Company","30, via Magazzini Anteriori , Ravenna, RAVENNA, 48122","","","https://www.freightnet.com/profile/840.htm","No"
"ITALIA LOGISTICA SRL","Via della Liberazione 24/a , Peschiera Borromeo, Italy, 20068","","","https://www.freightnet.com/profile/103729.htm","No"
"Unitransports srl","Via Medardo Rosso, 13 , Milano, Lombardia, 20159","","","https://www.freightnet.com/profile/841.htm","No"
"Damco (Italy) Srl","Via G. Galilei 19 , Melzo, Milan, 20066","","","https://www.freightnet.com/profile/3202.htm","No"
"More  Freight Srl.","C. Colombo Airport - Cargo Bldg , Genoa, Italy, 16154","","","https://www.freightnet.com/profile/5526.htm","No"
"Ocean Sped Srl","Vico Chiuso Paggi 4/13 , Genova, Italy, 16128","","","https://www.freightnet.com/profile/551.htm","No"
"NAC EXPEDITIONS","VIA V.MONTI 39 , LISSONE, ITALY, 20851","","","https://www.freightnet.com/profile/100318.htm","No"
"Castanini Srl","Via Multedo di Pegli 2 , Genova, 16155","","","https://www.freightnet.com/profile/19405.htm","No"
"Vincenzo Cicatiello & Figli Srl","Via R.Bracco 15A , Naples, ITALY, 80133","","","https://www.freightnet.com/profile/20282.htm","No"
"Netcontsolidators SrL","P.zza xx Settembre , Milan, Italy, 21010","","","https://www.freightnet.com/profile/23829.htm","No"
"AsstrA Italia Srl.","Via Trieste 38, Chiuduno, BG,","","","https://www.freightnet.com/profile/7735.htm","No"
"TC SHIPPING SNC","V.le Martiri della Libertà 9 , RIVANAZZANO TERME, PAVIA, 27055","","","https://www.freightnet.com/profile/55210.htm","No"
"Fortune International Transport","Via Catalani 35 & 46 , Milano, Italy, 20133","","","https://www.freightnet.com/profile/3419.htm","No"
"CCS SRL","Via Murati 9 , Baldichieri d’ Asti, AT, 14011","","","https://www.freightnet.com/profile/17840.htm","No"
"IFC Worldwide Cargo","San Giuliano Milanese , Via Calabria, 3,, Milan, Italy,","","","https://www.freightnet.com/profile/834.htm","No"
"EUROMAR GM S.r.l.","Via Lisiade Pedroni 17/21 , Milano, Italy, 20161","","","https://www.freightnet.com/profile/86476.htm","No"
"ALPINA SRL TRASPORTI INTERNAZIONALI","VIA SARONNINO 7/9 21040 ORIGGIO (VA) , ORIGGIO, LOMBARDIA, 21040","","","https://www.freightnet.com/profile/82397.htm","No"
"ALPHALUX s.r.l. spedizioni internazionali & logistica","Via Chiusa N. 4 , Località Aspio, OSIMO, (Ancona), 60027","","","https://www.freightnet.com/profile/52221.htm","No"
"Intermar","Via Valmontone, 22 , Rome, Rome, 00172","","","https://www.freightnet.com/profile/11057.htm","No"
"LOGIMAR Srl","Via Bolgare 1/a , Carobbio degli Angeli (BG), Italy, 24060","","","https://www.freightnet.com/profile/52377.htm","No"
"Fagioli SpA","via Montalbino, 3 , Milano, 20159","","","https://www.freightnet.com/profile/833.htm","No"
"BARTH ITALIANA SRL","VIA VOIRON 12  , BASSANO DEL GRAPPA, VICENZA, 36061","","","https://www.freightnet.com/profile/45917.htm","No"
"R.C. Transport S.A.S.","Via Belpoggio, 25 , Trieste, Italy, 34123","","","https://www.freightnet.com/profile/3832.htm","No"
"Sogedim srl","corso europa,44 , inveruno, milano / italy, 20010","","","https://www.freightnet.com/profile/54437.htm","No"
"Greenshields Project Cargo Srl","Via A.Pieroni,27 , Leghorn, Tuscany, 57123","","","https://www.freightnet.com/profile/115.htm","No"
"Logimar Srl","Via Bolgare 1 , Carobbio degli Angeli, Bergamo, 24060","","","https://www.freightnet.com/profile/57915.htm","No"
"Transnoli SRL","via Quintiliano 15 , Milano, Lombardia, 20138","","","https://www.freightnet.com/profile/22364.htm","No"
"GDT Logistic Srl","Via XII ottobre , 2/114-115, Genoa, 16121","","","https://www.freightnet.com/profile/2413.htm","No"
"MS PARTNERSHIP 2000 SRL","VIA CHIVASSO 3 , ROMA, ITALY, 00123","","","https://www.freightnet.com/profile/55493.htm","No"
"S.Tagliavia & C.","Via Cavour, 117 , Palermo, 90133","","","https://www.freightnet.com/profile/4487.htm","No"
"Adriatic Air Cargo Srl","Via Marabini 8 , Castel Maggiore, Bologna, 40013","","","https://www.freightnet.com/profile/2224.htm","No"
"C.T.I. SPA","Via Sottoripa 1A , Genova,","","","https://www.freightnet.com/profile/8213.htm","No"
"Arimar International SPA","Via VIII Marzo 35/c , Badia a Settimo, Scancicci, Florence, 50010","","","https://www.freightnet.com/profile/14166.htm","No"
"T.W.L. Group SRL (Trans World Logistic)","Piazzale Carlo Maciachini, 11 , Milano, 20159","","","https://www.freightnet.com/profile/14015.htm","No"
"hw2 international","san lorenzo 31 , cava dei tirreni, salerno, 84013","","","https://www.freightnet.com/profile/51226.htm","No"
"New Cargojet S.r.l.","Via del Commercio, 44 , Buccinasco, Milan, Italy, 20090","","","https://www.freightnet.com/profile/4907.htm","No"
"Crasta & C. Srl","C.so Garibaldi, 367 , Naples, 80142","","","https://www.freightnet.com/profile/12125.htm","No"
"Air Sea Cargo Transport Milano","Via Walter Tobagi 10 , Peschiera Borromeo, Milan, 20068","","","https://www.freightnet.com/profile/58.htm","No"
"Air Sea Cargo Transport Vicenza","Ss Padana Superiore N. 47/a , Ponte Alto, Vicenza, 36100","","","https://www.freightnet.com/profile/59.htm","No"
"Air Sea Cargo Transport Bologna","Interporto Bologna Blocco 5/2, Ufficio , Interporto, Bologna, 40010","","","https://www.freightnet.com/profile/60.htm","No"
"Air Sea Cargo Transport Venice","Via Milano, 20 , Marcon, Venezia, 30020","","","https://www.freightnet.com/profile/61.htm","No"
"Anchor Tech",", Milano, Italy,","","","https://www.freightnet.com/profile/830.htm","No"
"Angiolo Simoncini S.R.L.","Via Sorio 116 , Padova, Venice, Italy, 35141","","","https://www.freightnet.com/profile/831.htm","No"
"Dartrans S.R.L.","Via Valtellina, 40,, Milano, 20125","","","https://www.freightnet.com/profile/832.htm","No"
"JAS Jet Air Service S.p.a.","Via Raffaello Sanzio, 6/8 , Segrate, Milan, Italy, 20090","","","https://www.freightnet.com/profile/835.htm","No"
"Made In Europe Express (Vicenza)","Via Voiron, 12 , Bassano-Del-Grappa, Italy, 36061","","","https://www.freightnet.com/profile/836.htm","No"
"M.C.International Srl","Corso Sebastopoli 44 , Turin/Torino, 10134","","","https://www.freightnet.com/profile/1175.htm","No"
"Speditrans","Via Del Trabaccolo, 21 , Ravenna, 48100","","","https://www.freightnet.com/profile/1308.htm","No"
"Finservice Europe Srl","Via F.Enriques 53 , Livorno, 57121","","","https://www.freightnet.com/profile/1711.htm","No"
"Sogedim Srl","Via Betty Ambiveri 11 , Bergamo, Lombardia, 24126","","","https://www.freightnet.com/profile/2260.htm","No"
"Mercimpex S.R.L.","Via Zara 5 , Pioltello, Milano, 20096","","","https://www.freightnet.com/profile/2956.htm","No"
"Comet Srl","Via Vittorio Emanuele II 31/32 , Messina, Italy, 98122","","","https://www.freightnet.com/profile/3872.htm","No"
"Delta Novel Trade & Maritime Co Srl","Via Magazzini Anteriori No'51 , Ravenna, 48100","","","https://www.freightnet.com/profile/4140.htm","No"
"GTS","Via Fontane, 26/H , Brescia, 25133","","","https://www.freightnet.com/profile/4459.htm","No"
"Line Srl - Doganalisti","Via Cotonificio Valle Ticino 11 , Turbigo, Milano, 20029","","","https://www.freightnet.com/profile/4568.htm","No"
"Abetrans SRL","27 Maggazzini Anteriori , Ravenna, Italy,","","","https://www.freightnet.com/profile/6414.htm","No"
"RST Road  System Transport Srl","Via Leopardi 9 , Grandate, Como,","","","https://www.freightnet.com/profile/6941.htm","No"
"Global Spedizioni srl","Autoporto di Fernetti , Magazzino 65 - Porto Nuovo, Trieste,","","","https://www.freightnet.com/profile/7953.htm","No"
"Tonietti & Casareto S A S","Via de Marini, 1 - World Trade Center - 12th Floor , Genoa,","","","https://www.freightnet.com/profile/7974.htm","No"
"ABS Air Brokers Service SRL","Aeroporto C.Colombo , Genoa,","","","https://www.freightnet.com/profile/8218.htm","No"
"SADI S.p.A. Customs & Logistics (FIAT Group)","Corso Marconi, 10 , TORINO,","","","https://www.freightnet.com/profile/8355.htm","No"
"BALDOSPED SRL","VIA SOMMACAMPAGNA 61 , VERONA, 37138","","","https://www.freightnet.com/profile/8402.htm","No"
"Levante Service","via g.di Vittorio 22 , Ravenna, 48100","","","https://www.freightnet.com/profile/9249.htm","No"
"Air Ocean Cargo S.p.A.","via Dante 144 , Pioltello (Limito), MI, 20096","","","https://www.freightnet.com/profile/10762.htm","No"
"Pietro Balena & Figli S.r.l","Corso A. De Tullio, 20 , Bari, 70122","","","https://www.freightnet.com/profile/10876.htm","No"
"Punto System S.r.l.","Via Dante 144 , Limito D Pioltello, (MI), 20090","","","https://www.freightnet.com/profile/10878.htm","No"
"Siamar Divn. of Combi Line International S.P.A","Via Pietro Chiesa, 7/n , Genova, 16149","","","https://www.freightnet.com/profile/11567.htm","No"
"U.T.C. sas","Via Cappuccina 91 , Mestre, Venice, 30172","","","https://www.freightnet.com/profile/12539.htm","No"
"Cargomar S.r.l.","Via Botteghelle 242 , Naples, 80147","","","https://www.freightnet.com/profile/16169.htm","No"
". Container Shipping Italy","Via Dei Fiorentini 21 , www.contship.it, Napoli, Italy, 80134","","","https://www.freightnet.com/profile/16955.htm","No"
"www.Easy-Moving.it","Via Cippico 1 , Roma, 00143","","","https://www.freightnet.com/profile/18020.htm","No"
"Fata Logistic Systems SPA","Marco Polo Intl , Tessera, Venice, 30173","","","https://www.freightnet.com/profile/18675.htm","No"
"Marexport SRL","Via De Marini, 53 , Torre Shipping, Genova, 16149","","","https://www.freightnet.com/profile/19540.htm","No"
"Savino Del Bene S.p.A.","Worldwide Headquarters Via del Botteghino , 24/26, Scandicci, Florence, 50018","","","https://www.freightnet.com/profile/19572.htm","No"
"Arabital Italia Spa","Via Campania, 5 , Redecesio Di Segrate, Milano, 20090","","","https://www.freightnet.com/profile/19762.htm","No"
"Arabital Italia S.P.A","Via Flaminia, 550 , Ancona,","","","https://www.freightnet.com/profile/19796.htm","No"
