"name","address","phone","website","profileUrl","isPremiumMember"
"Meney Africa Logistics","aeroport fret , abidjan, Exportateur, 01","","","https://www.freightnet.com/profile/251311.htm","No"
"Alom Royal Maritime Services","Zone 4 Marcory, 26 BP1431 Abidjan 26 , Abidjan, Abidjan, 26BP1431 Abidjan 26","","","https://www.freightnet.com/profile/209599.htm","No"
"AVE GROUP INTL","abidjan angre 9eme tranche , abidjan angre 9eme tranche, ABIDJAN, ABIDJAN, 2127","","","https://www.freightnet.com/profile/227801.htm","No"
"RH Logistique et Services","Abidjan Treichville Treichcenter 1st floor , Abidjan, Abidjan, 225","","","https://www.freightnet.com/profile/172844.htm","No"
"CAGL Cote d'Ivoire SARL","Avenue 21  , Rué 15, Treichville, Ivory coast, 0000","","","https://www.freightnet.com/profile/226841.htm","No"
"Elohim Shipping Limited","Terminus 19 Vridi Canal junction, Beside the Cote d' Ivoire Refinary (SIR), Abidjan Cote d' Ivoire , Abidjan, Ivory Coast, 00225","","","https://www.freightnet.com/profile/58260.htm","No"
"CACTUS-GLOBAL GROUP","07 BP 505 , ABIDJAN, Abidjan, 00225","","","https://www.freightnet.com/profile/216747.htm","No"
"GROUPE-IMANA","01 BP 8520 ABIDJAN 01 , 00225-04-20-76-77, ABIDJAN, COTE D'IVOIRE, 00225","","","https://www.freightnet.com/profile/93100.htm","No"
"VINKA LOGISTICS SARL","21 BP 711 ABIDJAN 21 , ABIDJAN, COTE D IVOIRE, 00225","","","https://www.freightnet.com/profile/187840.htm","No"
"DIAM'S International","Abidjan Marcory zone 4c , Abidjan, Côte d'Ivoire, 11 bp 2809 Abidjan 11","","","https://www.freightnet.com/profile/187133.htm","No"
"SICMT SA","23 BP 3444 Abidjan 23 , 3eme étage porte 23, District D'Abidjan, Ivory Coast, +225","","","https://www.freightnet.com/profile/178842.htm","No"
"ETABLISSEMENT BEAUDOUX LOGISQUE","Vridi Zone Portuaire – Boulevard du Port 01 BP 3759 ABIDJAN 01 - COTE D IVOIRE , Abidjan, Cote d'Ivoire, 225","","","https://www.freightnet.com/profile/97295.htm","No"
"Africa Tans Logistiquues","21 bp 352 abidjan 21 , Abidjan, Ivory coast, 225","","","https://www.freightnet.com/profile/54836.htm","No"
"F.E.S.TRANS-CI  ( FESTCI )","KOUMASSI SICOGI , ABIDJAN, IVORY COAST, 225","","","https://www.freightnet.com/profile/137653.htm","No"
"SUPER EST LOGISTIC","Terminus 20 Vridi Canal , ABIDJAN, ABIDJAN, 2609","","","https://www.freightnet.com/profile/128050.htm","No"
"GOSHMELO SHIPPING & TRADING LTD","Terminus 19 Vridi Canal junction, Beside the Cote d\' Ivoire Refinery, Vridi Abidjan Cote d\' Ivoire , ABIDJAN, COTE D\' IVOIRE, 00225","","","https://www.freightnet.com/profile/115198.htm","No"
"UTSC","IMMEUBLE 03 BP 812 ABIDJAN 03 , ABIDJAN, COTE DIVOIRE, 2604","","","https://www.freightnet.com/profile/127481.htm","No"
"GROUPE-IMANA","01 BP 8520 ABIDJAN 01 , PLATEAUX RUE DU COMMERCE, ABIDJAN, COTE D'IVOIRE, 225","","","https://www.freightnet.com/profile/94152.htm","No"
"Ivoire Packing Shipping Services","Lot 92-93 ,Suite # 208, Boulevard Gabon  Marcory  , 12 BP 2341 Abidjan, Abidjan, Abidjan, 0225","","","https://www.freightnet.com/profile/86853.htm","No"
"AIR 2 SEA GLOBAL LOGISTICS","Blv du Vridi Canal Zone 3 Marcory 01 BP 876 Abidjan 01 , Abidjan, Cote d'Ivoire, 225","","","https://www.freightnet.com/profile/84505.htm","No"
"Adk Groupe Sarl","Adk Groupe Sarl 07 B.P. 381 Abidjan 07  , Abidjan Treichville Avenue 20-Rue 12 Imm, Abidjan, Ivory Coast, 00225","","","https://www.freightnet.com/profile/48500.htm","No"
"OCEAN TRANSIT SERVICE CI (OTS)","AV THOMASSET IMMEUBLE THOMASSET ABIDJAN , ABIDJAN, ABIDJAN, 00225","","","https://www.freightnet.com/profile/60565.htm","No"
"Africa Sea Line","IMMEUB ALANI 5 ETAGE,FRANCE -AMERIQUE  , 05 BP 1304 ABIDJAN 01 TREICHVILLE, Treichville, Abidjan, 00225","","","https://www.freightnet.com/profile/50151.htm","No"
"TRANSIT AFRIC COTE D'IVOIRE","17 BP 985 ABIDJAN 17 , ABIDJAN, COTE D'IVOIRE, +225","","","https://www.freightnet.com/profile/58384.htm","No"
"KodA Maritime","Immeuble Meroueh Bvd de Marseille , PO box 2171 Abidjan, Treichville, Abidjan, 00255","","","https://www.freightnet.com/profile/49550.htm","No"
"Maersk Logistics Cote d'Ivoire S.A.","Immeuble Le Mans , Bld. Botreau Roussel, Abidjan, 6939","","","https://www.freightnet.com/profile/20322.htm","No"
"sonyax","21 benson , Abidjan, Ivory coast, 225","","","https://www.freightnet.com/profile/46320.htm","No"
"EL-GOSH INVESTMENTS LTD","Terminus 19 Vridi Canal junction, Beside the Cote d\' Ivoire Refinery, Vridi Abidjan Cote d\' Ivoire , ABIDJAN, COTE D' IVOIRE, 00225","","","https://www.freightnet.com/profile/115199.htm","No"
