"name","address","phone","website","profileUrl","isPremiumMember"
"DOMILINKS CORPORATION","F7, NIKI BLD., SHIBA 2-3-25, MINATO-KU, TOKYO, JAPAN, 105-0014","+81-3-6435-6968","http://www.domilinks.com/","https://www.freightnet.com/profile/51631.htm","Yes"
"Kilimo Logistics LLC","Mitaka, Shimorenjaku 9-3-25   306. , Mitaka, Tokyo, 181-0013","+818013322337","https://kilimo-logistics.jp/","https://www.freightnet.com/profile/237643.htm","Yes"
"Japan Trans System Inc","Kayabacho 2chome Bldg , Nihonbashi-kayabacho, TOKYO, JAPAN, 103-0025","","","https://www.freightnet.com/profile/247620.htm","No"
"Kyodo Transport Co., Ltd.","17-31 , Kobayashi-Nishi 1-chome, Osaka- City, Osaka Pref., 5651-0013","","","https://www.freightnet.com/profile/224703.htm","No"
"Hubnet Express","3*24*7 higashi shinagawa , Shinagawa-Ku, Tokyo, Japan, 140-0002","","","https://www.freightnet.com/profile/159902.htm","No"
"ICLLOGISTICS","3F, ISHIDA BLDG. 1-21-8, SHINKAWA, CHUO-KU, TOKYO, 104-0033, JAPAN","","","https://www.freightnet.com/profile/190053.htm","No"
"Moxaco Global Cargo co.,Ltd.","1000-1,kobe-shi,suma-ku,myohouji, aza ushinoko,, kobe, Japan, 654-0121","","","https://www.freightnet.com/profile/149119.htm","No"
"Access Japan Co., Ltd.","Room 202-A, No. 1 Cargo Agents Bldg., 154-4, Irimae, Narita, Chiba, Japan, 282-0004","","","https://www.freightnet.com/profile/135028.htm","No"
"FEG LOGISTICS CO.,LTD.","No. 501, 2-1,Uchikanda 3-chome, Chiyoda-ku, Tokyo 101-0047, Japan    , TOKYO, JAPAN, 101-0047","","","https://www.freightnet.com/profile/228231.htm","No"
"SMJ CO., LTD.","3-6-20 , HIGASHI OI, SHINAGAWA-KU, TOKYO, JAPAN, 140-0011","","","https://www.freightnet.com/profile/55049.htm","No"
"AASC Co.,Ltd.","Daiwa Azabudai Building 7F, 2-3-3, Azabudai, Minato-ku, Tokyo, Japan, 106-0041","","","https://www.freightnet.com/profile/174616.htm","No"
"CAE JAPAN CO., LTD.","TOKYO SRC UNI-B4 1-1-1 Katsushima, Shinagawa-ku, Tokyo 140-0012 , TOKYO, JAPAN, 140-0012","","","https://www.freightnet.com/profile/149410.htm","No"
"Shizcon Logistics Ltd","LIVRA HIGASHI NIHONBASHI-VI, 4F  , 3-12-11 HIGASHI NIHONBASHI, CHUO-KU, Tokyo, 103-0004","","","https://www.freightnet.com/profile/22097.htm","No"
"BRIGHTON OCEAN Co ., Ltd.","3-34 Hanakumacho , Chuo-ku  Kobe-shi , Hyogo  Japan , KOBE, HYOGO, 650-0013","","","https://www.freightnet.com/profile/156741.htm","No"
"GREEN8 Co., Ltd.","Shintomi Bld 4F , 2-2-13 Shintomi, Chuo-ku, Tokyo, Japan, 104-0041","","","https://www.freightnet.com/profile/61401.htm","No"
"Japan Luggage Express Ltd.","3-15-2 Akehara , Kashiwa-shi, Chiba-ken, Japan, 277-0843","","","https://www.freightnet.com/profile/138936.htm","No"
"NIPTRAN EXPRESS LTD","LIVRA BLDG. 5F , 3-12-6, HIGASHI NIHONBASHI, CHUO-KU, TOKYO, 103-0004","","","https://www.freightnet.com/profile/49007.htm","No"
"DAMCO JAPAN K.K.","Ichiboshi Shiba Building 5F , 2-2-14 Shiba, Minato-ku, Tokyo, 1050014","","","https://www.freightnet.com/profile/104982.htm","No"
"Apex International Inc","7Fl, Toyokuni Bldg  , 2-4-6 Shiba-Daimon, Minato-Ku, Tokyo, 105-0012","","","https://www.freightnet.com/profile/20081.htm","No"
"Nisshin Trans Consolidator Co Ltd","27-12,1-Chome, Nishikujyou , Konohana-Ku, Osaka, 554-0012","","","https://www.freightnet.com/profile/22087.htm","No"
"AW Logistics KK","Suzuyo Hamamatsucho Bldg. 5 F , 2-1-16 Kaigan, Minato - ku Tokyo, Japan, 105-0022","","","https://www.freightnet.com/profile/62092.htm","No"
"Logiwest Ltd.","1-25-2, Gakuen-Nishi-machi , Kodaira-shi, Tokyo, Japan, 187-0045","","","https://www.freightnet.com/profile/43541.htm","No"
"BREAK THROGH, LLC.","#202Avenir , 254-523, Kashiwa, Chiba, 277-0872","","","https://www.freightnet.com/profile/46559.htm","No"
"Japan Transcity Corporation","4f, New Marunouchi Bldg.5-1, Marunouchi 1-Chome , Chiyoda-Ku, Tokyo, 100-0005","","","https://www.freightnet.com/profile/2535.htm","No"
"Toho International Co. Ltd","3rd Floor, Noguchi Building , 1-10-7, Nishishinbashi, Tokyo, Minatoku, 105-0003","","","https://www.freightnet.com/profile/12446.htm","No"
"Global Logistics Corporation","KP Minamiaoyama Bldg.7F, 2-12-12 , Minamiaoyama, Minato-Ku, Tokyo, 107-0062","","","https://www.freightnet.com/profile/16028.htm","No"
"Sanritsu Corporation","4-27, Konan 3-chome , Minato-ku, Tokyo, 108-0075","","","https://www.freightnet.com/profile/16396.htm","No"
"Kuehne + Nagel Ltd","Yomiuri Yokohama Building 6F 603 , 51-1 Yamashita-cho, Naka-ku, Yokohama City, Kanagawa Prefecture, 231-0023","","","https://www.freightnet.com/profile/18920.htm","No"
"Logiwest Ltd.","701,2-4-5 , Shiba-Daimon, Minato-ku, Tokyo, 150-0012","","","https://www.freightnet.com/profile/43542.htm","No"
"BREAK THROUGH, LLC.","202 Avenir , 254-523 Toyofuta, Kashiwa, Chiba, 277-0872","","","https://www.freightnet.com/profile/46557.htm","No"
"BREAK THROUGH, LLC.","Avenir 202 , 254-523, Kashia, Chiba, 277-0872","","","https://www.freightnet.com/profile/46558.htm","No"
"Sinki international logistics,LLC","room1101,1-18 , 6-chome,sakaemachidori, chuo-ku,kobe-city, hyogo,Japan, 650-0023","","","https://www.freightnet.com/profile/83252.htm","No"
"Seatop Logistics (Japan) Co., Ltd.","Osaka , Osaka, Japan, +81","","","https://www.freightnet.com/profile/107243.htm","No"
"Greeen8Co.Ltd","Shintomi Bldg 4F, 2-2-13, Shintomi , Shintomi, Chuo Ku, Tokyo, Japan, 104 0041","","","https://www.freightnet.com/profile/111334.htm","No"
