"name","address","phone","website","profileUrl","isPremiumMember"
"Wellfast Logistics Co., Ltd. Almaty Office","2d Timiyazev Street, Almaty, Kazakhstan, 050013","+77-023060588","http://www.wellfast.com/","https://www.freightnet.com/profile/107391.htm","Yes"
"Sky Logistics","65 Radlov Str. Apt 501, 050010, Almaty, Kazakhstan, 050000","+77019913300","http://skylogistics-kz.com/","https://www.freightnet.com/profile/149379.htm","Yes"
"Sarens Kazakhstan LLP","Ormanov Street 7, Business Center ""Prime"", 4th Floor, Office 402, Almaty, Almaty, 050000","+77756624455","","https://www.freightnet.com/profile/256645.htm","Yes"
"JAIDEV GLOBAL KAZAKHSTAN LIMITED","38 Tulibaev Street  , ALMATY, Almaty, 050010","","","https://www.freightnet.com/profile/216875.htm","No"
"Al-Mei Service, LLP","25, Kabanbay str., 050000, Almaty, Kazakhstan , 18, Samal-1 mcrd, Almaty, Kazakhstan, Almaty, Kazakhstan, 050000","","","https://www.freightnet.com/profile/137508.htm","No"
"Navigator Sea Land Limited","53, Panfilov Street , Almaty, Almaty, 050004","","","https://www.freightnet.com/profile/224062.htm","No"
"EGS Logistics","office 111, 55 Karasay batyr str. , Almaty, Kazakhstan, 050000","","","https://www.freightnet.com/profile/110669.htm","No"
"F.S.Mackenzie LLC","Republic of Kazakhstan,Almaty, 98 Zhandosov street , Almaty, Kazakhstan, 050042/A10M6K9","","","https://www.freightnet.com/profile/235457.htm","No"
"BA Global Logistics","51E Nemirovich-Danchenko str , Almaty, Kazakhstan, 050016","","","https://www.freightnet.com/profile/175959.htm","No"
"TOO ARIAN TRADING COMPANY","AUEZOVA STR 3G  , Almaty, Kazakhstan, 050008","","","https://www.freightnet.com/profile/142783.htm","No"
"Trans Globe LLP","20A Kazybek Bi, Office 409 , Almaty, Europe, Middle East, Africa, A25X0M2","","","https://www.freightnet.com/profile/140350.htm","No"
"Lark Kazakhstan","Samal 2 Hosue no 91 , Almaty, Kazakhstan, 050000","","","https://www.freightnet.com/profile/134428.htm","No"
"Borusan Logistics Inernational Kazakhstan","Phurmanova ave 174B, 3d floor , Almaty, Kazakhstan, 050000","","","https://www.freightnet.com/profile/95598.htm","No"
"TransLine - Kazakhstan office","63, Makataev str , Almaty, Almaty, 050070","","","https://www.freightnet.com/profile/14378.htm","No"
"EMERLOG","173 rue Fourmanova , Almaty, Kazakhstan, 480004","","","https://www.freightnet.com/profile/61490.htm","No"
"Silk Route Shipping ( The C.I.S. Expeditor Specialists )","No. 1503 Al Masraf Tower - Deira , Dubai, United Arab Emirates, 40085","","","https://www.freightnet.com/profile/92207.htm","No"
"Technowest","Dostyk, 20-23 , Almaty, Almatinskaya oblast, 050020","","","https://www.freightnet.com/profile/91908.htm","No"
"Transsystem Ltd","76, Abai Avenue , Almaty, 480057","","","https://www.freightnet.com/profile/19819.htm","No"
"M-Spedition LLP","111A Zheltoksan st. of 26 , Almaty, Kazakhstan, 050000","","","https://www.freightnet.com/profile/52879.htm","No"
"Caspian Development Company","Azattyk Ave. 116A , Atyrau, Atyrau Oblast, 060003","","","https://www.freightnet.com/profile/14844.htm","No"
"BA Services International","Panfilov Street 203-7 , Almaty, 480099","","","https://www.freightnet.com/profile/10434.htm","No"
"M&M Logistics Ltd","MicroDistrict 2-11/A , Aktau, 130000","","","https://www.freightnet.com/profile/10683.htm","No"
"A.R.T. Logistics","122a  Kabanbay batyr st. , Almaty, 050000","","","https://www.freightnet.com/profile/14280.htm","No"
"A.R.T. Logistics Llp","122a Kabanbai-Batyr Street , Almaty,","","","https://www.freightnet.com/profile/19802.htm","No"
"M&M Logistics Ltd","38 Toulebaev Street , Almaty, 50004","","","https://www.freightnet.com/profile/19803.htm","No"
"Ai Trans Company LLP","18 Hany Kerey & Zhanibek str. , Astana, Esil, 010000","","","https://www.freightnet.com/profile/109248.htm","No"
