"name","address","phone","website","profileUrl","isPremiumMember"
"GREENPORT CARGO SERVICES","P.O BOX 562, NAIROBI, Kenya, 00520","0728681709","","https://www.freightnet.com/profile/142542.htm","Yes"
"CargoJets","Jomo Kenyatta International Airport, Embakasi, Nairobi, 0100","0759284085","https://cargojets.net/","https://www.freightnet.com/profile/253302.htm","Yes"
"Qambi Aviation","Mitchel Cotts, 1st Floor, JKIA, Nairobi , NAIROBI, KENYA, MITCHEL COTTS","","","https://www.freightnet.com/profile/260387.htm","No"
"Elmak Limited","Mombasa Rd , Nairobi, Nairobi, 19126-00100","","","https://www.freightnet.com/profile/244056.htm","No"
"Oceanwide Logistics Freight Forwarder Ltd","lunga lunga road , Nairobi, Kenya, 00100","","","https://www.freightnet.com/profile/232664.htm","No"
"Modest Intenational Logistics","79352-00200 , A2 MayfairMaisonettes Mpaka rd Westlands, Nairobi, Kenya, 00200","","","https://www.freightnet.com/profile/140701.htm","No"
"Citadel Smart Logistics Company","moi Avenue , Mombasa kenya, Mombasa, Kenya, 254","","","https://www.freightnet.com/profile/260335.htm","No"
"Seabay","Mirage Plaza 2nd Floor  , Nairobi, Kenya, 00200","","","https://www.freightnet.com/profile/214060.htm","No"
"Cynke Logistics","P o Box 30185 , Nairobi, Nairobi, 00100","","","https://www.freightnet.com/profile/250509.htm","No"
"Pivot cargo services Ltd","98 , Mombasa, Coast, 80100","","","https://www.freightnet.com/profile/234512.htm","No"
"ALLIED SERVICES","1st Floor, Panorama Plaza, Airport Road, Juba South Sudan , 8th Floor, Pension Towers, Loita Street, Nairobi Kenya., NAIROBI, KENYA, 00100","","","https://www.freightnet.com/profile/177034.htm","No"
"KENMAX LOGISTICS LIMITED","26893-00100 , NAIROBI, NAIROBI, 00100","","","https://www.freightnet.com/profile/182077.htm","No"
"Isaack Air","PO Box Nairobi  , Nairobi, Nairobi, 00100 GPO","","","https://www.freightnet.com/profile/215683.htm","No"
"SALIHIYA AIR CARGO","Eastleigh , Former kenya bus, NAIROBI, Kenya, 00100","","","https://www.freightnet.com/profile/185244.htm","No"
"SWALA CARGO","Shem Plaza 4th flr , Lusaka rd, Nairobi, Nairobi, 00610","","","https://www.freightnet.com/profile/228432.htm","No"
"Switchport Limited","Nkurumha Road Mombasa Kenya , Mombasa, Kenya/Mombasa, 7451/00200","","","https://www.freightnet.com/profile/215245.htm","No"
"Loghan Freight","4610-00100 , Nairobi, Kenya, 00100","","","https://www.freightnet.com/profile/194746.htm","No"
"Globe trail cargo limited","45279 , Nairobi, Kenya, 00100","","","https://www.freightnet.com/profile/188196.htm","No"
"cargopath","jkia building , jommo kenyatta internationa airport, nairobi, nairobi, 00506","","","https://www.freightnet.com/profile/208949.htm","No"
"JEMI FREIGHTS LTD","29464 , EMBAKASI, NAIROBI, 0100","","","https://www.freightnet.com/profile/205812.htm","No"
"Smart Freight International Services","Embakasi , North Airport Road, Nairobi, Nairobi City, 0010","","","https://www.freightnet.com/profile/205464.htm","No"
"calpic logistics","0725958561 , 0715198819, NAIROBI, KENYA, +254","","","https://www.freightnet.com/profile/201926.htm","No"
"VMAX CARGO SHIPPING LTD","POBox 29952  , Nairobi, Kenya, 00100","","","https://www.freightnet.com/profile/198536.htm","No"
"FULLTIME LOGISTICS","FEDHA ROAD , NAIROBI, NAIROBI, 00100","","","https://www.freightnet.com/profile/180190.htm","No"
"BIXO DIGITAL LOGISTICS","P O BOX 7889-00300 , NAIROBI, NAIROBI, 00300","","","https://www.freightnet.com/profile/146025.htm","No"
"Phab Aviation Ltd","95 Wilton Road, suite 3 , London, ----, SW1V1BZ","","","https://www.freightnet.com/profile/105280.htm","No"
"Astral Aviation","594 , NAIROBI, KENYA, 00606","","","https://www.freightnet.com/profile/168317.htm","No"
"Empire Logistics Services Ltd","11977 , 00100, Nairobi, Nairobi, 00100","","","https://www.freightnet.com/profile/166145.htm","No"
"Ghala Solutions Ltd","No. 1 Bellway Business Park , Mombasa Road, Nairobi, Kenya, 254","","","https://www.freightnet.com/profile/163298.htm","No"
"jafalinks logistics limited","000502 , NAIROBI, NAIROBI, 254","","","https://www.freightnet.com/profile/139394.htm","No"
"Nedsom Freight & Logistics","Opposite Pumwani maternaty hospital , General warunge straat, Nairobi, Kenya, 001-00","","","https://www.freightnet.com/profile/148788.htm","No"
"Nadsom Freight & Logistics","Opposite Pumwani maternaty hospital , Nairobi, Kenya, 100-002","","","https://www.freightnet.com/profile/148981.htm","No"
"IAGC","P.O.box 19073 00501 NBI , Nairobi, Weslands, 00200","","","https://www.freightnet.com/profile/136592.htm","No"
"Benton Logistics Ltd","P.O. BOX 4395 , Nairobi, Kenya, 00506","","","https://www.freightnet.com/profile/112133.htm","No"
"Top-class logistics serv ltd","831 , MOMBASA, KENYA, 254","","","https://www.freightnet.com/profile/106884.htm","No"
"Aspire Devonshire Freighters Nairobi Kenya","28684 , JKIA Nairobi, Nairobi, Kenya, 00200","","","https://www.freightnet.com/profile/92258.htm","No"
