"name","address","phone","website","profileUrl","isPremiumMember"
"RCL AFRICA LIMITED","KIPRO CENTRE, 4TH FLOOR, WESTLANDS, NAIROBI - KENYA, JUBILEE ARCADE, GROUND FLOOR, ALONG MOI AVENUE, MOMBASA-KENYA, NAIROBI, WESTLANDS, 00800","+254757500000","http://www.rclafrica.com/","https://www.freightnet.com/profile/259845.htm","Yes"
"Daben Logistics Ltd","+254724611800 , 19899, Nairobi, Kenya, 00200","","","https://www.freightnet.com/profile/133512.htm","No"
"KELFAST LOGISTICS LTD","-00100 , 0719623067, Nairobi, Kenya, 00100","","","https://www.freightnet.com/profile/244229.htm","No"
"GLOBAL AXIS FREIGHT LIMITED","80100 , 80100, MOMBASA, MOMBASA, 80100","","","https://www.freightnet.com/profile/262163.htm","No"
"Elipas Logistics limited","51985-00100 , nairobi, kenya, 51985-00100","","","https://www.freightnet.com/profile/259686.htm","No"
"ROSTE GLOBAL LOGISTICS LTD","Builders Den, Outering Rd , NAIROBI, KENYA, 0506","","","https://www.freightnet.com/profile/259130.htm","No"
"Rajem","99013 , 80110, Nvita, Mombasa, 80100","","","https://www.freightnet.com/profile/259252.htm","No"
"Diplomatic Mail Service K) Ltd","6286 , NAIROBI, Kenya, 00100","","","https://www.freightnet.com/profile/218031.htm","No"
"ROSTE GLOBAL LOGISTICS LTD","5443 , NAIROBI, KENYA, 020","","","https://www.freightnet.com/profile/255119.htm","No"
"Mully Global Logistics","P.O BOX 36913-00200 , KAHL BUILDING FIRST FLOOR SUITE 134, NAIROBI, KENYA, +254","","","https://www.freightnet.com/profile/155976.htm","No"
"Freightlogix Kenya Limited","3rd Floor, Liberty Plaza, Mombasa road, Nairobi, Kenya. , Ground Floor, Canon Towers, Moi Avenue, Mombasa, Kenya, Nairobi, Kenya, 00603","","","https://www.freightnet.com/profile/141269.htm","No"
"AFRICA 360CARGO HANDLING SERVICES  LIMITED","41350 , MOMBASA, KENYA, 80100","","","https://www.freightnet.com/profile/163490.htm","No"
"Infusion Logistics","3510 , Nairobi, Nairobi, 00100","","","https://www.freightnet.com/profile/199649.htm","No"
"motetemi investiment","contact number +254701464313 , nairobi, nairobi county, 186-00623","","","https://www.freightnet.com/profile/231412.htm","No"
"CARGO PLAN MOVERS & FORWARDERS LTD","P.O BOX 36917-00200 , JOMO KENYATTA INTERNATIONAL AIRPORT, NAIROBI, NAIROBI, +254 720312169","","","https://www.freightnet.com/profile/99568.htm","No"
"Swiftstrides Logistics Ltd","82371 , Mombasa, Kenya, +254","","","https://www.freightnet.com/profile/82357.htm","No"
"SALIMOND FREIGHT SERVICES LTD","P.O BOX 8664 , NAIROBI, NAIROBI, 00300","","","https://www.freightnet.com/profile/212652.htm","No"
"Silverhawk Cargo","P.O.Box 460 , Mombasa, Kenya, 80100","","","https://www.freightnet.com/profile/93567.htm","No"
"Boon Freight International Logistics Limited","P.O.B0X 103468 , NAIROBI, KENYA, 00101","","","https://www.freightnet.com/profile/182931.htm","No"
"MAKIM CARGO","80301-80100 , MOMBASA, MOMBASA, +254","","","https://www.freightnet.com/profile/201865.htm","No"
"Logifix East Africa Ltd","P.o box 17047 , Mombasa, Kenya, +254","","","https://www.freightnet.com/profile/196292.htm","No"
"Blue Pearl logistics Ltd","P.O.BOX 16924 ,NAIROBI , NAIROBI, NAIROBI, 00100","","","https://www.freightnet.com/profile/138097.htm","No"
"AIR MARINE AND LAND LOGISTICS LIMITED","53167 , 53167, N/A, NAIROBI, +254","","","https://www.freightnet.com/profile/187068.htm","No"
"AIRCOM CARGO LOGISTICS LTD","P.O. BOX 4454-00200 , Uzima Business Centre, NAIROBI, KENYA,","","","https://www.freightnet.com/profile/158531.htm","No"
"SITE FORWARDERS LTD","P.O BOX 51469 00200 NAIROBI , NAIROBI, KENYA, 00200","","","https://www.freightnet.com/profile/170199.htm","No"
"Jareka Investment Ltd","P o Box 18641-00500  , Nairobi, Nairobi, 00500","","","https://www.freightnet.com/profile/138864.htm","No"
"CARGOCARE INTERNATIONAL","P.O.BOX 28203 , NAIROBI, KENYA, 00200","","","https://www.freightnet.com/profile/128481.htm","No"
"Genesso Limited","Allimex Plaza , Mombasa road, Nairobi, Nairobi, 26754-00100","","","https://www.freightnet.com/profile/106498.htm","No"
"Oceanwave Tradelinks Ltd","P.O. Box 1069 , Mombasa, 80100","","","https://www.freightnet.com/profile/14231.htm","No"
