"name","address","phone","website","profileUrl","isPremiumMember"
"M.A CATOSH VENTURE'S LTD","EASTLEIGH FIRST AVENUE, 7TH STREET. OLYMPIC MALL, NAIROBI, NAIROBI,","0724741576","","https://www.freightnet.com/profile/210874.htm","Yes"
"Sedo Logistics Ltd","11231-00100, Enterprise Road, Nairobi, Kenya, 00100","+254722973090","","https://www.freightnet.com/profile/64140.htm","Yes"
"FULL BIT LOGISTICS LTD","4019-80107, MOMBASA CITY, Kenya , +254 722 794 898, mombasa, Mombasa, 80107","+254 726 333 323","http://fullbitlog.com/","https://www.freightnet.com/profile/262945.htm","Yes"
"K&F SHIPPING AND AGENCY COMPANY LTD","MOI AVENUE, MOMBASA, Mombasa, 80100","+254733755566","","https://www.freightnet.com/profile/261727.htm","Yes"
"TRANSMERIDIAN INTERNATIONAL LOGISTICS LTD","P.0.BOX 5594-00100, KAHL HOUSE,JOMO KENYATTA INTERNATIONAL AIRPORT, Nairobi, Kenya, 00100","Tel; +254 714121278, +254 728327652","http://www.transmeridiangroup.com/","https://www.freightnet.com/profile/139675.htm","Yes"
"Youngline Kenya","Jkia Airport , Nairobi, Kenya, 00200","+254722708208","https://www.younglinekenya.com/","https://www.freightnet.com/profile/264194.htm","Yes"
"Freightways Global Solutions Ltd-Freight Forwarding| Warehousing | 3PL & 4PL Logistics","Tulsi Business Park Ltd, Chady Rd, Nairobi, Warehouse 2, Nairobi, Nairobi, 00100","+254112241559","http://www.freightwaysglobal.com/","https://www.freightnet.com/profile/258090.htm","Yes"
"DLN FREIGHT KENYA LTD","19470, NAIROBI, NAIROBI, KENYA, 254","+254720535433","https://www,riomafreighters.com/","https://www.freightnet.com/profile/252211.htm","Yes"
"BAHSAN GLOBAL LOGISTICS LIMITED","Major Murithi Street, Hodo Souk, 3rd Floor, Office #6Nairobi Kenya, Nairobi Kenya, NAIROBI, Nairobi, 45-00610","+254722154816","https://www.bahsanlogistics.com/","https://www.freightnet.com/profile/264359.htm","Yes"
"RHS FREIGHT SERVICES KENYA LIMITED","01 F. , MIRAGE PLAZA, MOMBASA ROAD, NAIROBI, 00100","0707393753","http://www.rhsfreightservices.com/","https://www.freightnet.com/profile/254935.htm","Yes"
"Bepak Logistics Ltd","Pili Trade Centre, Mombasa Rd , Nairobi , AND Canon Towers, 5th Floor, Moi Avenue, Mombasa, Nairobi, Nairobi, 00100","+254750116311","http://www.bepaklogistics.co.ke/","https://www.freightnet.com/profile/256242.htm","Yes"
"ASCENT FREIGHT LOGISTICS","Khaderbhouy building,Nkurumah Road Mombasa , 1st Floor Office no 23, Mombasa, KE11, 42218-80100","0720472780","http://www.ascentlogistics.co.ke/","https://www.freightnet.com/profile/194793.htm","Yes"
"SKYRAIL LOGISTICS LIMITED","FOURTH SEASON BUILDING 2ND FLOOR JOMMO KENYATTA INTERNATIONAL AIRPORT, NAIROBI, NAIROBI, 00100","0112030554","https://www.skyraillogistics.com/","https://www.freightnet.com/profile/259711.htm","Yes"
"Pedoker Freight Logistics Limited","North Airport Road, Winston Plaza, Nairobi, Kenya, 00100","0720326495","http://www.pedokerfreight.com/","https://www.freightnet.com/profile/193629.htm","Yes"
"CALSDAN LOGISTICS KENYA LTD","GADS WORKS BUILDING, 3RD FLOOR OFF MOMBASA ROAD, BEHIND LIBERTY PLAZA, P.O BOX 51180-00100, NAIROBI, NAIROBI, 00100","0716343355","http://www.calsdanlogistics.co.ke/","https://www.freightnet.com/profile/256892.htm","Yes"
"Allports Shipping Services Ltd","Nkrumah Road,Ukumbusho House-Ground Floor, Mombasa, Kenya, 80100","+254701869934","http://www.allportsgroup.com/","https://www.freightnet.com/profile/253262.htm","Yes"
"Veltrix Solutions Kenya Limited","Signature Malll , Mombasa Road, Nairobi, Nairobi, 00200","","","https://www.freightnet.com/profile/265951.htm","No"
"QUICK TASK FREIGHT LTD","AIRPORT NORTH ROAD , NAIROBI, NAIROBI, 76785-00620","","","https://www.freightnet.com/profile/120368.htm","No"
"KALEMU FREIGHTERS LTD","Pili Trade Centre , NAIROBI, kenya, 80100","","","https://www.freightnet.com/profile/264066.htm","No"
"Kenfreight east africa","Mombasa , Mombasa, Kenya, 80100","","","https://www.freightnet.com/profile/259628.htm","No"
"BLECOMS FREIGHT LOGISTICS","MOI AVENUE , MOMBASA, MOMBASA, 00800","","","https://www.freightnet.com/profile/261422.htm","No"
"Eliga Freight Services","2nd Floor, Nairobi Cargo Centre JKIA , PO Box 28823, Nairobi, Kenya, 00200","","","https://www.freightnet.com/profile/120455.htm","No"
"ARION FREIGHT SYSTEMS LIMITED","APOLLO COURT 1ST, MOI AVENUE, MOMBASA , P.O BOX 88739, Mombasa, KENYA, 80100","","","https://www.freightnet.com/profile/263062.htm","No"
"Holivet Africa Ltd","Freight terminal, JKIA,KAHL BLDG ROOM 151 , NAIROBI, NAIROBI, 00525","","","https://www.freightnet.com/profile/264765.htm","No"
"Cien logistics Ltd","CARGO CENTRE,JKIA , NAIROBI, Kenya, 254","","","https://www.freightnet.com/profile/148992.htm","No"
"MOSLEX   ENTERPRISES","P.O BOX 43368 80100 , MOMBASA, KENYA, 80100","","","https://www.freightnet.com/profile/247225.htm","No"
"GeeBea Impex & Logistics Limited","P.O. Box 87454 Mombasa , Express Hse 3rd Floor,Moi Avenue, Mombasa, Mombasa, 80100","","","https://www.freightnet.com/profile/128241.htm","No"
"ADEL FREIGHT MOVERS LIMITED","FREIGHT TERMINAL,1ST FLOOR 136B.JOMO KENYATTA INTERNATIONAL AIRPORT. , NAIROBI, KENYA, P O BOX 826-00100 GPO NAIROBI","","","https://www.freightnet.com/profile/255793.htm","No"
"JM Freight services","467 , Nairobi, Nairobi, 00204","","","https://www.freightnet.com/profile/245086.htm","No"
"EAC Logistics Solutions Kenya Ltd","Unit 12, 6th Flr, Nextgen Mall , Mombasa Road, Nairobi, Nairobi, Nairobi, 72533-00200","","","https://www.freightnet.com/profile/204510.htm","No"
"BS International Logistics","Nabih@binshoelan.com  , Addis Ababa, Ethiopia, 16914","","","https://www.freightnet.com/profile/160747.htm","No"
"Pike  Freight Services Ltd","2128 , Jomo Kenyatta international airport, Nairobi, Kenya, 00519","","","https://www.freightnet.com/profile/237140.htm","No"
"Kaflos Freight and Logistics LTD","80100 , MOMBASA, Mombasa, P.O Box 88739","","","https://www.freightnet.com/profile/257970.htm","No"
"ADIL TRANSPORTERS LIMITED","NKURUMAH ROAD Mombasa Trade centre (formerly Ambalal House) 5th Floor No3 , Na, Mombasa, Coast, 80100","","","https://www.freightnet.com/profile/251343.htm","No"
"GOLIATH AFRICA LOGISTICS KENYA LTD","1ST FLOOR,ORIENTAL BUILDING,NKRUMAH ROAD , MOMBASA, MOMBASA, 80100","","","https://www.freightnet.com/profile/189060.htm","No"
"Dalmer Logistics Agencies","95340-80104 , Mombasa, Kenya, 80104","","","https://www.freightnet.com/profile/261319.htm","No"
"SHEFFIELD CARGO LOGISTICS LIMITED","4th Floor New commercial House  , Commercial street , Industrial area, NAIROBI, KENYA, 6197-00300","","","https://www.freightnet.com/profile/148895.htm","No"
"DANFRED FREIGHT LOGISTICS LTD","P.O BOX 00 , Mombasa, Mombasa, 00-80100","","","https://www.freightnet.com/profile/261109.htm","No"
"Global Express Line Ltd","97419 , Mombasa, Kenya, 254","","","https://www.freightnet.com/profile/243766.htm","No"
