"name","address","phone","website","profileUrl","isPremiumMember"
"Leilani Logistics","mombasa kenya , mombasa, kenya, 00100","","","https://www.freightnet.com/profile/153449.htm","No"
"Modest International Logistics Limited","P.O. Box 79352  , A2 Mayfair Maisonette, Mpaka Road, Westlands, Nairobi, Kenya, 00200","","","https://www.freightnet.com/profile/141276.htm","No"
"Dansons Shipping Ltd","P.O BOX 26934 , MOMBASA ROAD, NAIROBI, NAIROBI, 00504","","","https://www.freightnet.com/profile/171148.htm","No"
"BORABU FREIGHT AND TRANSPORT SERVICES LTD","OLD SIGINON BLG- JKIA , P.O.BOX 242002, NAIROBI, KENYA, 00100","","","https://www.freightnet.com/profile/158024.htm","No"
"ABA Express  Logistics Limited  |","P.o. Box 85483-80100, Mombasa Kenya , P.o. Box 85483-80100, Mombasa Kenya, MOMBASA, MOMBASA, 254","","","https://www.freightnet.com/profile/144854.htm","No"
"JIHAN FREIGHTERS LTD","91287 , MOMBASA, MOMBASA, 254","","","https://www.freightnet.com/profile/136861.htm","No"
"OCEAN WAVE LOGISTICS EA LIMITED","+254723947070 , +254717448400, Mombasa, KENYA, 41350-80100","","","https://www.freightnet.com/profile/136353.htm","No"
"kisa logistics ltd","501-00518 , Nairobi, kenya, 254","","","https://www.freightnet.com/profile/134794.htm","No"
"Index Cargo Logistics Ltd","Hughes Building, 3rd Floor , P.O. Box 79352, Nairobi, Kenya, 00200","","","https://www.freightnet.com/profile/130135.htm","No"
"Limitless Logistic and Solutions","66963 , NAIROBI, kenya, 00400","","","https://www.freightnet.com/profile/131799.htm","No"
"T & L Logistics Ltd","P.O. Box 74093 -00200 , Nanyuki Road, Industrial Area, Nairobi, Kenya, 00200","","","https://www.freightnet.com/profile/110888.htm","No"
"FAY LOGISTICS LIMITED","Furaha Plaza |  3rd Floor | Nkrumah Road  , P.O. BOX 86166 -80100, Mombasa, Kenya, 000254","","","https://www.freightnet.com/profile/59476.htm","No"
"flatlogistics.com","2544-80100 , mombasa, kenya, +254","","","https://www.freightnet.com/profile/56979.htm","No"
"Sima Marine (K) Ltd","P. O. Box 81250 - 80100 , Mombasa, Kenya, 254","","","https://www.freightnet.com/profile/116479.htm","No"
