"name","address","phone","website","profileUrl","isPremiumMember"
"SWW Logistics","#1212 12F Yuwon BD. Seosomun-ro Jung-gu Seoul Korea, SEOUL, KOREA, 04513","+8223199727","https://www.youtube.com/shorts/yhOW0zCPMvI","https://www.freightnet.com/profile/259379.htm","Yes"
"SEJIN GLOBAL LOGISTICS CO., LTD.","11F, Pusan Post Office B/D, 63th, Jungang-road,, BUSAN, MASAN, SOUTH, KOREA, 48931","82-51-710-2722(REP)","http://www.sjgls.kr/","https://www.freightnet.com/profile/85111.htm","Yes"
"SINOCEAN KOREA CO.,LTD.","RM814~816, CENTRAL TOWER I, 227, GONGHANG-DAERO, GANGSEO-GU, SEOUL, 07802, KOREA, GANGSEO-GU, SEOUL, 07802","82-2-3663-0483","","https://www.freightnet.com/profile/247392.htm","Yes"
"BARO LOGIS CO., LTD.","RM701 EULJIRO 11GIL 15 JUNG-GU, SEOUL, KOREA, 04543","82 2 753 5346","https://www.barologis.com/","https://www.freightnet.com/profile/178054.htm","Yes"
"Ahjin Transportation Co.,Ltd","46 Cheongparo, 1401 Hantong Bldg., Yongsan, SEOUL , SOUTH KOREA, 04373","+8227967143","http://www.ahjin.co.kr/","https://www.freightnet.com/profile/253205.htm","Yes"
"LOGISWIFT CO.,LTD.","#1020, 1029, Wondang-daero,, Seo-gu, Incheon, Republic of Korea, 22865","+82 10 2066 1625","","https://www.freightnet.com/profile/261156.htm","Yes"
"TONY GLOGIX CO., LTD.","Rm. 1409, 263, Jungang-daero, Dong-Gu, Busan, Busan City, 48795","+82-(0)51-441-7411","http://www.tonyglogix.com/","https://www.freightnet.com/profile/11245.htm","Yes"
"KOLEE  E&L Corp. (Exhibition & Logistics)","#730 CentAvenue, 201 Beonyeong-ro, Seobuk-gu, Cheonan, Seoul, South Korea, 31156","+82 (0)70 4726 9700","http://www.koleeenl.com/","https://www.freightnet.com/profile/132922.htm","Yes"
"Cargo Solution Co.,Ltd","RM B-310 GANGSEO HANGANG XI TOWER , YANGCHEON RO 401, SEOUL, KOREA, 07528","827076009148","","https://www.freightnet.com/profile/197892.htm","Yes"
"Master Shipping & Air Inc","Rm.503, Hankwang Bldg , 130, Jungang-daero, Jung-Gu, Busan, 48937","+82-51-465-7900","http://www.mastershipping.com/","https://www.freightnet.com/profile/21054.htm","Yes"
"SOLTRANS","915~916, 150, Yeongdeungpo-ro, YEONGDEUNGPO-GU, SEOUL, KOREA, DANGSAN-DONG, SEOUL, 07292","02-6925-0818","http://www.soltrans.co.kr/","https://www.freightnet.com/profile/160496.htm","Yes"
"TONY GLOGIX CO., LTD.","RM. 1409, 263, JUNGANG-DAERO, DONG-GU, BUSAN 48792, KOREA (REPUBLIC OF), Dong-gu, BUSAN, 48792","01088548751","","https://www.freightnet.com/profile/261193.htm","Yes"
