"name","address","phone","website","profileUrl","isPremiumMember"
"Crown Logistics Company WLL","Office No. 407, 4th Floor, Alhamra Mall, KUWAIT, Farwaniya, Kuwait, 45714","00965-24731452 / +965-69980655","http://www.crownlogisticsco.com/","https://www.freightnet.com/profile/162553.htm","Yes"
"GLOBAL UNITED IMPORT & EXPORT CO","KUWAIT  , FARWANIYA, KUWAIT, FARWANIYA, 14000","","","https://www.freightnet.com/profile/183337.htm","No"
"ABF Freight Forwarding Co.","Floor 7, Behbehani Complex, Jaber Al-Mubarak St, Kuwait City , SHARQ, KUWAIT, 12345","","","https://www.freightnet.com/profile/265849.htm","No"
"GLOBAL UNITED IMPORT AND EXPORT CO","AL HUMAIDIYAH COMPLEX  , OFF NO 02 FLOOR NO 08, KUWAIT CITY, KUWAIT, 1500","","","https://www.freightnet.com/profile/265057.htm","No"
"Apex Global Logistics wll","Office 2 , Arbeed Gallery, Farwaniya, Kuwait, 85850","","","https://www.freightnet.com/profile/195088.htm","No"
"GREENWAYS LOGISTICS INTERNATIONAL CO","3RD FLOOR, OFFICE NO 1&2, FADALLA COMPLEX , FARWANIYA, KUWAIT, KUWAIT, 13022","","","https://www.freightnet.com/profile/54409.htm","No"
"SEALINE LOGISTICS","HAMAD AL MUBARAK STREET , BLOCK 9, SALMIYA, KUWAIT, 22073","","","https://www.freightnet.com/profile/193126.htm","No"
"Gulftrans Sea  Freight Co. W L L","P O BOX 734 , Safat 13008, Kuwait City, Al Kuwayt, 403","","","https://www.freightnet.com/profile/186785.htm","No"
"GLOBAL FREIGHT SYSTEMS CO.W.L.L","SULTAN BIN ESSA COMPLEX , DAJEEJ, KUWAIT, KUWAIT, 13084","","","https://www.freightnet.com/profile/256721.htm","No"
"FUTURE SOLUTIONS  COMPANY","Kuwait  , Hawally, Hawally, KUWAIT, 30000 Hawally","","","https://www.freightnet.com/profile/234980.htm","No"
"Transcrate International Logistics","Jassem boodai st. , Sharq, Sharq, Kuwait, 47983","","","https://www.freightnet.com/profile/248858.htm","No"
"Universal Freight International Freight","Office No:5, Al-Muzaini Building, 2nd Floor, Al Hilali Street, Mirqab, Kuwait City, Kuwait, P. o. Box 5549, 13056 Safat, Kuwait.","","","https://www.freightnet.com/profile/194582.htm","No"
