"name","address","phone","website","profileUrl","isPremiumMember"
"SIA BALTROUTE","Drosmes iela 3, Riga, Latvia, 2015","+371 26735441","https://baltroute.lv/","https://www.freightnet.com/profile/262139.htm","Yes"
"Direct Logistic Solutions SIA","Visku 1-25, Riga, Latvia, 1063","+37122308829","","https://www.freightnet.com/profile/253857.htm","Yes"
"SONORA RW","CESU 15 , RIGA, LATVIA, 1012","","","https://www.freightnet.com/profile/258947.htm","No"
"OS Express SIA","Tomsona 32 , Riga, Riga, LV1013","","","https://www.freightnet.com/profile/264435.htm","No"
"SP «АIRМARINE» LTD.","23, Atlantic Str , Riga, Latvia, LV-1015","","","https://www.freightnet.com/profile/250443.htm","No"
"Backloads Solutions SIA","Zaķusalas krastmala 33 , Riga, Latvia, 1050","","","https://www.freightnet.com/profile/257636.htm","No"
"SMART LOGISTICS SOLUTIONS SIA","Dzirnavu street 119-22 , Riga, Latvia, LV-1050","","","https://www.freightnet.com/profile/237738.htm","No"
"SIA Logistics Integration Systems","Matisa 79 str , Riga, Latvia, LV-1009","","","https://www.freightnet.com/profile/195938.htm","No"
"VKR SIA","Uriekstes street , 3, Riga, Latvia, LV-1005","","","https://www.freightnet.com/profile/130323.htm","No"
"AV Expedition Ltd.","Grecinieku 30-5 , Riga, Latvia, LV-1050","","","https://www.freightnet.com/profile/261424.htm","No"
"Logistikas risinajumi SIA","Ciekurkalna 1.line 84 , Riga, Latvia, LV-1026","","","https://www.freightnet.com/profile/249498.htm","No"
"INTELLOG","Rankas 11 , Riga, Latvia, LV-1005","","","https://www.freightnet.com/profile/91667.htm","No"
"Conti STL LTD","Berzaunes street 11a , Riga, Latvia, LV1039","","","https://www.freightnet.com/profile/102060.htm","No"
"Beweship Latvia/BEWE RIX SIA","Asarisi-3 , Marupes nov., Riga region, LV-2167","","","https://www.freightnet.com/profile/150094.htm","No"
"Balterm LTD","Rankas 13 , Riga, Rigas, LV1005","","","https://www.freightnet.com/profile/141922.htm","No"
"Eleven Danir 19 SIA","Kr. Valdemara 100 , Riga, Latvia, LV-1013","","","https://www.freightnet.com/profile/222858.htm","No"
"Inkom Trans","Braslas 22 , Riga, Latvia, LV-1035","","","https://www.freightnet.com/profile/140092.htm","No"
"Atlantis Cargo","Krišjāņa Valdemāra iela 20 - 16A, LV-1010 , Riga, Latvia, LV-1010","","","https://www.freightnet.com/profile/188293.htm","No"
"Sia Green Line Logistic","Martas iela 20-1 , Marupe, Latvija, 2167","","","https://www.freightnet.com/profile/187679.htm","No"
"FORBIZ SIA","Ganibu dambis 24D , Riga, Riga, LV1005","","","https://www.freightnet.com/profile/154993.htm","No"
"LSH Ltd.","Mukusalas iela 72 , Riga, Latvia, 1004","","","https://www.freightnet.com/profile/90983.htm","No"
"Shipco Transport Eesti","Kopli 19, Tallinn, Estonia , Tallinn, Estonia, 10412","","","https://www.freightnet.com/profile/154831.htm","No"
"VERVO Ltd","Vienibas gatve 198 , Riga, Riga district, LV-1058","","","https://www.freightnet.com/profile/143314.htm","No"
"Russian customs representative","Maskavas str. 240 , Riga, Latvia, LV-1063","","","https://www.freightnet.com/profile/139524.htm","No"
"Confidex","Celinieku 4a , Riga, Latvia, LV-1005","","","https://www.freightnet.com/profile/129305.htm","No"
"SIA Rinosta Shipping Agency","2a-24, Uriekstes str. , Riga, Latvia, LV-1005","","","https://www.freightnet.com/profile/111503.htm","No"
"Euritra","Jonavos 260 , Kaunas,","","","https://www.freightnet.com/profile/7406.htm","No"
"Hermes Latvija","Cempu 8b , Valmiera, Latvia, LV-4201","","","https://www.freightnet.com/profile/131859.htm","No"
"Trans A LTD","Jurkalnes iela  11 , Riga, Latvia, LV1046","","","https://www.freightnet.com/profile/120792.htm","No"
"LSH Ltd","Skolas Street 31 - 43 , Jurmala, LV2016","","","https://www.freightnet.com/profile/21641.htm","No"
"Ltd. ANGELI Logistics","Rupniecibas 10 , Talsi, Latvia, LV3201","","","https://www.freightnet.com/profile/108474.htm","No"
"BEWESHIP LTD","ASARISI 3 , MARUPE, LATVIA, LV-2167","","","https://www.freightnet.com/profile/106192.htm","No"
"Unirent SIA","Cesu 31 , Riga, Riga, LV1012","","","https://www.freightnet.com/profile/106594.htm","No"
"LTC Forwarding","Katlakalna street 11/1 , Riga, Rigas rajons, LV-1029","","","https://www.freightnet.com/profile/106548.htm","No"
"Airkargo","Baltic Cargo Centre , Riga International Airport, Riga, Riga, 1053","","","https://www.freightnet.com/profile/9555.htm","No"
"SIA Mega Transport","Virbu 2 , Riga, Latvia, LV-1067","","","https://www.freightnet.com/profile/91349.htm","No"
"SIA Cargo Services","Udens street 12-5 , Riga,   , LV 1007","","","https://www.freightnet.com/profile/21896.htm","No"
"A.P. Agency Ltd","52-8, Mezciema Str , Riga, LV-1079","","","https://www.freightnet.com/profile/13213.htm","No"
"DAX Logistics","Maza piena 6 , Riga, Latvia, LV1045","","","https://www.freightnet.com/profile/86254.htm","No"
"SABI Trans Ltd.","60-4 A.Deglava Street , Riga, Riga, LV-1035","","","https://www.freightnet.com/profile/86892.htm","No"
"VKR","Uriekstes str. 3 - 611 , Riga, Latvia, LV 1005","","","https://www.freightnet.com/profile/84260.htm","No"
"Baltic Maritime Agency","Brivibas 106 , Riga,","","","https://www.freightnet.com/profile/6702.htm","No"
"Marcus Hill Logistics Ltd.","16 Flotes St. , Liepaja, LV, LV-3405","","","https://www.freightnet.com/profile/58380.htm","No"
"Transimpex Ltd","27 Atsledznieku Str , Liepaja, 3401","","","https://www.freightnet.com/profile/9621.htm","No"
"LSEZ Solo Ltd","Pulvera Str. 10 , Liepaja, LV-3401","","","https://www.freightnet.com/profile/3422.htm","No"
"UTA Ltd., Riga (Latvia)","Latvia, Riga, 28 Terbatas Street , Riga, 1011","","","https://www.freightnet.com/profile/4970.htm","No"
"Varaviksne Dsm","Braslas, 22 , Riga, Latvia,","","","https://www.freightnet.com/profile/4980.htm","No"
"Unibalts Shipping & Trading Co","5, Exporta Street , Riga, LV-1010","","","https://www.freightnet.com/profile/5358.htm","No"
"M Sped","Katlakalna 11c , Riga,","","","https://www.freightnet.com/profile/7006.htm","No"
"Andorra Speds SIA","Zalu 31 , Liepaja, .,","","","https://www.freightnet.com/profile/7554.htm","No"
"Balt Si Trans","A.Biezina 9-146 , Riga,","","","https://www.freightnet.com/profile/8116.htm","No"
"RGD Ltd","10-1 Mikus str.,, Riga, LV-1046","","","https://www.freightnet.com/profile/8226.htm","No"
"Rinosta Shipping Agency Ltd","14-1 Ausekla str , Riga, 1010","","","https://www.freightnet.com/profile/9483.htm","No"
"SA Global Transport Ltd.","Riga int. Airport , Riga, Marupes district, LV1053","","","https://www.freightnet.com/profile/11107.htm","No"
"SIA Kras Motors","Kurzemes prosp. 23-2.4. , Riga, LV1067","","","https://www.freightnet.com/profile/11678.htm","No"
"Ahlers Latvia","Ganibu Dambis 10a , Riga, 1045","","","https://www.freightnet.com/profile/11973.htm","No"
"Fast Forward, Ltd","3 Sarlotes steet , Riga, LV-1001","","","https://www.freightnet.com/profile/12639.htm","No"
"Enero SIA","Kr. Barona 88 , Riga, LV-1001","","","https://www.freightnet.com/profile/12967.htm","No"
"Autorada","str. G Dambis , Riga, Baliks, LV1022","","","https://www.freightnet.com/profile/14090.htm","No"
"Hansa Seaways OU","Ganibu dambis 10a , www.hansaseaways.lv, Riga, Riga, LV-1045","","","https://www.freightnet.com/profile/15058.htm","No"
"Baltreiss Agency","Brivibas 183/2 , Riga, LV, 1012","","","https://www.freightnet.com/profile/16029.htm","No"
"Bilatris","Basteja 16, of 11-13 , Riga, 1050","","","https://www.freightnet.com/profile/17404.htm","No"
"Kaivos Ltd","""Ezerini"" Alsviku pagasts , Aluksne, Latvia, LV 4333","","","https://www.freightnet.com/profile/18647.htm","No"
"Nikoavto","Dravnieku 6-80 , Riga, Latvia, LV-1021","","","https://www.freightnet.com/profile/60532.htm","No"
