"name","address","phone","website","profileUrl","isPremiumMember"
"United Group Plus","Beirut, Biaqout main road, dawra, Lebanon, 0000","0096171406719","http://info@ugshipping.com/","https://www.freightnet.com/profile/254922.htm","Yes"
"HORIZON LOGISTICS","SALIM SLAM - BEIRUT, BEIRUT, LEBANON, 0","0096170745223","https://www.horizonlogistic.net/","https://www.freightnet.com/profile/206613.htm","Yes"
"RASSOULA MARITIME","TRIPOLI , TRIPOLI, LEBANON, 00010","009613005654","","https://www.freightnet.com/profile/261283.htm","Yes"
"Freight Solutions SAL","6th floor, Jbara Building, Dora Rondpoint, Burj Hammoud, Metn, 1203","+9613062151","","https://www.freightnet.com/profile/152139.htm","Yes"
"Capital for Clearance and Shipping","Sodeco Square Beirut - Lebanon , Achrafieh, Lebanon, 0000","","","https://www.freightnet.com/profile/259996.htm","No"
"Cirera Logistics sarl","Baabda , Mount Lebanon, Baabda, Lebanon, 1000","","","https://www.freightnet.com/profile/242335.htm","No"
"WRGROUP","Rmeil , Beirut port, Beirut, Lebanon, 12456","","","https://www.freightnet.com/profile/262531.htm","No"
"Prodes Maritime Shipping sarl","Dora Highway Vartanian Center -5th Floor , beirut, Lebanon, NA","","","https://www.freightnet.com/profile/171229.htm","No"
"Tradeline logistics","Karantina , Beirut, Beirut, Lebanon, 00000","","","https://www.freightnet.com/profile/260692.htm","No"
"Embassy freight services","Beirut  , Beirut, Beirut, Lebanon, 0000","","","https://www.freightnet.com/profile/237241.htm","No"
"CIF","Sodeco square  , lebanon, Achrafeyh, lebanon, 54415","","","https://www.freightnet.com/profile/255881.htm","No"
"AFFCO logistics","Saifi area , Beirut, Beirut, 961","","","https://www.freightnet.com/profile/256248.htm","No"
"HADDAD INTERNATIONAL LOGISTICS","zouk  , beirut port, Beirut, lebanon, 961","","","https://www.freightnet.com/profile/159481.htm","No"
"Beirut Free Trades & Transactions","Jesuit Garden, Abi Saleh Bldg., Gr. Floor , Rmeil , Beirut - Lebanon, Beirut, Lebanon, 961","","","https://www.freightnet.com/profile/248033.htm","No"
"Boxer Shipping Sal","gemmayze - pasteur street - burotec bldg , 11th floor , Beirut, BEYRUT, 175164","","","https://www.freightnet.com/profile/244659.htm","No"
"Transworldmarine company","Dora , Beirut, Beirut, Lebanon, 1","","","https://www.freightnet.com/profile/221064.htm","No"
"Logex","Beirut airport , Freight forwarders offices, Beirut, Beirut, 123456","","","https://www.freightnet.com/profile/215419.htm","No"
"Lewoint Cargo","Lebanon, Beirut , Suit 4-5, Level 6, TVX bldg, Sen el fil, Beirut, 00961","","","https://www.freightnet.com/profile/234316.htm","No"
"Destinators","Center 730, 2nd Floor, Verdun Main Street, Verdun, Beirut , Verdun, Beirut, 1234567","","","https://www.freightnet.com/profile/231138.htm","No"
"Logistics Yard","Dbayeh Highway , Marina Bay Center, Beirut, Lebanon, 60177","","","https://www.freightnet.com/profile/162140.htm","No"
"A.S.L Air Sea land","Beirut Port Free Zone Area , Beirut, Lebanon, 175-586","","","https://www.freightnet.com/profile/185709.htm","No"
"eXpress Line","Zeinoun Street, Zeinoun Building, Ground Floor , Zalka, Beirut, 000","","","https://www.freightnet.com/profile/219368.htm","No"
"Unologistica international sarl","Beirut lebanon  , Zerarieh main road zorkot building, Zerarieh, Lebanon, 123","","","https://www.freightnet.com/profile/197748.htm","No"
"UCS  Lebanon","711 Alfred Naccache str , Achrafieh, Beirut, Lebanon, 100","","","https://www.freightnet.com/profile/191638.htm","No"
"az express services","tayouneh area , Borj tayouneh bldg 4th floor, Beirut, Lebanon, 0000","","","https://www.freightnet.com/profile/157465.htm","No"
"GEORGES CHALHOUB & CO SARL","AIN ER ROMMANIEH - ARID STREET , SKANIA  CENTER - 6 TH FLOOR, BEIRUT, lebanon, 16-7080 ACHRAFIEH","","","https://www.freightnet.com/profile/93728.htm","No"
"Full sail","Lebanon , 2, Durban, Lebanon, 93843","","","https://www.freightnet.com/profile/183707.htm","No"
"SEASKYSERVICES SARL","Rmeil, Jarrah street , Beirut, Lebanon, 166311","","","https://www.freightnet.com/profile/61647.htm","No"
"AGB International (Import - Export)","2nd Floor Khadra Bldg. Bank Str. , Beirut, Lebanon, 1601","","","https://www.freightnet.com/profile/161107.htm","No"
"BlackBlues","Rmeil, Azar Bldg, 1st floor , Beirut, Lebanon, 00000","","","https://www.freightnet.com/profile/100432.htm","No"
"Boueri Freight Services Lebanon","Hekmeh St , Jdeideh, Jabal Lubnan, 1202","","","https://www.freightnet.com/profile/159867.htm","No"
"kordahi Establishmnet Co.","ashrafieh - fassouh street  , madre madria bldg 5 th floor, beirut, lebanon, 111","","","https://www.freightnet.com/profile/159215.htm","No"
"Akross Shipping and Trading SARL","Port Street, Burj El Marfaa Bldg. 3rd Flr. , Beirut, Lebanon, P.O.Box 11-128","","","https://www.freightnet.com/profile/161684.htm","No"
"seven seas sal offshore","airport road , airport buisness center , 2nd floor, beirut, lebanon, 0000","","","https://www.freightnet.com/profile/116593.htm","No"
"Electronic Boutique","Arz Street, Main Road , Wilco Building Main Office, Chakka, North Lebanon, 04150","","","https://www.freightnet.com/profile/154507.htm","No"
"SATline Cons. S.A.R.L.","P.O. Box 90-1566 - 1st fl. Maalouf Center , 67 Hekmeh St, Beirut, Beirut, 90-1566","","","https://www.freightnet.com/profile/13169.htm","No"
"Freight Leader sarl","Saifi - Pasteur St. Medawar Bldg 5th Fl. , Beirut, Lebanon, 175530","","","https://www.freightnet.com/profile/23710.htm","No"
"BLINK LOGISTICS CARGO","SOLIDERE - ARAB BANK BLDG 4 TH FL , BEIRUT, LEBANON, 112921","","","https://www.freightnet.com/profile/99752.htm","No"
"Global Express Handler","Mazraa destrict - Aljazeera center , Beirut, Lebanon, 11200 3100","","","https://www.freightnet.com/profile/115410.htm","No"
"Transporters sal","Jamarek street , Yared building -2nd floor, Beirut, Lebanon, 0000","","","https://www.freightnet.com/profile/143456.htm","No"
"Avia Cargo LB","Byblos, Lebanon , Byblos, Byblos, 961","","","https://www.freightnet.com/profile/141740.htm","No"
"Suwaida Transport & Trading s.a.r.l.","Dora Main Road, Near Social Security  Fransabank Bldg.  , second floor, Beirut, Lebanon, P.O.Box: 90-1406 Jdeideh","","","https://www.freightnet.com/profile/50034.htm","No"
"Antarsped Freight Forwarders","beirut , beirut, lebanon, 80100","","","https://www.freightnet.com/profile/131032.htm","No"
"Beirut International Movers s.a.r.l","Kazandjian Bldg GF , Camil Chamoun street, Beirut, Metn, 55-050","","","https://www.freightnet.com/profile/45984.htm","No"
"ALL TRANSPORT Middle East","Ghandour Building , Ahmad Chawki Street, Beirut, Lebanon, 11-1084","","","https://www.freightnet.com/profile/114311.htm","No"
"FREIGHT EXPRESS","EIN MREISEH IBN SINA STREET MACHKASS CENTER  OFFICE 801 BEIRUT LEBANON , BEIRUT, LEBANON, 14-5002","","","https://www.freightnet.com/profile/54098.htm","No"
"Levant Express Transport Sal","Chales Helou Ave. , Sehnoui Bldg., Beirut, Lebanon, 11-0310","","","https://www.freightnet.com/profile/1478.htm","No"
"SATLINE LB","BEIT MERY , 37 STREET, ELMETN, LEBANON, 90-1566","","","https://www.freightnet.com/profile/111184.htm","No"
"DOMEX","P.O.Box 184 Antelias , Beirut, Beirut, Lebanon, 184 Antelias","","","https://www.freightnet.com/profile/101075.htm","No"
"Levant Transport Co. Ltd.","Dora Highway, St Jack Centre, 9th Fl , Beirut, Lebanon, 11-6043","","","https://www.freightnet.com/profile/82428.htm","No"
"Net Logistics Sal","Beirut port free Zone , Beirut port free Zone w/h 4-5, Beirut, Lebanon, 55140","","","https://www.freightnet.com/profile/51796.htm","No"
"Infinity Shipping Company","Gallery Semaan Avenue , Keserwani Bldg 6 Floor, Beirut,","","","https://www.freightnet.com/profile/20651.htm","No"
"Sky Freight Shipping Co Sarl","Gemmayze, Pasteur Str. 3rd Floor , Kanzbdian Bldg. Beirut 1107 2190, Beirut, Lebanon, 11/5174","","","https://www.freightnet.com/profile/2059.htm","No"
"Shipping & Trading Co Ltd","P O  Box 11-0908 , Beirut, 000","","","https://www.freightnet.com/profile/9510.htm","No"
"Middle Side Shipping","sin el Fil Highway, Queens Plaza Center , GF - Bauchrieh, Bauchrieh, Metn / Lebanon, 90-1323","","","https://www.freightnet.com/profile/100990.htm","No"
"Kabbani Logistics Services S.a.r.l","Verdun , Beirut, Beirut, 13-5755","","","https://www.freightnet.com/profile/98355.htm","No"
"Khalil I .Haroun (Customs Broker)","Ghobeiry Mcharfieh-Main Road -El Hajj Bldg - 7th Fl , Beirut, Lebanon,","","","https://www.freightnet.com/profile/2455.htm","No"
"Cargomaster Line Sarl","Charles Helou Ave. , Sehnaoui Bldg., Beirut, Lebanon, 11-0310","","","https://www.freightnet.com/profile/769.htm","No"
"Navigators sarl","Gemmayze, Zoghbi Bldg., 3rd Floor , Achrafieh, Beirut,","","","https://www.freightnet.com/profile/7111.htm","No"
"Sabra Freight Services","Mouawad Street, Beirut;; , Beirut Internatioal Airport Customs Area;;, Beirut, Greater Beirut, 14-5601","","","https://www.freightnet.com/profile/62064.htm","No"
"Central Transport & Clearing Co,Ltd(ctc)","Alijinah Commercial Cneter , Rafic Hariri International Airport, Beirut, Aljinah District,","","","https://www.freightnet.com/profile/20385.htm","No"
"North African Shipping & Clearing Agency","Beirut / Hamra / Laban Str , Hamka Bld / 1st Floor, Beirut, Lebanon, 961","","","https://www.freightnet.com/profile/2336.htm","No"
"Global Dynamix s.a.l.","Saifi, Nahr Ibrahim Street , Tekeyan Center, 2nd Floor, Beirut, Beirut, 175 202","","","https://www.freightnet.com/profile/17460.htm","No"
"Khattab Shipping SARL","Hamra, Madessi St , Sarhal Building, Beirut, LEBANON, 916","","","https://www.freightnet.com/profile/14686.htm","No"
