"name","address","phone","website","profileUrl","isPremiumMember"
"Pacific Holdings Inc.","24th street Sinkor  , Monrovia 10, Montserrado, 1000","","","https://www.freightnet.com/profile/176347.htm","No"
"GS Logistics Inc","Opposite Cemenco , Freeport, Monrovia, Montserrado, 10014","","","https://www.freightnet.com/profile/243482.htm","No"
"MILDAN Logistics","ELWA Road, Paynesville , Adjacent Zone 5 Police Station, Dowin Town, Montserrado, 1000","","","https://www.freightnet.com/profile/251951.htm","No"
"ELSIN TRANSPORT & LOGISTICS","Monrovia, Liberia  , Monrovia, liberia, Monrovia, Montserrado, 23456","","","https://www.freightnet.com/profile/219740.htm","No"
"Frontier Logistics Inc","Benson Street, sinpper Hill , Monrovia, Liberia, 1000 Monrovia 10 Liberia","","","https://www.freightnet.com/profile/166606.htm","No"
"Expert Logistics Solution Incorp.","Benson and Johnson street , Benson and Johnson Street, Liberia, Liberia, 224","","","https://www.freightnet.com/profile/173582.htm","No"
"Frontier Logistics Inc.","102 Benson Street , Snapper Hill, Monrovia, Montserrado, 1000","","","https://www.freightnet.com/profile/91757.htm","No"
"BLACK STAR LINE INC LTD","OLD MATADI ESTATE, MONROVIA, LIBERIA , MONROVIA, LIBERIA, 00231","","","https://www.freightnet.com/profile/167940.htm","No"
"A&G Shipping Ltd.","Compound adjacent to Catholic Hoispital , Catholic Junction, Monrovia, Liberia, 000000","","","https://www.freightnet.com/profile/150394.htm","No"
"Tharize Holding Liberia Inc","Benson & Randall Intersection  , Monrovia, Montserrado, 1000","","","https://www.freightnet.com/profile/148431.htm","No"
"Tharize Holding Liberia Inc.","Benson & Randall intersection, P.O Box 1908, 1000 Mon-10, Monrovia Liberia , Montserado, Monrovia, 00231","","","https://www.freightnet.com/profile/148829.htm","No"
"Aaroco Global Trans & Logistics Ltd.","90 Broad St, Monrovia. , Monrovia, Liberia, 40000","","","https://www.freightnet.com/profile/145292.htm","No"
"Timely Services Incorporated","Matadi Turning Point , Sinkor, Monrovia, Liberia, 100010","","","https://www.freightnet.com/profile/137237.htm","No"
"Eagle Cargo & Delivery","UN Drive , Freeport area, Monrovia, Monsterrado, 100010","","","https://www.freightnet.com/profile/114817.htm","No"
"Sealand Shipping &  Stevedoring Corporation","Duala,Bushrod Island , Monrovia, liberia, 231","","","https://www.freightnet.com/profile/57842.htm","No"
"Enisio Shipping Company","Freeport, Bushrod Island , Monrovia, Montserrado, 00231","","","https://www.freightnet.com/profile/117542.htm","No"
"GLOBAL LOGISTICS SERVICES INC","2ND FLOOR KASHOUR BUILDING , BROAD & JOHNSON STREET, MONROVIA, MONTSERRADO, 231 10","","","https://www.freightnet.com/profile/110154.htm","No"
"Safeway Cargo Handling SVCs Inc","80 Broad Street  , Business Incubator Plaza, Monrovia,","","","https://www.freightnet.com/profile/23056.htm","No"
