"name","address","phone","website","profileUrl","isPremiumMember"
"Topacts Shipping Agency , Co","AL - ALLI  STREET, BUILDING HIGH MOUSKEY, MISURATA, LIBYA, 119","00218 91 2159906","http://www.topactsmar.com/","https://www.freightnet.com/profile/45607.htm","Yes"
"Alruswa shipping Agency","Tripoli  , Tripoli, Libya, 00218","","","https://www.freightnet.com/profile/266223.htm","No"
"Allibiya shipping company","Aljamma elali street , Misurata libya, Misurata . Libya, Libya, 30373","","","https://www.freightnet.com/profile/201631.htm","No"
"Atlas Logistic Services Ltd","Gurgi , west street, Tripoli, Tarabulus, N/A","","","https://www.freightnet.com/profile/155721.htm","No"
"Alshraa-alfde shipping co.","venice  , benghazi, libya, 1","","","https://www.freightnet.com/profile/259744.htm","No"
"Caspian Sea Shipping","Tripoli - Libya , Tripoli, Libya, 000","","","https://www.freightnet.com/profile/185894.htm","No"
"Highway service company","Tripoli  , Zawya, Tripoli, Tripoli, 0021","","","https://www.freightnet.com/profile/256852.htm","No"
"Libyan Morsa shipping","misurata/ libya , rwessat/ misurata, Misurata, rwessat, 00218","","","https://www.freightnet.com/profile/256649.htm","No"
"AL BAHR ALEKLEMYE SHIPPING","HIGH MOSQUE BUILDING BLOCK D,2ND FLOUR, NO. 7 , MISURATA, BENGHAZI, LIBYA, 3131","","","https://www.freightnet.com/profile/253143.htm","No"
"SAM SHIPPING AGENCY","SANAA ALMHEEDLY STREET ALJAMAA AAALI BUILDING H , HAI AL ANDALUS TRIPOLI, MISURATA, LIBYA, 00218","","","https://www.freightnet.com/profile/253142.htm","No"
"* LibMar Shipping *","Aljamma Elaali ST ,  Downtown tower  Misurata – Libya , Aljama El-Ali Buildings (Jeem 17), Misurata, Misurata, 2923","","","https://www.freightnet.com/profile/16957.htm","No"
"* LibMar Shipping Agencies Co, Ltd *","Aljamma Elaali ST ,      Downtown tower,  sixth floor         “Misurata – Libya” , Misurata, Misurata,","","","https://www.freightnet.com/profile/208184.htm","No"
"Mersal Company","Saraj , Tripoli, Tripoli, 0000","","","https://www.freightnet.com/profile/248441.htm","No"
"Samawat Maritime LLC","Sidi El Haddar St. Old City , Tripoli, Tripoli, 0505","","","https://www.freightnet.com/profile/105504.htm","No"
"Arroban International Shipping Company","10.60.394 Ashatt Str , Tripoli, Libya, P.O Box 2082","","","https://www.freightnet.com/profile/145940.htm","No"
"SAHARA LIBYA SHIPPING","benashour  tripoli , abo obidah street, Tripoli, libya, 82159","","","https://www.freightnet.com/profile/243080.htm","No"
"North Delta Shipping","AL Jama Al Alie Buildings. 4th Floor.  Flat No. 20,, Misrata, Libya, 12345","","","https://www.freightnet.com/profile/160817.htm","No"
"MARAFY logistics","Misurata  , Misurata, Misurata, Misurata. Libya, 00218","","","https://www.freightnet.com/profile/193943.htm","No"
"Elhiblu International Shipping Agency","Tripoli - Libya , Tripoli, Libya, 7172","","","https://www.freightnet.com/profile/221792.htm","No"
"Najmet Alshamal Aldawlia","Alheshan-Soug  Aljuma , the same address-, Tripoli, Libya, none","","","https://www.freightnet.com/profile/210786.htm","No"
"HudHud Worldwide Logistics","HAY AL ANDALUS , Behind People’s Hall, TRIPOLI, Libya, 9001","","","https://www.freightnet.com/profile/23156.htm","No"
"Leptis Shipping agency","Tripoli , Tripoli, Libya, 6716","","","https://www.freightnet.com/profile/187158.htm","No"
"ALSHAHEN SHIPPING","Libya , Libya, Tripoli, Tripoli, 3296","","","https://www.freightnet.com/profile/186561.htm","No"
"Albarq","Libya . Alkhoms , Alkhomes, Alkhomes, Alkhomes, 218","","","https://www.freightnet.com/profile/167271.htm","No"
"ATLAS LOGISTIC SERVICES","Gergarsh KM6 Abownawas , Reem Albawadi complix, Tripoli, Libya, 79447","","","https://www.freightnet.com/profile/61235.htm","No"
"alheshri","salah alden , alheshri, Please Select City, TRIPOLI, no zip","","","https://www.freightnet.com/profile/150439.htm","No"
"FARWA SHIPPING COMPANY","HIGH MOSQUE BUILDING , BLOCK (D), Misurata, Libya, 00218","","","https://www.freightnet.com/profile/150385.htm","No"
"ADEER MARITIME AGENCY","TOWER OF TRIPOLI , MISURATA /LIBYA, TRIPOLI, LIBYA, +218213362535","","","https://www.freightnet.com/profile/141633.htm","No"
"united shipping agency","aljama alali ,building(D),2nd floor ,flat 11&12 , operation2@us.com.ly, masurata, tripoli, 00218","","","https://www.freightnet.com/profile/118161.htm","No"
"MENA Logistics","Noflyeen Area , Zawiat Al Dehmani, Tripoli, Libya, 1133","","","https://www.freightnet.com/profile/87867.htm","No"
"Libyan Shipping Services","Cargo House , Tripoli, Tripoli, TIP","","","https://www.freightnet.com/profile/14619.htm","No"
"Hazeez Freight & Logistics Services","Abu Nawas 7km, Tripoli - Libya , TRIPOLI, Libya, LY","","","https://www.freightnet.com/profile/53750.htm","No"
"AL FOULK AL MASHHOUN SHIPPING AGENCY","El Okhowa building, Al Dees St. , Misurata, Libya, null","","","https://www.freightnet.com/profile/91252.htm","No"
"African Line Shipping Agency GSCo ( Seko Global Logistics-Libya )","Talha bin Obaid , Benashour , Tripoli.LY , Tripoli, Libya, 218","","","https://www.freightnet.com/profile/101394.htm","No"
"ROSA","241 mizran st , tripoli, libya, 21821","","","https://www.freightnet.com/profile/90565.htm","No"
"sharaf shipping agencies co","1st Floor, Al Fairooz Building , Mizran Street,P.O. Box 3588, Tripoli, Libya, 3588","","","https://www.freightnet.com/profile/90029.htm","No"
"high tech world cargo","libya , tripoli, tripoli, libay, 25309","","","https://www.freightnet.com/profile/65221.htm","No"
"Libya shipping","Benghazi , Benghazi, LIBYA, 33123","","","https://www.freightnet.com/profile/87921.htm","No"
"Safety Sail Company For Shipping, Maritime Services & Logestics","8 najeeb alhourani st. , Benghazi, Libya, p.o.box 71","","","https://www.freightnet.com/profile/81600.htm","No"
"African Line Shipping Agency Co.","2nd.floor , Building 444 , Al-Jamhouriyah Street , Fashloom - Quadisiayah ,Tripoli Libya , Tripoli, Libya, 00218","","","https://www.freightnet.com/profile/65698.htm","No"
"Topacts Shipping Company Misurata - Libya","P.O.Box : Misurata - Libya , Misurata, Libya, 218","","","https://www.freightnet.com/profile/4971.htm","No"
"Libya Shipping Agency","P. O. Box 4018 , Tripoli,","","","https://www.freightnet.com/profile/7352.htm","No"
"atheka for handling and air service","alnaser street  tripoli libya , julina benghazi libya, tripoli, libya, 218","","","https://www.freightnet.com/profile/54171.htm","No"
"Al Oola For Air And Sea Freight Services","Km 1 , Sawani Road, Tripoli , cc.primak@link.net, Tripoli, Tripoli, 12111","","","https://www.freightnet.com/profile/1316.htm","No"
"Kafela Shipping","Dubai St , Dubai St, Benghazi Libya, Libya, LY","","","https://www.freightnet.com/profile/2977.htm","No"
"coastship","misurata , airport st., Misurata, Libya, po .box 151","","","https://www.freightnet.com/profile/3745.htm","No"
"ADM for Air Cargo Services","Gurgi-near El-Andalus market , P.O.Box:81206, Tripoli, NIL, 00000","","","https://www.freightnet.com/profile/7377.htm","No"
"Almarassi Maritime & Trade Company","Aljama E-Aali Investment Center , P.O.Box 2923, Misurata,","","","https://www.freightnet.com/profile/7379.htm","No"
"Gazelle Express Services","Gazelle House , P.O.Box 752, Ahmed Swaihly Street, Tripoli,","","","https://www.freightnet.com/profile/7971.htm","No"
"Delta  Intl Shipping Agency (Libya) Ltd","Khalisa Sqr-Bosaifi Str-Behind Libya Insurance Co-Benghazi. , Benghazi,","","","https://www.freightnet.com/profile/8216.htm","No"
"Alesteshare","Rafek Almehdawe Street , Benghazi, 00218","","","https://www.freightnet.com/profile/10039.htm","No"
"LPL Lehnkering Projects + Logistics GmbH","Off Elsharshara Street , Benghazi,","","","https://www.freightnet.com/profile/10911.htm","No"
"Rekaz Shipping Services","Tripolis, 45 , Dargut St. Bab Bhar, Tripoli, 21821","","","https://www.freightnet.com/profile/17011.htm","No"
"TPF Forwarding Network (Libya)","MED SHIP -LIBYA , Seidie Al Hadar, Tripoli, Libya, NA","","","https://www.freightnet.com/profile/108529.htm","No"
