"name","address","phone","website","profileUrl","isPremiumMember"
"PrimeLogistics MB","Debesu st. 8, Klevine, Vilnius, 14180","+37061433155","http://www.prime-logistics.net/","https://www.freightnet.com/profile/144450.htm","Yes"
"Tempus Trans",". , Vilnius, Lithuania, 0111","","","https://www.freightnet.com/profile/262480.htm","No"
"UAB TRELA","Naujiakiemio g. , Klaipeda, Lithuania, LT 94187","","","https://www.freightnet.com/profile/199522.htm","No"
"Profitransa UAB","Poilsio g. 37-40 , Klaipeda, Lithuania, 93169","","","https://www.freightnet.com/profile/260236.htm","No"
"Baltic transline, UAB","R. Kalantos g. 49 , Kaunas, Lithuania, 52303","","","https://www.freightnet.com/profile/258907.htm","No"
"Kontinera","Lietavos 3-5 , Jonava, Jonava, LT-55153","","","https://www.freightnet.com/profile/109879.htm","No"
"FIREBALL LOGISTICS","Lentvario 33 , Vilnius, N/A, 02241","","","https://www.freightnet.com/profile/261706.htm","No"
"LOGMARĖ JSC","H.Manto str.22-410 , Klaipėda, LT, 92231","","","https://www.freightnet.com/profile/120795.htm","No"
"Rimspeda UAB","Kursiu g. , 28-14, Kaunas, Lithuania, LT-48145","","","https://www.freightnet.com/profile/2942.htm","No"
"Kloja ltd","Fabijoniskiu 99 , Vilnius, Vilnius, LT07101","","","https://www.freightnet.com/profile/259803.htm","No"
"Motorema UAB","I. Simonaitytes gatve  , 23, Klaipeda, Lithuania, LT-95120","","","https://www.freightnet.com/profile/234125.htm","No"
"Stalker group UAB","Plieno gatvė 2 , Klaipėda, Lietuva, 95112","","","https://www.freightnet.com/profile/254928.htm","No"
"Agrotreidas Logistics JSC","Jurininku  , pr, Klaipeda, Lithuania, 95225","","","https://www.freightnet.com/profile/256690.htm","No"
"UAB Breitto","Šilutės road 49, 2nd floor , Klaipeda, Klaipeda, 94105","","","https://www.freightnet.com/profile/254926.htm","No"
"Everwest Group","Laisvės pr. 36 , Vilnius, Lithuania, 04340","","","https://www.freightnet.com/profile/254907.htm","No"
"Outroll","Konstitucijos pr. 12-211 , Vilnius, Vilnius, 09309","","","https://www.freightnet.com/profile/252917.htm","No"
"Renvita","Žydrioji g. 2, Vinkšnėnų k., Šiauliai , Šiauliai, Lithuania, LT-12117","","","https://www.freightnet.com/profile/248750.htm","No"
"FreightMasters UAB","Kalvarijų g. 98-48 , Vilnius, Lithuania, 08211","","","https://www.freightnet.com/profile/241152.htm","No"
"Boxline UCL Baltics","Švitrigailos g. 11m , Vilnius, Vilnius, LT-03228","","","https://www.freightnet.com/profile/221599.htm","No"
"Baltic transline","R. Kalantos st. 49 , Kaunas, Netherlands/Belgium/France/Germany/Austria/Czech/Italy/Switzerland, LT-52303","","","https://www.freightnet.com/profile/237240.htm","No"
"Baltic Marine Spedition","Baltijos av. 12A-15 , Klaipeda, Lithuania, LT-94108","","","https://www.freightnet.com/profile/43954.htm","No"
"GR Line Ltd.","Minijos 2-407 , Klaipeda, Klaipeda, 91234","","","https://www.freightnet.com/profile/59335.htm","No"
"DSV","Stasylu21 , Vilnius, Lithuania, 02241","","","https://www.freightnet.com/profile/167438.htm","No"
"JSC NAVALIS MARITIME AGENCY","VERSLO STR. 11 - 202 , KLAIPEDA, LITHUANIA, LT-94102","","","https://www.freightnet.com/profile/177049.htm","No"
"UAB Baltic Solutions Transport","Nemencines 47B , Vilnius, Vilniaus, 10105","","","https://www.freightnet.com/profile/157538.htm","No"
"INGSTAD & CO UAB","Eiguliu 21 , Vilnius, Lithuania, 03150","","","https://www.freightnet.com/profile/98950.htm","No"
"MB ASENIA","V.Maciulevičiaus str. 53 - 206  , Vilnius, Lithuania, 04310","","","https://www.freightnet.com/profile/139703.htm","No"
"Hegelmann transporte","Pirkliu 5 , Zemaitkiemis, Lithuania, LT54340","","","https://www.freightnet.com/profile/179520.htm","No"
"Eurolimit","palapiniu 17 , Kaunas, Kaunas, 0000","","","https://www.freightnet.com/profile/162885.htm","No"
"Egliana ir KO","Kalvarijos str. 13 , Kaunas, Lithania, 43652","","","https://www.freightnet.com/profile/104864.htm","No"
"JSC “Logistikos strategija”","Metalo str. 7 , Vilnius, Vilnius, 02190","","","https://www.freightnet.com/profile/152626.htm","No"
"MTL GROUP","Menulio street 7 , Vilnius, Lithuania, 04326","","","https://www.freightnet.com/profile/148076.htm","No"
"Baltic Freight Services UAB","S. Dariaus ir S. Girėno g. 42A , Vilnius, Vilnius County, LT-02189","","","https://www.freightnet.com/profile/153071.htm","No"
"Baltic freight services, UAB","Dariaus ir Girėno 42A , Vilnius, Lithuania, 02189","","","https://www.freightnet.com/profile/153047.htm","No"
"Logipolija wagons","Tuskulenu g.33C , vilnius, lithuania, 09219","","","https://www.freightnet.com/profile/135295.htm","No"
"ScanMarine Lithuania UAB","Gedimino pr. 45-6 , Vilnius, Lithuania, LT-01109","","","https://www.freightnet.com/profile/128442.htm","No"
"UAB Vidrema","Minijos str. 90 , Klaipeda, Lithuania, LT93234","","","https://www.freightnet.com/profile/147942.htm","No"
"TANATIS, MB","Šeškinės g. 6 , Vilnius, Lithuania, LT-07152","","","https://www.freightnet.com/profile/143402.htm","No"
"REM logistic","Vytenio g. 4,, Vilnius, Vilnius, LT 03113","","","https://www.freightnet.com/profile/143421.htm","No"
"JSC MM Grupe","Alekniškis , Alekniškis, Širvintų raj., Lithuania, LT-19215","","","https://www.freightnet.com/profile/143126.htm","No"
"L.Racicko imone Vikunija","Lanku 12 , Utena, Lithuania, 28183","","","https://www.freightnet.com/profile/141888.htm","No"
"Hegelmann","Agronomijos 55 , Kaunas, Lithuanis, LT-47480","","","https://www.freightnet.com/profile/140972.htm","No"
"FSTS JSC","Motoru street 4 , Vilnius, none, 02190","","","https://www.freightnet.com/profile/140063.htm","No"
"UAB Cargex","Dociskiu 7 , Vilnius, Vilnius, 5800","","","https://www.freightnet.com/profile/139972.htm","No"
"UAB ''Vitalijaus Transportas''","Birutės 41-7, Šiauliai , Šiauliai, Lithuania, 76214","","","https://www.freightnet.com/profile/133187.htm","No"
"Cesnos logistika UAB","Tilzes 46A-202 , Klaipeda, Lithuania, 91112","","","https://www.freightnet.com/profile/139422.htm","No"
"GPA Logistika UAB","Mindaugo str. 6 , Vilnius, Vilnius, 03107","","","https://www.freightnet.com/profile/139166.htm","No"
"UAB Casteda","Vaineikiu 35 , Darbenai, Kretingos raj, LT 97274","","","https://www.freightnet.com/profile/135581.htm","No"
"JSC BENEFISUS","Odminiu 8 , Vilnius, Vilnius, 05120","","","https://www.freightnet.com/profile/134895.htm","No"
"Ad Rem UAB","Metalo 2A , Vilnius, -, 02190","","","https://www.freightnet.com/profile/22301.htm","No"
"Rosteka","Taikos pr. 157 , Kaunas, Lithuania, 52119","","","https://www.freightnet.com/profile/134272.htm","No"
"UAB Vikingo Transportas","Gedimino 45-4 , Vilnius, Lithuania, 01105","","","https://www.freightnet.com/profile/131635.htm","No"
"rinosta shipping agency","baltijos pr. 12a-8 , klaipeda, lithuania, 370","","","https://www.freightnet.com/profile/64935.htm","No"
"LP Baltic LTD","Zalgirio str. 131-214 , Vilnius, Lithuania, 08217","","","https://www.freightnet.com/profile/130245.htm","No"
"A4U","Vytauto pr. 23-113 , Kaunas, Lithuania, LT-44352","","","https://www.freightnet.com/profile/96577.htm","No"
"INTOUR","Laisves pr 3 , Vilnius, Lithuania, LT-04215","","","https://www.freightnet.com/profile/111488.htm","No"
"BRI Baltic","Minijos 2-304 , Klaipeda,","","","https://www.freightnet.com/profile/6238.htm","No"
"TRANSMEJA","Metalistu 3 , Siauliai, Lithuania, 78109","","","https://www.freightnet.com/profile/110210.htm","No"
"ATS logistics","Kirtimų g. 41 , Vilnius, Lithuania, LT-02244","","","https://www.freightnet.com/profile/106842.htm","No"
"VB GROUP UAB","Pakalnes 13 , Vilnius, Lithuania, 02189","","","https://www.freightnet.com/profile/62246.htm","No"
"DS Construction","Metalo g. 2 LT-02190, Vilnius , Vilnius, Vilnius, 02190","","","https://www.freightnet.com/profile/100353.htm","No"
"UAB ""E.I.R. international forwarding""","J.Tiskeviciaus g. , Vilnius, Lietuva, 70440","","","https://www.freightnet.com/profile/92887.htm","No"
"GPA Logistika","Justiniskiu 91 , Vilnius, 05253","","","https://www.freightnet.com/profile/13257.htm","No"
"TM Logistics","Kareiviu str. 19-185 , Vilnius, Vilnius, LT-09133","","","https://www.freightnet.com/profile/91804.htm","No"
"AD Services Ltd.","Piliakalnio g. 7 , Vilnius, Vilnius, 06229","","","https://www.freightnet.com/profile/65172.htm","No"
"Arkama UAB","Pievu str..1 , Kaunas, Lithuania, LT-54459","","","https://www.freightnet.com/profile/90853.htm","No"
"Sturvalas","Zemynos Str. 11-9 , Vilnius, 2022","","","https://www.freightnet.com/profile/4880.htm","No"
"Konteksa, JSC","Minijos Str., 43 , Klaipeda,","","","https://www.freightnet.com/profile/8100.htm","No"
"Baltic Transport Group","Taikos 28 , Klaipeda, 91220","","","https://www.freightnet.com/profile/11101.htm","No"
"Hoja Ekspedicija","Silutes Plentas 27 , Klaipeda, 5799","","","https://www.freightnet.com/profile/1594.htm","No"
"JSC LAIVU TECHNIKA","NAUJOJI UOSTO 3 , KLAIPEDA, KLAIPEDOS RAJONAS, 92120","","","https://www.freightnet.com/profile/57346.htm","No"
"Transfera, UAB","Tinklu str. 25 , Panevezys, Lithuania, LT35115","","","https://www.freightnet.com/profile/65371.htm","No"
"Uab Transvizija","Smolensko 19 , Vilnius, Lithuania, 03200","","","https://www.freightnet.com/profile/63972.htm","No"
"Trendeom","26 Naujakiemio str , Klaipeda, 94001","","","https://www.freightnet.com/profile/19087.htm","No"
"JSC Ferteksos Transportas","Kareiviniu 2 , Klaipeda, LT-5800","","","https://www.freightnet.com/profile/968.htm","No"
"Kamida Logistics","R. Kalantos 161 , Kaunas, Lithuania, 52315","","","https://www.freightnet.com/profile/58751.htm","No"
"A2 Cargo","Svitrigailos 11C , Vilnius, Vilnius, LT-03228","","","https://www.freightnet.com/profile/59240.htm","No"
"UAB Passat","I. Kanto 34 , Klaipeda, Klaipedos rajonas, LT-92237","","","https://www.freightnet.com/profile/13192.htm","No"
"Suada",", Klaip&#279;da,","","","https://www.freightnet.com/profile/3464.htm","No"
"LP Baltic Ltd","Santariskiu 37c-16 , Vilnius, Lithuania, 08437","","","https://www.freightnet.com/profile/54492.htm","No"
"Delta transportas","Motorų 14 , Vilnius, Lithuania, LT-02190","","","https://www.freightnet.com/profile/53703.htm","No"
"G-logistics","Šermukšnių 17 , Klaipeda, Lithuania, LT-91206","","","https://www.freightnet.com/profile/53676.htm","No"
"Krilena","Serviso Str. 11 , Klaipeda, Lithuania, LT-5800","","","https://www.freightnet.com/profile/4313.htm","No"
"Bretalita Company","Klaipedos 7 - 33 , Vilnius, 2001","","","https://www.freightnet.com/profile/843.htm","No"
"PAMARIO DVARAS","Baltijos pr. 117-111 , Klaipeda, Lithuania, 93221","","","https://www.freightnet.com/profile/47704.htm","No"
"Batimenta , Uab","P.O.Box 256 , Klaipeda, 5808","","","https://www.freightnet.com/profile/4276.htm","No"
"Euronavigacija","Kalvariju 204 , Kalvariju 204, Vilnius, Vilnius, 08116","","","https://www.freightnet.com/profile/48203.htm","No"
"Floda Ir Ko","Saltoniskiu 29/3 , Vilnius, Lithuania, LT-2677","","","https://www.freightnet.com/profile/439.htm","No"
"Refta","65a-34 P.Cvirkos St , Siauliai,","","","https://www.freightnet.com/profile/848.htm","No"
"Kauno Transekspedicija","Taikos Str. 96 , Kaunas, 3031","","","https://www.freightnet.com/profile/1290.htm","No"
"Ritranspeda Ltd","Savanoriu Pr. 178, Vilnius, 2609","","","https://www.freightnet.com/profile/2921.htm","No"
"Transtrado","Justiniški&#371; 126 , Vilnius, Lithuania, 2020","","","https://www.freightnet.com/profile/2935.htm","No"
"Valtomoa","Zirmunu 139a-405 , Vilnius, Vilniaus, 2012","","","https://www.freightnet.com/profile/4005.htm","No"
"AsstrA Vilnius UAB","Kubiliaus g. 18 , Vilnius,","","","https://www.freightnet.com/profile/7730.htm","No"
"JSC","Siauliu str. 5-33 , Klaipeda,","","","https://www.freightnet.com/profile/8364.htm","No"
"Agrenta","Vyzuoneliu 11 , Sabaldausku km., Utena, Litauen,","","","https://www.freightnet.com/profile/8443.htm","No"
"Taksta UAB","Fabijoniskiu 99 , Vilnius, 07101","","","https://www.freightnet.com/profile/9468.htm","No"
"Visla, UAB","Kalvariju 286A-2 , Vilnius, 08317","","","https://www.freightnet.com/profile/10778.htm","No"
"RM Logistics","Justiniskiu 79 , Vilnius, LT-05101","","","https://www.freightnet.com/profile/11516.htm","No"
"Gelna UAB","Baltijos pr.123-14 , Klaipeda, 93224","","","https://www.freightnet.com/profile/11716.htm","No"
"Logipolija Transport Group","Ukmerges st. 222 , Vilnius, 07157","","","https://www.freightnet.com/profile/11720.htm","No"
"UAB ""Stella Nova""","Silutes pl. 2-545 , Klaipeda, 91110","","","https://www.freightnet.com/profile/11972.htm","No"
"Fastcargo UAB","Minsko pl. 16km , Vilnius, 01008","","","https://www.freightnet.com/profile/12464.htm","No"
"ECW Logistics Vilnius","Dubysos 31 , Klaipeda, LT 91181","","","https://www.freightnet.com/profile/12971.htm","No"
"Jsc Trikelis","Laisves pr. 125-409 , Vilnius, LT-06118","","","https://www.freightnet.com/profile/13402.htm","No"
"Bleiras UAB","Pramones 13a , Utena Industrial Estate, Utena, 28216","","","https://www.freightnet.com/profile/13461.htm","No"
"UAB High Logistics","Ulonu 5 , Vilnius, 08240","","","https://www.freightnet.com/profile/13942.htm","No"
"Vykom","Vytauto pr. 32 , Kaunas, 44328","","","https://www.freightnet.com/profile/18574.htm","No"
"Logarta UAB","Kudirkos g. 33  , Druskininkai, 66120","","","https://www.freightnet.com/profile/20283.htm","No"
