"name","address","phone","website","profileUrl","isPremiumMember"
"GPA LOGISTIKA UAB","Eigulių g. 2 , Vilnius, Vilniaus, 06287","","","https://www.freightnet.com/profile/251434.htm","No"
"Kamida logistics","Brazdzionio g.29 , Kaunas, Lithuania, 47266","","","https://www.freightnet.com/profile/219948.htm","No"
"TRANSVALDAS","Senkapio g.10 , House, Silale, LT, 75117","","","https://www.freightnet.com/profile/162061.htm","No"
"Gevara","Vilkpedes str.4,, Vilnius, Lithuania, LT03151","","","https://www.freightnet.com/profile/159023.htm","No"
"Logistikos grupe","Šilutės pl. 125 , Klaipeda, Lithuania, LT-95112","","","https://www.freightnet.com/profile/151796.htm","No"
"Autolekis","K. Aglinskio 19A , Garliava, Kaunas, 53269","","","https://www.freightnet.com/profile/145611.htm","No"
"fast transport","Vytauto 34A , Marijampole, Lithuania, LT-68295","","","https://www.freightnet.com/profile/136092.htm","No"
"Hellmann Worldwide Logistics UAB","Dariaus ir Gireno str. 81 , Vilnius, Lithuania, LT-02189","","","https://www.freightnet.com/profile/114458.htm","No"
"Luma logistics","S. Neries 83-34 , Vilnius, Lithuania, 06331","","","https://www.freightnet.com/profile/109925.htm","No"
"Salvikdus","Laisvės 36 , Kalvarija, Lithuania, LT-69214","","","https://www.freightnet.com/profile/62621.htm","No"
