"name","address","phone","website","profileUrl","isPremiumMember"
"EXPRESS WORLD LOGISTIC","LOT VV 119 A MANAKAMBAHINY , ANTANANARIVO, MADAGASCAR, 101","","","https://www.freightnet.com/profile/95546.htm","No"
"Galaxam Logistics Sarl","1&3 Etages Tour Forello , Tanjombato, Antananarivo, Analamanga, 102","","","https://www.freightnet.com/profile/22822.htm","No"
"EXPRESS WORLD LOGISTIC","LOT IVF 50 BEHORIRIKA , Ambatomitsangana, ANTANANARIVO, MADAGASCAR, 101","","","https://www.freightnet.com/profile/86491.htm","No"
"Allport Cargo Services Madagascar SARL","zone Afriport Forello  , Tanjombato, Antananarivo, Madagascar, 101","","","https://www.freightnet.com/profile/112202.htm","No"
"FREIGHTLINE MADAGASCAR","Logt III, Cité No 3 Manakambahiny , Antananarivo, ANTANANARIVO, 101","","","https://www.freightnet.com/profile/20029.htm","No"
"Freight and Removal  Express","Villa La Mouette Lot 32 bis Ankadikely , Antananarivo, Madagascar, 101","","","https://www.freightnet.com/profile/54793.htm","No"
"FTL Madagascar","BP 845 , Antananarivo, 101","","","https://www.freightnet.com/profile/17926.htm","No"
"Vip LoGistics SCS Sarl","Batiment 2 , Local 33  cape 3000, Antananarivo, antananarivo, 00101","","","https://www.freightnet.com/profile/48927.htm","No"
"World Speed Madagascar Sarl","Lot II, F20 Antaninandro , Antananarivo, Madagascar,","","","https://www.freightnet.com/profile/1070.htm","No"
"Cargoline","Immeuble Stoi , Village des Jeux, Antananarivo,","","","https://www.freightnet.com/profile/6988.htm","No"
