"name","address","phone","website","profileUrl","isPremiumMember"
"MPK Freight","Box 32178 , Blantyre, Malawi,","","","https://www.freightnet.com/profile/196614.htm","No"
"GENERAL FREIGHT SERVICES","P. O. Box 1598 , Lilongwe, Malawi, LLWA52","","","https://www.freightnet.com/profile/218660.htm","No"
"Arvelta Logistics","GROUND FLOOR, MPICO BUILDING, P.O. BOX 4 Lumbadzi,, Lilongwe, Malawi, 207213","","","https://www.freightnet.com/profile/255127.htm","No"
"Navalis Maritime Agency Ltd","M'bebe place,Lilongwe , M,bebe place, Lilongwe, Lilongwe, Malawi, 265","","","https://www.freightnet.com/profile/239942.htm","No"
"GENERAL FREIGHT SERVICES","CARGO TERMINAL , KAMUZU INTERNATIONAL AIRPORT, LILONGWE, MALAWI, LLW 01","","","https://www.freightnet.com/profile/52253.htm","No"
"shamz imports and exports","zagaf Box 241 Blantyre , Rashy Box 241 Blantyra, Blantyre, 265, 241","","","https://www.freightnet.com/profile/162412.htm","No"
"T.R.BUSINESS LOGISTICS AND TRANSPORT","EUROPEAN BUSINESS CENTRE, 2nd FLOOR, OFFICE 6,AREA 3,OFF MANDALA RD,LILONGWE. BOX1106,LILONGWE,MALAWI , LILONGWE, MALAWI, +265","","","https://www.freightnet.com/profile/155433.htm","No"
"associated Cargo Systems","Achisola Complex,Opposite Mosanto,Kanengo,Lilongwe 4 , Mpico Building,Kamuzu International Airport,Lilongwe, Llongwe, Malawi, 265","","","https://www.freightnet.com/profile/153767.htm","No"
"FORTUNE LIMITED","ALONG KAPENI ROAD, OPP. ST. COLUMBA CCAP, MANJA LIGHT INDUSTRIAL AREA. , P.O. BOX 3390, BLANTYRE, MALAWI, +265","","","https://www.freightnet.com/profile/149801.htm","No"
"DOSH FREIGHT LTD","P.O BOX 4681 , DAR ES SALAAM, TANZANIA, +255","","","https://www.freightnet.com/profile/137047.htm","No"
"EUROMAX  LTD","Transport, Customs clearing & Forwarding Agent , , Kasumulu,","","","https://www.freightnet.com/profile/90307.htm","No"
"World Net Cargo Logistics Ltd","P.O Blantyre, Malawi , Blantyre, Malawi, +265","","","https://www.freightnet.com/profile/111189.htm","No"
"Worldwide Movers","P O Box 30900 , Lilongwe,","","","https://www.freightnet.com/profile/11817.htm","No"
"Fracht Freight","Railway Customs House , Lilongwe,","","","https://www.freightnet.com/profile/12529.htm","No"
"Stuttafords International Removals (Pvt) Ltd","158 Moir Crescent Cristwick , Blantrye,","","","https://www.freightnet.com/profile/16699.htm","No"
