"name","address","phone","website","profileUrl","isPremiumMember"
"GOLDEN LOGISTICS SDN BHD","27-1, JALAN LAKSAMANA 5, TAMAN SENTOSA TAIPAN, KLANG, SELANGOR, 41200","0126974220","http://www.goldenlogisticsmy.com/","https://www.freightnet.com/profile/231403.htm","Yes"
"Age Global Services Sdn Bhd","Block B Unit 9 Mas Cargo Complex , Bayan Lepas International Airport, Bayan Lepas, Penang, 11900","","","https://www.freightnet.com/profile/214479.htm","No"
"Cargostream Sdn Bhd","Lot A1, First Floor, Block D1 , Jalan KLIA S3, Kuala Lumpur International Airport, Sepang, Kuala Lumpur, 64000","","","https://www.freightnet.com/profile/133784.htm","No"
"Maytree World PLT","PARK 51 RESIDENCY , PETALING JAYA, MALAYSIA, 46100","","","https://www.freightnet.com/profile/222091.htm","No"
"Aero Team Ventures (Logistics)","Cargo Forwarders Building , KLAS Cargo Complex, KLIA Sepang, Selangor, Malaysia, 64000","","","https://www.freightnet.com/profile/208894.htm","No"
"SS Global Forwarding (M) Sdn Bhd","1145, Jalan Forest Heights 5/1, Precint 5, Forest Heights, Seremban, Negeri Sembilan, 70100","","","https://www.freightnet.com/profile/169572.htm","No"
"Avis Pioneer Logistics Sdn Bhd","21 Jalan Sungai Jeluh 32/191 , Kawasan Perindustrian Kemuning, Shah Alam, Selangor, 40460","","","https://www.freightnet.com/profile/173429.htm","No"
"MT SPEED ENTERPRISE","73,JALAN CENDERAWASIH @ENSTEK 71760,BDR ENSTEK N.S. DARUL KHUSUS MALAYSIA , ENSTEK, SELANGOR / MALAYSIA, 71760","","","https://www.freightnet.com/profile/102855.htm","No"
"Tun Diez Interbiz","78-1 Big Avenue 2, Neocyber, Cyberjaya, Selangor, 47000","","","https://www.freightnet.com/profile/131991.htm","No"
"Malaysia Airlines Cargo Sdn. Bhd","KLIA Free Commercial Zone,, Kuala Lumpur International Airport, Selangor, 64000","","","https://www.freightnet.com/profile/18472.htm","No"
"Global Reach Korea Sdn Bhd","Unit B-05-05, SOHO Empire Subang, Jalan SS16/1, Petaling Jaya, Selangor, 47500","","","https://www.freightnet.com/profile/52878.htm","No"
