"name","address","phone","website","profileUrl","isPremiumMember"
"PROPAX FREIGHT FORWARDERS SDN BHD","Malaysia Airlines, Freight Forwarders Complex, Lot B6-B1, Ground Floor Block B, Free Commercial Zone, KLIA, Selangor, 64000","+60163559095","https://www.prologisticsfwrds.com/","https://www.freightnet.com/profile/180290.htm","Yes"
"awani logistics sdn bhd","No. 22A-1, Lorong Batu Nilam 3D, Bandar Bukit Tinggi, Klang, Selangor, 41200","603-3325 8009 / 8010 /8011","https://nil/","https://www.freightnet.com/profile/181535.htm","Yes"
"TIM Logistics (M) Sdn Bhd","NO 22A/1 , Lorong Tiara 1B, Bandar Baru Klang, Klang, Selangor ,Malaysia, 41150","+603-33445880","http://www.timlogistics.com/","https://www.freightnet.com/profile/93079.htm","Yes"
"TNS LOG SERVICES SDN BHD","28B (2nd Floor), Jalan Sentosa 5, 41200 Klang, Selangor Darul Ehsan, Malaysia, 41200","+603 3319 0318","http://www.tnslog.com/","https://www.freightnet.com/profile/146409.htm","Yes"
"Dynamics Freight Solutions (M) Sdn Bhd","UNIT 9 - 05, Corporate Tower, Subang Square, Jalan SS15/4G, Subang Jaya, Selangor, 47500","+6012 4891777","http://https//dynamicsfs.com.my//","https://www.freightnet.com/profile/251072.htm","Yes"
"Ifreight International Sdn Bhd","S-25-03, Wisma YNH, Kiara 163, 8, Jalan Kiara, Mont Kiara, Kuala Lumpur, Malaysia, 50480","+60330050986","http://www.ifreight.com.my/","https://www.freightnet.com/profile/262909.htm","Yes"
"Freightnet Worldwide Sdn Bhd","A-9-A, 9th Floor, BBT One - The Tower, Lebuh Batu Nilam 1, Klang, Selangor, 41200","+60122172087","","https://www.freightnet.com/profile/213559.htm","Yes"
"HAI IAN FREIGHT (M) SDN BHD","306A, Jalan Batu Unjur 7, Taman Bayu Perdana, Klang, Selangor Darul Ehsan, 41200","+603-3323 0862","","https://www.freightnet.com/profile/18802.htm","Yes"
"Timur Permai Logistic Sdn Bhd","No.58-1 Jalan Ramin 2, Bandar Botanic, Klang, Selangor/Malaysia, 41200","+60122895511","","https://www.freightnet.com/profile/252687.htm","Yes"
"VESCO-MTO (M) SDN. BHD.","NO. 2, 1ST & 2ND FLOOR, JALAN PP 2/1, TAMAN PUTRA PRIMA, PUCHONG, SELANGOR, PUCHONG, SELANGOR, 47100","+60123711481","http://www.vescomto.com.my/","https://www.freightnet.com/profile/191890.htm","Yes"
"Great Future Logistic Sdn Bhd","Lot 8959 Jalan Udang Galah, Kg Telok Gong,, Klang, Malaysia, 42000","","","https://www.freightnet.com/profile/221724.htm","No"
"Setia Global Logistics Sdn. Bhd.","43, Jalan SS18/5H , Subang Jaya, Selangor Darul Ehsan., 47500","","","https://www.freightnet.com/profile/96136.htm","No"
"Ability Group Services Sdn Bhd","Jalan Delima Bandar Parkland, Klang 41200.  , +60162017737, Port Klang, Selangor, 41200","","","https://www.freightnet.com/profile/183926.htm","No"
"bluebird express line","32A, Jalan Bayu Tinggi 2, Batu Unjur, 41200 Klang, Selangor , Klang, Selango, Selangor, 41200","","","https://www.freightnet.com/profile/256686.htm","No"
"AF CARGO LOGISTICS SDN BHD","F1-38 Forwarders Bldg A, KLAS Cargo Complex , KLIA ,Southern Support Zone ,FCZ, Sepang, Selangor Darul Ehsan, 64000","","","https://www.freightnet.com/profile/105847.htm","No"
"Freedom Freight (M) Sdn Bhd","Lot F1-31, Cargo Forwarders Bldg , Klas Cargo Complex, Kl Intl Airport, Sepang, Selangor, 64000","","","https://www.freightnet.com/profile/154388.htm","No"
"Harbour Services Sdn Bhd","Lot 314 & 315, 3rd Floor Csc Bldg,KLAS Cargo Complex, Southern Support Zone , Kuala Lumpur International Airport, Sepang, Malaysia, 64000","","","https://www.freightnet.com/profile/2762.htm","No"
"Yakin logistics","Jalan pekan , Banting, Banting, Selongore, 42700","","","https://www.freightnet.com/profile/250103.htm","No"
"Global Goods Logistics Holding","803, Jalan Kapar, Batu 3 1/2,, Selangor Darul Ehsan, Choose your province, 41400","","","https://www.freightnet.com/profile/223970.htm","No"
"FSM LOGISTICS SDN BHD","B1-01 , PJ INDUSTRIAL PARK , JALAN KEMAJUAN, PETALING JAYA, SELANGOR, MALAYSIA, 46200","","","https://www.freightnet.com/profile/193636.htm","No"
"Interconline Projects Sdn Bhd","21A Jalan Putra Mahkota 7/4A , Putra Height, Selangor., Putra Heights, Selangor, 47650","","","https://www.freightnet.com/profile/245551.htm","No"
"UNICO LOGISTICS SDN BHD","NO. 75-1, JALAN RAMIN 1/KS7, BOTANIC BUSINESS GATEWAY, KLANG, SELANGOR, 41200","","","https://www.freightnet.com/profile/161968.htm","No"
"Network Straits Logistics Sdn Bhd","A-08-05, Menara Prima Avenue,  Jalan PJU 1/39, Dataran Prima, 47301 Petaling Jaya, Selangor , Petaling Jaya, Selangor, 47301","","","https://www.freightnet.com/profile/210391.htm","No"
"Ace Marine Shipping Sdn Bhd","Menara Boustead, 39, Jalan Sultan Ahmad Shah Unit 1.01, Ground Floor, 10050, George Town , Penang , Pulau Penang, Malaysia, 10050","","","https://www.freightnet.com/profile/255923.htm","No"
"TNS GLOBAL LOGISTICS SDN BHD","No. 26A (First Floor) , Jalan Sentosa 5, Klang, Selangor, 41200","","","https://www.freightnet.com/profile/231882.htm","No"
"Global Trans Connect PLT","No 20A, LORONG SENTOSA 4A, TAMAN BAYU TINGGI, KLANG, SELANGOR, MALAYSIA, 41200","","","https://www.freightnet.com/profile/239668.htm","No"
"NETWORK FREIGHT SDN BHD","12, Jalan Anggerik Mokara 31/61, Seksyen 31, Kota Kemuning, Shah Alam, Selangor, 40460","","","https://www.freightnet.com/profile/245596.htm","No"
"STG SHIPPING (M) SDN BHD","SH-GLM-05, GRAVIT 8, JALAN BAYU LAUT 5/KS9 , KOTA BAYUEMAS, PENDAMAR, KLANG, SELANGOR / MALAYSIA, 41200","","","https://www.freightnet.com/profile/219694.htm","No"
"FEDERAL SHIPPING & FORWARDING AGENCY SDN. BHD.","LOT 13, SOLOK SULTAN HISHAMUDDIN 7, KAW. PERUSAHAAN BDR. SULTAN SULEIMAN, PORT KLANG, SELANGOR, 42000","","","https://www.freightnet.com/profile/220551.htm","No"
"FM GLOBAL LOGISTICS SDN BHD","1-2, Jalan PPMP 1 , Pusat Perniagaan Malim Permai, MELAKA, 06, 75450","","","https://www.freightnet.com/profile/252742.htm","No"
"Worldwise Freight (M) SDN BHD","The Landmark, Tower B, 2-2, Jalan Batu Nilam 16, Bandar Bukit Tinggi 2, 41200 Klang, Selangor Darul Ehsan, Malaysia. , KLANG,SELANGOR, MALAYSIA, 41200","","","https://www.freightnet.com/profile/22875.htm","No"
"Perwakilan Utama dan Pengangkutan Lori","No. 1 Jalan Petola, Port Garden, 42000 Port Klang , No.1 Jalan Petola, Port Garden, Port Klang, Selangor, Malaysia, 42000","","","https://www.freightnet.com/profile/146082.htm","No"
"RONICH EMINENT GLOBAL SDN BHD","JALAN BENDAHARA 3/KS07 , DI JALAN RAJA NONG TAMAN SEJATI, KLANG, SELANGOR DARUL EHSAN, 41000","","","https://www.freightnet.com/profile/247381.htm","No"
"fast forward","39,Jalan Besar Masai Lama , Masai, Pasir Gudang, Malaysia, 81200","","","https://www.freightnet.com/profile/236128.htm","No"
