"name","address","phone","website","profileUrl","isPremiumMember"
"TD Express Sdn Bhd","No. 18 , Jalan Kempas Utama 3/7, Taman Kempas Utama. , Johor Bahru, Johor, 81200","","","https://www.freightnet.com/profile/252369.htm","No"
"LOAD N GO SDN BHD","15-G & 15-1 , JALAN MR 1/5, RAWANG, SELANGOR, 48000","","","https://www.freightnet.com/profile/187890.htm","No"
"Khishnu Enterprise","No.40, jalan cendana 19 , Taman rinting, Johor bahru, Johor malaysia, 81750","","","https://www.freightnet.com/profile/166758.htm","No"
"TKT LOGISTICS SDN BHD","No8, Jalan Sasa 49 , Ulu Tiram, Johor, 81800","","","https://www.freightnet.com/profile/147562.htm","No"
"AGL FREIGHT SERVICES SDN BHD","15-2, JALAN USJ 21/1 , UEP SUBANG JAYA, SUBANG JAYA, SELANGOR, 47600","","","https://www.freightnet.com/profile/153945.htm","No"
"FAMANIS SDN BHD","NO 3 JALAN BI 4 , Taman Desa Baiduri Indah, Sepang, Selangor, 43900","","","https://www.freightnet.com/profile/150745.htm","No"
"Shallas Sdn Bhd","Lot 40 Lebuh Sultan Mohamad1 , Tapak Transit Kenderaan Berat (F), Port Klang, Selangor/Malaysia, 42000","","","https://www.freightnet.com/profile/141258.htm","No"
"Kayang Logistics","No.2,Tingkat 1 , Taman Sri Utama Indah, Gurun, Kedah/Malaysia, 08300","","","https://www.freightnet.com/profile/139458.htm","No"
"JAY GLOBAL ENTERPRICE","NO 246-1 ,PERSIARAN PEGAGA, TAMAN BAYU PERDANA, KLANG, SELANGOR, 41200","","","https://www.freightnet.com/profile/136035.htm","No"
"Syafiq Global Resources Trading","22 & 24 , Jalan Indah 1/2, Rawang, Selangor, 48000","","","https://www.freightnet.com/profile/101351.htm","No"
