"name","address","phone","website","profileUrl","isPremiumMember"
"tristar marine agency sdn bhd","32A, Jalan BayuTinggi 2, Batu Unjur,41200 Klang,Selangor,Malaysia, klang, selangor, 41200","","","https://www.freightnet.com/profile/250904.htm","No"
"Transworld gls sdn bhd","Suite 9, 03A, Level 9, Menara Trend Intan Millennium Square, klang, selangor, 41300","","","https://www.freightnet.com/profile/246914.htm","No"
"ICL Interconline projects sdn bhd","no21-A,jalan putra mahkota 7/4a , putra heights, selangor, 47650","","","https://www.freightnet.com/profile/174163.htm","No"
"LEGEND SHIPPING AGENCIES (M) SDN BHD | NVOCC | TOTAL LOGISTICS","C-3-15,BLOCK C, BBT ONE, LEBUH BATU NILAM 2,BUKIT TINGGI , KLANG, SELANGOR, 41200","","","https://www.freightnet.com/profile/162726.htm","No"
"MAC MARINE RESOURCES SDN BHD","05 MC-JTP CONCEPT BUILDING, PLO 683 Jalan Keluli Pasir Gudang Industrial Estate, JOHOR, Johor Bahru, 81700","","","https://www.freightnet.com/profile/114377.htm","No"
"KMT CONTAINER LINE SDN BHD","NO 28-A, 1ST FLOOR, TAMAN BAYU TINGGI, 41200 , KLANG , JALAN BAYU TINGGI 6, KLANG, MALAYSIA, 41200","","","https://www.freightnet.com/profile/133720.htm","No"
"sea hawk global lines sdn bhd","Suite 15.15 Centro, 8 Jalan Batu Tiga Lama 41300 Klang , klang, malaysia, 41300","","","https://www.freightnet.com/profile/143000.htm","No"
"SEA HAWK GLOBAL LINES SDN BHD","15-15 CENTRO BATU TIGA LAMA , KLANG, SELANGOR / MALAYSIA, 41300","","","https://www.freightnet.com/profile/131377.htm","No"
"Sarjak Container Lines","No.28 (3rd Floor) Jalan Tiara 2A/KU1, Pusat Perniagaan Bandar Baru Klang, Klang, Selangor, 41150","","","https://www.freightnet.com/profile/118627.htm","No"
"Zim World Shipping Sdn Bhd","26/1, 1st Floor, Jalan Tiara 2 , Bandar Baru Klang, Klang, Selangor, 41150","","","https://www.freightnet.com/profile/13268.htm","No"
