"name","address","phone","website","profileUrl","isPremiumMember"
"World Asia Logistics Maldives","M. Iris, 4th floor. , Fareedheemagu, Fareedhee Goalhi, Maafannu, Male,Maldives, 20002","+9609408655","https://www.wal-mv.com/","https://www.freightnet.com/profile/262574.htm","Yes"
"3H LOGISTICS PVT LTD","G.HARUHIYA, RAIYVILLA GOALHI, MALE, MALDIVES, 20145","+9609381233","http://www.3hlogistics.com/","https://www.freightnet.com/profile/256559.htm","Yes"
"EXCELLA MALDIVES PVT LTD","Hulhumale Lot 11187, Chanbeyli Magu, Hulhumale, Maldives, 23000","09609563636","","https://www.freightnet.com/profile/264942.htm","Yes"
"Freightline Logistic Pvt Ltd","Hulhumale' Flat 138-1-04, Chanbeylee Magu, No. 4 Goalhi, Male', Maldives, 23000","+9607918171","","https://www.freightnet.com/profile/263585.htm","Yes"
"WorldWide Xpress Pvt Ltd","Lot 10206 , Hithigas Magu 3, Hulhumale, Male City, Kaafu, 23000","","","https://www.freightnet.com/profile/213212.htm","No"
"Total Supply Solutions Maldives Pvt Ltd","M. Famudheyrige, Unit 2B , Orchid Magu, Male, Rep of Maldives, 20209","","","https://www.freightnet.com/profile/168029.htm","No"
"XLIGIC SOLUTION PVT LTD","IRAAKUGE R.ALIFUSHI 05010 MALE, REP OF MALDVIES , IRAAKUGE R.ALIFUSHI 05010 MALE, REP OF MALDVIES, MALE, MALDVIES, 05010","","","https://www.freightnet.com/profile/257576.htm","No"
"PTL Logistics","H Coral Reef - 7th Floor Boduthakurufaanu Magu , Henveiru Male, Maldives, 20002","","","https://www.freightnet.com/profile/249240.htm","No"
"Coral Shipping and Logistics Pvt Ltd","H. Meedhoo , First Floor (1A), Male, Maldives, 20066","","","https://www.freightnet.com/profile/158851.htm","No"
"EQ brokers Pvt Ltd","G. Ummeedhee ufaa , Male', Maldives, 20134","","","https://www.freightnet.com/profile/239593.htm","No"
"SHIP HUB PRIVATE LIMITED","H. Meedhoo 6B , Male', Maldives, 20066","","","https://www.freightnet.com/profile/255182.htm","No"
"WORLD EQUATOR CARGO PVT LTD","Ma. Poolvaadhee  , Maafaithakurufaanu Magu, K.Male', Maldives, 20238","","","https://www.freightnet.com/profile/19753.htm","No"
"WGL LOGISTICS MALDIVES PRIVATE LIMITED","M.Varunulaa 2nd Floor, Aaburuzu Hingun, K.Male' Maldives , K.MALE', MALDIVES, 20213","","","https://www.freightnet.com/profile/249139.htm","No"
"Blue Shipping & Logistics Pvt Ltd","Ma.Arivaru  , Male’, Maldives, 20246","","","https://www.freightnet.com/profile/189265.htm","No"
"TAJ SHIPPING AND LOGISTICS PVT LTD","G.VAIJEHEYGE AAGE 1, 2ND FLOOR, NEELOAFARU MAGU, MALE , REPUBLIC OF MALDIVES , MALE, Male, 00028","","","https://www.freightnet.com/profile/246129.htm","No"
"TOTAL QUALITY LOGISTICS MALDIVES","H.VELAVALI JANAVAREE MAGU MALE REPUBLIC OF MALDIVES  , Male, Maldives, 20041","","","https://www.freightnet.com/profile/223367.htm","No"
"Island Sailors Maldives Pvt Ltd","H. Hera , 1st Floor, Male', Maldives, 20050","","","https://www.freightnet.com/profile/7182.htm","No"
"Lily Shipping & Trading Pvt Ltd","M.A.N Building 7th Floor, Mohamed Ismail Didi Goalhi, Ahmadhee Bazaar, Male', Republic Of Maldives, 20182","","","https://www.freightnet.com/profile/238162.htm","No"
