"name","address","phone","website","profileUrl","isPremiumMember"
"TC Smith Co Lyd","Polidano Group Buildings, Triq Hal Farrug. Luqa, Hal farrug, Luqa, LQA1124","99211137","","https://www.freightnet.com/profile/255208.htm","Yes"
"Global Freight Solutions","GFS Building (MRA009) , Industrial Estate, Marsa, Malta, MRS 3000","","","https://www.freightnet.com/profile/135044.htm","No"
"World Express Logistics Ltd.","Canter Business Centre , P.F. Bilocca Street, Marsa, Marsa, MRS1524","","","https://www.freightnet.com/profile/134369.htm","No"
"Global Freight Solutions","GFS Building (MRA 009) , Industrial Estate, Marsa, MT, MRS 3000","","","https://www.freightnet.com/profile/131461.htm","No"
"S. Mifsud & Sons Ltd","65 Birkirkara Hill , St. Julians, Malta, STJ1143","","","https://www.freightnet.com/profile/151499.htm","No"
"B.A.S. LTD.","25, Air Cargo House , Ganni Vassallo Street, Luqa, Luqa, LQA1511","","","https://www.freightnet.com/profile/136069.htm","No"
"Sullivan Shipping Agencies Ltd","Exchange Buildings , Republic Street, Valletta, Malta, VLT 1117","","","https://www.freightnet.com/profile/53058.htm","No"
"F S Borg Co Ltd","""Seabird"" , St Edward Street, Qormi, Malta, QRM 2137","","","https://www.freightnet.com/profile/113345.htm","No"
"Gollcher Company Ltd","19, Zachary Street ,, Valletta, VLT10","","","https://www.freightnet.com/profile/399.htm","No"
"Sullivan Shipping Agencies Ltd","Exchange Buildings , Republic Street, Valletta, Malta, VLT 1117","","","https://www.freightnet.com/profile/14790.htm","No"
"Borda Cargo Services","1   Elizabeth, Paul Borg Street, Attard, Malta, ATD 2633","","","https://www.freightnet.com/profile/114567.htm","No"
"Eurotrans Services Ltd.","48 Naxxar Road , Birkirkara, Birkirkara, BKR9048","","","https://www.freightnet.com/profile/9391.htm","No"
"Cosmo (Malta) Limited","AGS House , Giuseppe Cali Street, Ta Xbiex, Malta, XBX1424","","","https://www.freightnet.com/profile/52990.htm","No"
"Tubeline Ltd","Cargo House , Gianni Vassallo Street, Luqa, LQA02","","","https://www.freightnet.com/profile/17484.htm","No"
"Ocean & Sky Logistics Ltd","73, Queen Str , Paola, PLA10","","","https://www.freightnet.com/profile/13117.htm","No"
"Freightzone Malta Ltd","40 Karm Zerafa Street , Birkirkara, BKR12","","","https://www.freightnet.com/profile/9770.htm","No"
"TubeLine Limited","34/36 Ganni Vassallo Street , Luqa, Luqa, LQA 1513","","","https://www.freightnet.com/profile/59837.htm","No"
"Thomas Smith & Co Ltd","War Victims Square , Luqa, Luqa, LQA1010","","","https://www.freightnet.com/profile/6796.htm","No"
"Triton Logistics Limited","Level 1, Monument Services Centre , National Road, Blata L'Bajda, HMR02","","","https://www.freightnet.com/profile/7229.htm","No"
"Jet Services Limited","Frezza Building , Notabile Road, Mriehel, Europe, BKR 14","","","https://www.freightnet.com/profile/18736.htm","No"
"Ace Freighters Ltd","110 , Cross Road, Marsa, Malta, HMR14","","","https://www.freightnet.com/profile/656.htm","No"
"Air Cargo Logistics Limited","Suite 4 - 22 Tower street , Msida, MSD06","","","https://www.freightnet.com/profile/857.htm","No"
"Airsped Express Ltd","Seasped House , Ninu Cremona Street, Paola, PLA 01","","","https://www.freightnet.com/profile/858.htm","No"
"KP International Ltd.","2nd Floor, Seasped House , Ninu Cremona Street, Paola, Malta, PLA 01","","","https://www.freightnet.com/profile/859.htm","No"
"Alfaran Trailers","Hal-Far Road , L/O B'Bugia, Malta,","","","https://www.freightnet.com/profile/8466.htm","No"
"Corporate Shipping (Freezone) Ltd","Office 5, Floor 4 , Portomaso Tower, St. Julians,","","","https://www.freightnet.com/profile/11501.htm","No"
"Medsea Shipping Agency","G. Debono Square , Msida Msd 10, Malta,","","","https://www.freightnet.com/profile/19593.htm","No"
"AV Logistics Malta","59 Gorse street , Bkara, BKR05","","","https://www.freightnet.com/profile/22897.htm","No"
"Bianchi Trading & Shipping Ltd","143, Palazzo Marina , St Christopher Street, Valletta,","","","https://www.freightnet.com/profile/23306.htm","No"
