"name","address","phone","website","profileUrl","isPremiumMember"
"WINLOG Trading & Services Sarl","LOT Nº94 B DE ILOT EXT P 5- DUBAI, Nouadhibou, Mauritanie, 01283","22246760152","","https://www.freightnet.com/profile/258250.htm","Yes"
"AFRICASHIPLOG","TEVRAGH ZEYNA , SOUKOUK, NOUAKCHOTT, MAURITANIA, 1235","","","https://www.freightnet.com/profile/231659.htm","No"
"TLC SARL (Transit Logistique Consulting)","Tvz, Nktt, Mauritanie , Mauritania/Nouakchott, nouakchott, 070","","","https://www.freightnet.com/profile/234704.htm","No"
"DBV","Immeuble Mauricenter #202 , Tevrag Zeina, Nouakchott, Mauritania, 4194","","","https://www.freightnet.com/profile/85018.htm","No"
"Logiapex","Ilot o 21A , Nouakchott, Mauritania, 1303","","","https://www.freightnet.com/profile/221571.htm","No"
"AFPROLOGS sarl","Soukouk  , Tevragh Zeyna, Nouakchott, mauritania, 0000","","","https://www.freightnet.com/profile/206044.htm","No"
"Global-shipping SARL","200 Route ambassade Senegal  , Tevragh Zeina, Nouakchott-Sud, 200","","","https://www.freightnet.com/profile/206780.htm","No"
"AFPROLOG sarl","Soukouk , Tevragh Zeyna, Mauritania, 1235","","","https://www.freightnet.com/profile/204595.htm","No"
"Maersk Logistics Mauritania","Avenue Cheikh Oumar Tall  , BP 1026 , Nouakchott -Mauritania, Nouakchott, Mauritania, 0000","","","https://www.freightnet.com/profile/190329.htm","No"
"Belship Co Ltd","416 St James Court , St Denis Street, Port Louis, EE,","","","https://www.freightnet.com/profile/14172.htm","No"
"SCOMAT LOGISTICS GROUP","PORT DE NOUAKCHOTT BP 4455 , NOUAKCHOTT, MAURITANIA, 4455","","","https://www.freightnet.com/profile/100143.htm","No"
"World Speed Consolidators Ltd","Sam Blg, 43, Mere Barthelemy St , Port-Louis,","","","https://www.freightnet.com/profile/351.htm","No"
"Capital Freight Ltd","56 Term Queen Street , Port-Louis, Mauritius Island,","","","https://www.freightnet.com/profile/425.htm","No"
"Ashok International Cargo Ltd","301 Pearl House , Sir Virgil Naz, Port Louis,","","","https://www.freightnet.com/profile/464.htm","No"
"Golden Freight Services Ltd","3rd Fllor , La Cheminee Building , 70 Remy Ollier Street , Port Louis,","","","https://www.freightnet.com/profile/1149.htm","No"
"Clasquin  (Mauritius)  Ltd","1st  Floor , Head  Office : 4th  Floor,  Labourdonnais  Court, Port  Louis, Plaine  Magnien,","","","https://www.freightnet.com/profile/1353.htm","No"
"MCL Freight","40, Queen Street , Port Louis,","","","https://www.freightnet.com/profile/4955.htm","No"
"Worldwide Speed Ltd","Lai Wan Chut Bldg Suite No7 , R.Seeneevassen Street, Port Louis,","","","https://www.freightnet.com/profile/5028.htm","No"
"World Freight Forwarding Ltd","5F TN Tower , St. Georges Street, Port Louis,","","","https://www.freightnet.com/profile/5749.htm","No"
"Logfret Services Ltd","Suite No7,G/F Lai Wan Chut Bldg , R.Seeneevassen St, Port Louis,","","","https://www.freightnet.com/profile/7072.htm","No"
"Chartered Marine & Air Freight Sercices Ltd","3rd Floor,Wong Chap Lan Bldg, P.O.BOX 343, trou fanfaron, Port Louis,","","","https://www.freightnet.com/profile/7404.htm","No"
"Online Logistics Co Ltd","63 b Eugeune Laurent st , Port Louis,","","","https://www.freightnet.com/profile/8149.htm","No"
"Clear Freight Services Ltd","Office 209, 2nd Floor KL Centre , Abattoir Street, Port Louis,","","","https://www.freightnet.com/profile/10464.htm","No"
"Island Logistics Ltd","Freight Forwarders Centre , Ex Airport Road, Plaine Magnien, Plaisance,","","","https://www.freightnet.com/profile/14456.htm","No"
"SMPN Nouakchott","ZRB585 T.Zeina , Sahel Avenue, P O Box 40254, Nouakchott,","","","https://www.freightnet.com/profile/14487.htm","No"
"International Freight Services Ltd","Victoria Building, 1 Rue Corderie  , Port Louis,","","","https://www.freightnet.com/profile/19541.htm","No"
"Global Logistics Solutions Ltd","Room 305, Trade and Marketing Centre , Mer Rouge, Port Louis, MU, 00200","","","https://www.freightnet.com/profile/20381.htm","No"
"Celero Logistics","New Caudan Road , Port Louis, n/a, 0000","","","https://www.freightnet.com/profile/24315.htm","No"
"BKTrans","Nouakchott , Nouakchott, Mauritania, 1235","","","https://www.freightnet.com/profile/94512.htm","No"
