"name","address","phone","website","profileUrl","isPremiumMember"
"BRITON CARGO LTD","Royal Road, Phoenix, Mauritius, 0000","54225504","","https://www.freightnet.com/profile/228534.htm","Yes"
"International Freight Services Co. Ltd","1 Corderie Street, Port Louis, 230, 230","+230 216 97 22","http://www.i-f-s.co/","https://www.freightnet.com/profile/21751.htm","Yes"
"BCorp Worldwide Ltd","24 A, Cactus Avenue, Morcellement Rey, Port-Louis, Mauritius, 11121","","","https://www.freightnet.com/profile/260973.htm","No"
"FREIGHT LINE CARGO SERVICES LTD","3rd Floor, Sunway Court, 21 Velore St, Port LOuis , Port Louis, Mauritius, mru","","","https://www.freightnet.com/profile/166580.htm","No"
"IKS CARGO LTD","Marien Road , Port-Louis, Port Louis, 11615","","","https://www.freightnet.com/profile/233812.htm","No"
"STAR FREIGHT SERVICES LTD","90 ABATTOIR ROAD , ROCHE BOIS, PORT LOUIS, MAURITIUS, 230","","","https://www.freightnet.com/profile/139517.htm","No"
"CAMEL LOGISTICS LTD","3RD KL CENTRE ,ABATOIRE STREET , PORT LOUIS, Mauritius, 11601","","","https://www.freightnet.com/profile/218505.htm","No"
"HAS FREIGHT SERVICES LTD","MARINE ROAD , PORT LOUIS, MAURITIUS, 11301","","","https://www.freightnet.com/profile/249028.htm","No"
"Viship Logistics Ltd","46K, Balisage Street, Roche Bois, Mer Rouge , Port Louis, Mauritius, 11614","","","https://www.freightnet.com/profile/214956.htm","No"
"REX LOGISTICS LTD","3,VENPIN STREET , PORT-LOUIS, MAURITIUS, 11602","","","https://www.freightnet.com/profile/177496.htm","No"
"JS LINE LTD","21 Velore street Port Louis  , 21 Velore street Port Louis, Port Louis, Mauritius’s, 230","","","https://www.freightnet.com/profile/192456.htm","No"
"Goulouxandassociates","70 Remy ollier street , 70, Port louis, Port louis, 230","","","https://www.freightnet.com/profile/172153.htm","No"
"FS Cargo Services Ltd","Lai Wan Chut Building , 7 R. Seeneevassen Street, Port Louis, Mauritius, 11613","","","https://www.freightnet.com/profile/172506.htm","No"
"khu Star Cargo Services Ltd","Port Louis , Port - Louis, port louis, 230","","","https://www.freightnet.com/profile/153656.htm","No"
"STAR FREIGHT SERVICES LTD","9 ABATTOIR ROAD , ROCHE BOIS, ROCHE BOIS, MAURITIUS, 230","","","https://www.freightnet.com/profile/149083.htm","No"
"CAMEL LOGISTICS LTD (Freight Forwarding Agent)","KL CENTRE 3rd Floor Room 303 , C/R Abattoir & Olivier Str,Port Louis., PORT LOUIS, MAURITIUS, 230","","","https://www.freightnet.com/profile/91934.htm","No"
"WORLDLINK LOGISTICS LTD","MFD Business Centre , Freeport Zone 5, Port Louis, Mauritius, 52452","","","https://www.freightnet.com/profile/129241.htm","No"
"MSR Cargo Services Ltd","Block A3, Abattoir Road , Port Louis, Port Louis, 11601","","","https://www.freightnet.com/profile/134573.htm","No"
"Bhonyls Freight LTD","8 Corderie street , Port Louis, Mauritius, 00230","","","https://www.freightnet.com/profile/93584.htm","No"
"STAR FREIGHT SERVICES LTD","11TH FLOOR SILVERCREST COURT , 16 MGR GONIN STREET, PORT LOUIS, MAURITIUS, 230","","","https://www.freightnet.com/profile/130621.htm","No"
"Cargotech Ltd","32A Farquhar Street , Port louis, Mauritius, none","","","https://www.freightnet.com/profile/103524.htm","No"
"Sotrimex","KL Centre 101 , Abattoir Road, Port-Louis,","","","https://www.freightnet.com/profile/21658.htm","No"
"CAMEL LOGISTICS LTD","KL Centre 3rd Fl ,RM303 , Abatoir Str, Port Louis, Mauritius, 12345","","","https://www.freightnet.com/profile/11517.htm","No"
"SGR Express Logistics Ltd","MFD Business Centre , Freeport Zone 5, Mer Rouge, Port Louis, Mauritius,","","","https://www.freightnet.com/profile/102881.htm","No"
"Relocation and Moving Solutions Ltd","30 , Pouce Street  , Port - Louis, Port - Louis, Mauritius, 230","","","https://www.freightnet.com/profile/44287.htm","No"
"Airocean Logistics Ltd","4th Floor Pearl House Sir Virgil Naz Street , Port Louis, Mauritius, 230","","","https://www.freightnet.com/profile/81936.htm","No"
"DOLPHINE LOGISTICS SERVICES LTD","5th Floor , Discovery House, Quatre-Bornes, Quatre Bornes, Mauritius, 0048","","","https://www.freightnet.com/profile/63811.htm","No"
"PORT LOUIS SHIPPING AGENCY LTD","KL Centre 101 , Abattoir Road, Port Louis, Mauritius, NA","","","https://www.freightnet.com/profile/63874.htm","No"
