"name","address","phone","website","profileUrl","isPremiumMember"
"Multilines Cargo SA de CV","Naranjo 10A, COL. VALLE DORADO, MANZANILLO, COLIMA, 28219","5583678452","http://www.multilinesshipping.com/","https://www.freightnet.com/profile/181265.htm","Yes"
"ZIVAL Global Logistics S.A. de C.V.","Guanabana Num. 242 Of-B, Col. Nueva Santa Maria, Ciudad de Mexico, Azcapotzalco, Mexico, 02800","+525589958474","http://zival.com.mx/","https://www.freightnet.com/profile/220083.htm","Yes"
"LOGER POINT LOGISTIC","Boulevar Campestre 2729 interior 32, colonia Cañada Del Refugio, LEÓN, Guanajuato, 37358","524777703204","http://www.logerpoint.com/","https://www.freightnet.com/profile/169130.htm","Yes"
"Compañía de Comercio Exterior y Expedidores Mercantes / RFC CEE230906FL7","Yucatán México, México City /, Servicios a todo el mundo en todos los puertos, aeropuertos y pasos fronterizos mexicanos // Services worldwide at all Mexican ports, airports, and border crossings ///, Puerto Progreso, Puerto Morelos Q.R., Veracruz, Altamira, Matamoros, Tampico, Manzanillo, Lázaro Cárdenas, Ensenada, Guaymas, Mazatlán, Salina Cruz, Chiapas. Aeropuertos: Mérida, Cancún, Cozumel, Tulum, Ciudad de México, Guadalajara, Monterrey ///, México, 97289","WhatsApp +52 999 223 9914","https://expedidoresmercantes.com.mx/","https://www.freightnet.com/profile/144745.htm","Yes"
"Praxis Logistica S de RL de CV","Periferico Sur 3720 Torre 02, Piso 08, Jardines del Pedregal, Alvaro Obregon, Ciudad de Mexico, Ciudad de Mexico, 01900","+525518018427","http://www.praxislogistica.com.mx/","https://www.freightnet.com/profile/42604.htm","Yes"
"Easy Trade Freight Services SC","SAN JUAN DE LOS LAGOS NO 12 INT B, COL. VALLARTA PONIENTE, GUADALAJARA, JALISCO, 44110","523311665353","https://www.easytrade.com.mx/","https://www.freightnet.com/profile/182360.htm","Yes"
"G&H AGENTE DE CARGA INTERNACIONAL SA DE CV","BRION 33D , MEXICO, ESTADO DE MEXICO, 55743","5576012144","http://www.ghinternacional.com.mx/","https://www.freightnet.com/profile/242777.htm","Yes"
"Logística internacional del centro","cll venecia 125 interior c , las mercedes, san luis potosi, San Luis Potosí, 78394","","","https://www.freightnet.com/profile/183181.htm","No"
"AIMI EXPRESS","CARR MEX TOL KM 45.5 , OCOYOACAC, MEXICO, 52740","","","https://www.freightnet.com/profile/248762.htm","No"
"ALPHA EXPRESS","JOSE ALVARADO 1797,, MONTERREY, NUEVO LEON, 64820","","","https://www.freightnet.com/profile/133317.htm","No"
"UNIVERSAL LOGISTIC TRADING S. DE R.L. DE C.V.","Avenida Nicolas Paxtian , Sihuapan, San Andrés Tuxtla, Veracruz, 95813","","","https://www.freightnet.com/profile/173821.htm","No"
"TRANSPORTE LOGISTICA Y JURIDICO SZMM","Mariano Abasolo SN , San Ándres Tuxtla, Comoapan, Veracruz, 95805","","","https://www.freightnet.com/profile/243747.htm","No"
"MOVE AND LOAD LOGISTICS MEXICO","Privada de los industriales 111 - 302 , Querétaro, Querétaro, 76100","","","https://www.freightnet.com/profile/255725.htm","No"
"VHG LOGISTICS","TOMAS DE ZIGARRAN NO 3619 , COL. JARDINES DE SAN FRANCISCO, CHIHUAHUA, CHIHUAHUA, MÉXICO, MEXICO CITY, 31115","","","https://www.freightnet.com/profile/23848.htm","No"
"Mexim Forwarding","AV. EULOGIO PARRA 2807, COL. PRADOS PROVIDENCIA , GUADALAJARA, JALISCO, 44670","","","https://www.freightnet.com/profile/243226.htm","No"
"RAMF LOGISTICS","AV. INSURGENTES SUR 953 , NAPOLES, MEXICO CITY, MEXICO, 03810","","","https://www.freightnet.com/profile/263192.htm","No"
"SENNI LOGISTICS","ANDALUCIA 54 -103 , ALAMOS, MEXICO CITY, MEXICO, 03400","","","https://www.freightnet.com/profile/263199.htm","No"
"ONUS - Logistics Transportation","Burdeos 141, Valle Dorado , Tlalnepantla, Estado de Mexico, 54020","","","https://www.freightnet.com/profile/14452.htm","No"
"Savino Del Bene","AV INSURGENTES SUR 800, P 15 , Ciudad de México, Ciudad de México, 03100","","","https://www.freightnet.com/profile/262189.htm","No"
"MSK FORWARDERS","Autopista México Cuautitlan KM 31.5 Bodega 34 , Loma Bonita, Cuautitlan, Estado de México, 54879","","","https://www.freightnet.com/profile/94977.htm","No"
"TRANS MEXICO GLOBAL MOVERS","NTE. 188 # 659-A  , CIUDAD DE MÉXICO, CIUDAD DE MÉXICO, 15510","","","https://www.freightnet.com/profile/248530.htm","No"
"DJ Logistics","NICOLAS LEON 127 , JARDIN BALBUENA, VENUSTIANO CARRANZA, CIUDAD DE MÉXICO, 15900","","","https://www.freightnet.com/profile/235236.htm","No"
"AMERICA LOGISTIC GROUP SA DE CV","ASISTENCIA PUBLICA N 552 3ER PISO , COLONIA FEDERAL, CD MEXICO, CD MEXICO, 15700","","","https://www.freightnet.com/profile/162844.htm","No"
"A Global Cargo Vanguard","Elba # 1054 , Guadalajara, Jalisco, 44620","","","https://www.freightnet.com/profile/18537.htm","No"
"CLIPPER SOLUTIONS SA DE CV","MANZANARES 2071 COL JARDINES DEL COUNTRY , GUADALAJARA, JALISCO, 44210","","","https://www.freightnet.com/profile/224976.htm","No"
"MAKE IT MEX MAKE IT BIG","BLVD PUERTA DE HIERRO 5153 , ZAPOPAN / GUADALAJARA (GDL), JALISCO, 45116","","","https://www.freightnet.com/profile/231180.htm","No"
"C8 Global Logistics","Julio F Rebolledo #63 , Veracruz, Veracruz, 91919","","","https://www.freightnet.com/profile/145888.htm","No"
"ASVA LOGISTICS  MEXICO S.A. DE C.V.","EMILIANO ZAPATA 11 INT 104B , COL. PEÑON DE LOS BAÑOS, MEXICO CITY, MEXICO, 15520","","","https://www.freightnet.com/profile/113792.htm","No"
"MC LOGISTIC & DISTRIBUTION","GUADALAJARA , GUADALAJARA, Jalisco, 45000","","","https://www.freightnet.com/profile/116909.htm","No"
"Onebox Express","Privada 20 de Noviembre 861 , Col Obispado, Monterrey, Nuevo Leon, 64060","","","https://www.freightnet.com/profile/252816.htm","No"
"ISAMAR SHIPPING","Av moliere 330 , Piso 1, Mexico, México, 11530","","","https://www.freightnet.com/profile/249526.htm","No"
"VIANORTE LOGISTICS & FREIGHT","Calle Dos, Numero 69 , Col. Lomas de los Angeles de Tetelpan, Distrito Federal, MEXICO CITY, 01790","","","https://www.freightnet.com/profile/129645.htm","No"
"Agencia Aduanal Cervera SA de CV","Calle 21 No. 311  , Col. Manuel C. Rejon, Merida / Cancún, Yucatán / Quintana Roo, 97255","","","https://www.freightnet.com/profile/10770.htm","No"
"Grecargo","Irapuato 188, Col Peñon de los baños , CP15520, Ciudad de Mexico, Mexico, Mexico, 15520","","","https://www.freightnet.com/profile/152598.htm","No"
"MAGAMI LOGISITCS","trafico@magamilogistics.com , CIUDAD DE MEXICO, CIUDAD DE MEXICO, 14200","","","https://www.freightnet.com/profile/225728.htm","No"
"DEVELOPMENT LOGISTIC 5PL SA DE CV","MONTECITO  NUM 38  PISO 28 OFICINA 16 , COL NAPOLES , BENITO JUAREZ  CP 03810, CD MEXICO, Distrito Federal, CP 03810","","","https://www.freightnet.com/profile/249335.htm","No"
"Access Global Forwarding S.A de C.V.","Av. Juan Escutia #35 , Mexico City, Mexico, 06140","","","https://www.freightnet.com/profile/114133.htm","No"
"Drago Logistics Group","Global headquarters: Torre Luxus Altabrisa , Calle 20, #235, Piso 6, Mérida, Yucatan, México, 97130","","","https://www.freightnet.com/profile/169298.htm","No"
"YAZORTIZ LOGISTICA INTERNACIONAL SA S DE CV","RFC YLI200525SP0.  , CALLE 49 NO. 874. LAS AMERICAS II, MERIDA, YUCATAN,","","","https://www.freightnet.com/profile/198518.htm","No"
