"name","address","phone","website","profileUrl","isPremiumMember"
"Cargo-Master SRL","Str. Banulescu-Bodoni 45 , Chisinau, Kishinev, MD2012","","","https://www.freightnet.com/profile/20633.htm","No"
"KARAVAN INTER TRANS SRL","str. Sarmizegetusa 92 , Chisinau, Republica Moldova, MD-2032","","","https://www.freightnet.com/profile/257421.htm","No"
"Simplextrans S.R.L.","Albisoara 80/6, of. 104 , Chisinau, Moldova, MD2005","","","https://www.freightnet.com/profile/141494.htm","No"
"Esenpi Logistics SRL","11/6 Mircea cel Batrin Bulevard,, Chisinau, Moldova, MD - 2044","","","https://www.freightnet.com/profile/230522.htm","No"
"EXPRESCONTAINER","Alexandru cel bun 103A , Chisinau, Chișinău, Republica Moldova, Chisinau, MD-2024","","","https://www.freightnet.com/profile/207926.htm","No"
"Paradigm Group SRL","Kogalniceanu 58, of.7 , Chisinau, R. Moldova, MD2009","","","https://www.freightnet.com/profile/136043.htm","No"
"EXPRESCONTAINER","Str. Alexandru cel Bun 103/A , Chisinau, Republic of Moldova, MD2022","","","https://www.freightnet.com/profile/208621.htm","No"
"AAA Solutions SRL","Blvd. Stefan cel Mare si Sfant bd. 6 , Chisinau, Moldova, 2001","","","https://www.freightnet.com/profile/154755.htm","No"
"GZBEXIM SRL","14/2 Varnita street , Chisinau, Moldova, MD2011","","","https://www.freightnet.com/profile/149674.htm","No"
"TRANSLOGIST SISTEM","Bd. Grigore Vieru  22/8, of. 66 , Kishinev, Republic of Moldova, MD-2005","","","https://www.freightnet.com/profile/142250.htm","No"
"Moldcontainer Co","6, Moscovei av. , Chisinau, Republic of Moldova, MD-2068","","","https://www.freightnet.com/profile/131452.htm","No"
"Moldcontainer Ltd","Str.M.Costin, 7,  Office 511 , Kishinev, Moldova, 2068","","","https://www.freightnet.com/profile/2825.htm","No"
"Limex-Service","15 Sverdlova str., app.21 a , Tiraspol, Moldova, 3300","","","https://www.freightnet.com/profile/117087.htm","No"
"Trans Onix SRL","Asachi 11/1-78 , Chisinau, Moldova, MD2009","","","https://www.freightnet.com/profile/91453.htm","No"
"Politrans Logist","Uzinelor 90A , Chisinau, Moldova, 2036","","","https://www.freightnet.com/profile/855.htm","No"
"Lagranta S.r.l.","92 Sarmisegetuza str. , Chisinau, Moldova, MD 2072","","","https://www.freightnet.com/profile/86374.htm","No"
"Maritimtrans","Petricani, 84 , Chisinau, Moldova, 2048","","","https://www.freightnet.com/profile/56847.htm","No"
"Alevgor Grup LLC","60/1-55 Gh. Asachi Street , Chisinau, CHISINAU, MD-2028","","","https://www.freightnet.com/profile/22210.htm","No"
"AIRTRANSTUR SRL","CHISINAU AIRPORT , CHISINAU, MOLDOVA, 2026","","","https://www.freightnet.com/profile/51419.htm","No"
"Iumbo-Trans L.T.D.","Calea Iesilor 17 , Chisinau, Moldova,","","","https://www.freightnet.com/profile/4746.htm","No"
"Translogistic Ltd","Off.5, Traian Str. 15 , Chisinau, Chisinau, MD-2060","","","https://www.freightnet.com/profile/5321.htm","No"
"Megatrans S.R.L.","Str. Alba Iulia, 75 , Office 1006, Chisinau,","","","https://www.freightnet.com/profile/6051.htm","No"
"Pro-Logistic s.r.l.","bd. Dacia 80/7 , Chisinau, Md-2026","","","https://www.freightnet.com/profile/12632.htm","No"
"JV «Expedit-Euro-Trans» Ltd","72 Columna str , Chisinau, 2012","","","https://www.freightnet.com/profile/16067.htm","No"
"S.C. Simplextrans Ltd","Albisoara 80/6, of. 104 , Chisinau, 2005","","","https://www.freightnet.com/profile/17574.htm","No"
"Alex-Trans-Logic","Mesterul Manole 9 of 5 , Chisinau, 2012","","","https://www.freightnet.com/profile/21990.htm","No"
