"name","address","phone","website","profileUrl","isPremiumMember"
"Uni cargo Frieght Forward LLC","Mongolia Ulaanbaatar city , Sukhbaatar disctrict 9rd khoroo, Murun center 308, Ulaanbaatar, 14182","","","https://www.freightnet.com/profile/266162.htm","No"
"MonEx - Mongolian Express Co., Ltd.","6/F., Vista Office Bldg., Chinggis Ave. 17 , Ulaanbaatar, Sukhbaatar District, 210628 / 14251","","","https://www.freightnet.com/profile/1512.htm","No"
"Grand Logistics","Narnii zam , Ulaanbaatar, Mongolia, 976","","","https://www.freightnet.com/profile/182273.htm","No"
"Best Shipping LLC","#72, Building 24, Oyutny street , 8th khoroo, Sukhbaatar District, Ulaanbaatar, Mongolia, 14191","","","https://www.freightnet.com/profile/252453.htm","No"
"Uni Cargo Terminal LLC","Khanuul district , 3-rd koroo, Ulaanbaatar, Mongolia, 17042","","","https://www.freightnet.com/profile/241142.htm","No"
"BRIGHT LOGISTICS LLC","Bayangol district, WW office center, 8-802, Ulaanbaatar,Mongolia , WW center, Bayangol district, 11000","","","https://www.freightnet.com/profile/169947.htm","No"
"United Shipping","TV5 Office, #6TH Floor, Chinggis Ave, 2nd Khoroo, Khan- Uul District, Ulaanbaatar, Mongolia , Ulaanbaatar, Khan-Uul, 17042-0014","","","https://www.freightnet.com/profile/240379.htm","No"
"Shandasgovi LLC","LS Plaza, 603, Khan-Uul district, Ulaanbaatar, Mongolia , Bogd Javzandambu, Khan-Uul district, 976","","","https://www.freightnet.com/profile/159058.htm","No"
"Interdecision LLC","street Sonsgolon road, Wester Industrial zone , Bayangol district, Ulaanbaatar, Ulaanbaatar, 16102","","","https://www.freightnet.com/profile/216171.htm","No"
"Erin International Co.,LTD","Erin International office, 20th khoroo, Bayangol district, Peace Avenue, Ulaanbaatar, Mongolia , Ulaanbaatar, Ulaanbaatar, 976","","","https://www.freightnet.com/profile/152789.htm","No"
"Mongoltrans LLC","Songinokhairkhan Distruct, 20 th khoroo,Tolgoit Tovchoonii zam-63 Ulaanbaatar,Mongolia 18103                                                                                                                                                               , Ulaanbaatar city, Mongolia, 976-11 18103","","","https://www.freightnet.com/profile/235244.htm","No"
"Prime Logistics LLC","No.39 Jinchin.mn Building , 14th khoroo, Ulaanbaatar, Mongolia, 14191","","","https://www.freightnet.com/profile/231632.htm","No"
"Khanjintrans","20th khoroo, chingis avenue, gutal lc building 2nd floor , khanuul, ulaanbaatar, 17042-0186","","","https://www.freightnet.com/profile/218924.htm","No"
"IDL","Bayangol district , 20th khoroo, Ulaanbaatar, Ulaanbaatar, 16102","","","https://www.freightnet.com/profile/153885.htm","No"
"ILINX EXPRESS","Grand Plaza Complex 1101 2nd khoroo, Bayangol District Ulaanbaatar-142508, Mongolia P.O.Box-94/44 , ulaanbaatar, Mongolia, 94-44","","","https://www.freightnet.com/profile/160080.htm","No"
"IDL LLC","ulaanbaatar Bayangol district 20-r khoroo Vildveriin baruun bvs /16102/ Sonsgolon zam gudamj 15-1 , ulaanbaatar Bayangol district 20-r khoroo Vildveriin baruun bvs /16102/ Sonsgolon zam gudamj 15-1, Ulaanbaatar, Mongolia, 16102","","","https://www.freightnet.com/profile/191128.htm","No"
"World Nomads","18th khoroo , Bayangol district, Ulaanbaatar, 17070","","","https://www.freightnet.com/profile/189014.htm","No"
"Ikh Zam Trans LLC","1204, Yalalt Plaza Office , Chingeltei District, Ulaanbaatar, Mongolia, 16025","","","https://www.freightnet.com/profile/180423.htm","No"
"Monjapstar","TAF Building 3-301 , Ulaanbaatar, Mongolia, 976","","","https://www.freightnet.com/profile/180381.htm","No"
"Cargolink LLC","Mahatma Gandhi street. 204-101 , Khan Uul district, 15th khoroo, Ulaanbaatar, Ulaanbaatar, 17011","","","https://www.freightnet.com/profile/146857.htm","No"
"Simatai Global Solutions","Galaxy Tower, Khan Uul District , Ulaanbaatar, Mongolia, 11000","","","https://www.freightnet.com/profile/174167.htm","No"
"Omni Shipping LLC","Rokmon building office center, #903, Constitution street – 24, Bayangol District, Ulaanbaatar, Mongolia, 16050","","","https://www.freightnet.com/profile/175027.htm","No"
"Omni Shipping","#1304, Kyokushu Tower, Khoroo 6, Peace Avenue, Bayangol District , Ulaanbaatar, Mongolia, 976","","","https://www.freightnet.com/profile/161364.htm","No"
"DUG logistic","Ulanbator-13301 , Baynzurkh distric, 12th khoroo, Ulanbator, Mongolia, 25-612","","","https://www.freightnet.com/profile/160211.htm","No"
"interdecision","Bayangol district, 20th khoroo, Ulaanbaatar, Mongolia , Ulaanbaatar, Tov, 976","","","https://www.freightnet.com/profile/135534.htm","No"
"Munkh Anu Trans LLC","Bayangol distric, 2 khoroo , mongol tulkhuur bair 4/426 , Ulaanbaatar, Mongolia, 16080","","","https://www.freightnet.com/profile/154662.htm","No"
"Mongolia","Narnii zam-13, Sukhbaatar Duureg,  Ulaanbaatar 14251-0018, Mongolia , Ulaanbaatar, Mongolia, 14251-0018","","","https://www.freightnet.com/profile/152695.htm","No"
"BATJIKH KHISHIG Co.,ltd","504 kyokushu tower bayangol distrigt Ulaanbaatar Mongolia , www.khishig.mn, Ulaanbaatar, Mongolia, 00976","","","https://www.freightnet.com/profile/118240.htm","No"
"Monlogistics Worldwide LLC","#404 Zaisan Square Center, 11th Khoroo Dunjingarav 14,  Khan-uul District Ulaanbaatar Mongolia , Ulaanbaatar, Mongolia, 976","","","https://www.freightnet.com/profile/111982.htm","No"
"Translog",": Engels street, 3rd building, Khoroo-3   ,  Chinggis avenue 13, ulaanbaatar, Mongolia, 11000","","","https://www.freightnet.com/profile/137383.htm","No"
"hybrid logistics","Etugen tower #1503,  Baga toiruu 44, Sukhbaatar District Ulaanbaatar, Mongolia , Etugen tower #1503,  Baga toiruu 44, Sukhbaatar District Ulaanbaatar, Mongolia, Ulaanbaatar, Mongolia, 976","","","https://www.freightnet.com/profile/135134.htm","No"
"Skytrans international freight  forwarder","Mongolia , Sukhbaatar, Ulaanbaatar, 97611012","","","https://www.freightnet.com/profile/116700.htm","No"
"MONGOLTRANS","Songinokhairkhan District , Tolgoit Tovchoonii Zam-63, Ulaanbaatar, Mongolia, 18103","","","https://www.freightnet.com/profile/139443.htm","No"
"BFC LOGISTICS CO.,Ltd","odod building 45/3, 5th floor #503, Seoul street 16051,2th khoroo,Bayangol district,Ulaanbaatar , UB, Bayangol district, +976","","","https://www.freightnet.com/profile/138543.htm","No"
"SBLogistic","4th floor, Jiguur Grand office center,  Narny zam-18, 2nd county,  Sukhbaatar district Ulaanbaatar  14251 P.O.Box -25, Ulaanbaatar, Mongolia , Ulaanbaatar, Mongolia, +976","","","https://www.freightnet.com/profile/129922.htm","No"
"UB TRANS LLC","BGD, 1st khoroo, Varite business center , Ulaanbaatar, Ulaanbaatar, 976-11","","","https://www.freightnet.com/profile/132430.htm","No"
"ASHLEYTRANS Co., ltd","Jasrain Str.28/1 , 4-khoroo, Naranbulag Town, Ulaanbaatar, Mongolia, POB.381","","","https://www.freightnet.com/profile/118457.htm","No"
"Monlogistics Worldwide LLC","#1307, Grand Plaza Centre , Ulaanbaatar, Mongolia, 210535","","","https://www.freightnet.com/profile/127281.htm","No"
"Anodjin LLC","603, UB Platinum building, IV khoroo,            Bayangol District, Ulaanbaatar, Mongolia , Ulaanbaatar, Mongolia, 976","","","https://www.freightnet.com/profile/127118.htm","No"
"manbu","Room # 1003, Grand Plaza Office Centre, Peace Avenue, Bayangol District, Ulaanbaatar, Mongolia, Mongolian all commercial border, Ulaanbaatar, Mongolia, 976-70110818","","","https://www.freightnet.com/profile/116167.htm","No"
"Batjikh khishig LLC","504 Kyokushu tower Bayangol district Ulaanbaatar, Mongolia www.khishig.mn , Peace Avenue, Mongolia, 976","","","https://www.freightnet.com/profile/118767.htm","No"
"Continental Logistic LLC","Room 303, Jon-Bees building, Bayangol district, Ulaanbaatar, MONGOLIA, 976","","","https://www.freightnet.com/profile/119080.htm","No"
"First International Logistics LLC","#807, 8th floor, Peace tower, 3rd sub-district, Chingeltei , Ulaanbaatar, Mongolia, 14200","","","https://www.freightnet.com/profile/114226.htm","No"
"Landbridge LLC","Nippon Center bldg, Bayangol district 4-r khoroo, Narnii Zam Street 461-1 Ulaanbaatar, Mongolia , UB, Ulaanbaatar, 976","","","https://www.freightnet.com/profile/85436.htm","No"
"Jurmak LLC","Bayangol district . Sunroad , 4th khoroo . 29/1, Ulaanbaatar, Mongolia, 976","","","https://www.freightnet.com/profile/102145.htm","No"
"JINSIIN OROI","402# gazar business center , 4-rd floor, Ulaanbaatar, Mongolia, 210136","","","https://www.freightnet.com/profile/86158.htm","No"
"Monlogistics Worldwide LLC","Room # 1307, Grand Plaza Office Center, Peace Avenue, Bayangol District Ulaanbaatar, Mongolia , Ulaanbaatar, Mongolia, 976","","","https://www.freightnet.com/profile/91425.htm","No"
