"name","address","phone","website","profileUrl","isPremiumMember"
"INFINITY LOGISTICS SERVICES","26, avenue Mers Sultan, Casablanca, Morocco, 20130","+212522100954","https://ilservices.ma/","https://www.freightnet.com/profile/227957.htm","Yes"
"TESLA SHIPPING","96 pierre parrent floor 04,office 34, mly youssef 56 2eme etage, CASABLANCA, morocco, 80000","0661648171","https://www.teslashipping.ma/","https://www.freightnet.com/profile/225213.htm","Yes"
"DAS LOGISTICS","38, Rue Abdelkrim Diouri, Derb Omar, Casablanca, Morocco, 20080","+212 522 540 800","http://www.das-logistics.com/","https://www.freightnet.com/profile/103166.htm","Yes"
"SWIFT CARGO MAROC","Angle Ibn Tachefine, Immeuble Fatima Zahra 7 App 10, CASABLANCA, MOROCCO, 20150","+212522 605 260","http://www.swiftcargomaroc.com/","https://www.freightnet.com/profile/83227.htm","Yes"
"SHINE LINE INT SHIPPING MOROCCO","119 BD BIR ANZARANE  RES RAMZI B, APT1, CASABLANCA, MOROCCO, 20330","+212661217614","http://www.shineline-int.com/","https://www.freightnet.com/profile/197189.htm","Yes"
"SNTC","Rue Hubert Giraud, Imm. Salam, 2°Étage , Agadir, Souss Massa, 80000","","","https://www.freightnet.com/profile/250373.htm","No"
"FC WORLD","174 BD ZERKTOUNI , CASABLANCA, CASABLANCA/Morocco, 20050","","","https://www.freightnet.com/profile/234099.htm","No"
"TRANSFARO","119 bd bir anzarane rez ramzi 'B' appt N°1 20330 Maarif, Casablanca , CASABLANCA, MOROCCO, 20330","","","https://www.freightnet.com/profile/161423.htm","No"
"EASIMAR","PARC D'ACTIVITES OUKACHA 2 - BÂTC10 - BD MLY SLIMANE - AIN SEBAA , CASABLANCA, MOROCCO, 20300","","","https://www.freightnet.com/profile/262684.htm","No"
"TRANSTAR","398 Bd Mohamed V , 2 éme étage N°4, Casablanca, MAROC, 20310","","","https://www.freightnet.com/profile/224074.htm","No"
"LOGISTICA","10 AVENUE 2 MARS, ETAGE: 5, N 28 , Casablanca, Morocco, 20360","","","https://www.freightnet.com/profile/262436.htm","No"
"ZL CARGO MAROC","357 Bd Med V, 3éme étage N°5,Espace A6 Casablanca – Maroc , Casablanca, Casablanca-Settat, 20250","","","https://www.freightnet.com/profile/262204.htm","No"
"SMARTSHIP WAYS","27, Bd Abdellah Ibnou Yassine  2ème Etage Bureau N°28 Belvédère , Casablanca, Morocco, 20200","","","https://www.freightnet.com/profile/161648.htm","No"
"C.D International Transport & Logistics","13, Rue Bapaume, 5ème étage, Bureau 18, Casablanca, Morocco  wimanemaroc@gmail.com , Casablanca, Morocco, 20200","","","https://www.freightnet.com/profile/260764.htm","No"
"GREENFIELD LOGISTICS","J1OFFICE , BD MY ISMAIL, CASABLANCA, MOROCCO, 20950","","","https://www.freightnet.com/profile/250626.htm","No"
"TRANS YASSINE","42 BD EMILE ZOLA 2éme étage , 42 BD EMILE ZOLA 2EME ETAGE N°7, CASABLANCA, MOROCCO, 20310","","","https://www.freightnet.com/profile/242277.htm","No"
"MenaraShip Co.","37 RUE AIT BAAMRANE  , 3 etage N°79, Casablanca, Anfa, 20310","","","https://www.freightnet.com/profile/55397.htm","No"
"Trans Yassine","42 bd Emile Zola , 2eme étage bureau7, Casablanca, Morocco, 20310","","","https://www.freightnet.com/profile/250493.htm","No"
"Africa business Freight","40 RUE RES KAWTAR , CASABLANCA, Morocco, 22000","","","https://www.freightnet.com/profile/224304.htm","No"
"FRESH WAYS","AV LALLA YACOUT ANGLE MUSTAPHA , N°69 ETG 2, Casablanca, Casablanca, 20140","","","https://www.freightnet.com/profile/173826.htm","No"
"Khetib logistique","Av haroun errachid rue 56 n 14 Tanger , Tanger, Morocco, 90000","","","https://www.freightnet.com/profile/247100.htm","No"
"TNG LOG TRANS","CPX AL HASSANI 3 AL HOUDA  3 N 33 GZENAYA TANGER , TANGER, MOROCCO, 90000","","","https://www.freightnet.com/profile/251679.htm","No"
"Az trans","39 rue sijilmassa belvedere Casablanca  , Casablanca, Morocco, 20300","","","https://www.freightnet.com/profile/184182.htm","No"
"TRANS-MONDIAL SAYAGH","12 Rue Sabri  Boujemaa ETG1 APT6 Casablanca , CASABLANCA MAROC, maroc, 20110","","","https://www.freightnet.com/profile/249201.htm","No"
"SWIFT CARGO MAROC","Avenue Ibn Tachefine, Lot Fatima Zahra 7, Etg4, App10 Casablanca Morocco , Casablanca, Morocco, 20000","","","https://www.freightnet.com/profile/242981.htm","No"
"OPEN LOGISTICS","BD IBN TACHFINE, RESIDENCE AL FIRDAOUS , 5EME ETAGE N°14 & 15, CASABLANCA, MOROCCO, 20310","","","https://www.freightnet.com/profile/96359.htm","No"
