"name","address","phone","website","profileUrl","isPremiumMember"
"Southern eagles logistics SA","Ave. Romao  Fernande Farinha No. 75, 2nd, Maputo, MOZAMBIQUE, MPT","00258877677746","http://www.southerneagles.co/alphashipping.co.za","https://www.freightnet.com/profile/172232.htm","Yes"
"Cargonet Logistics Services Lda.","Av. Vladimir Lenine, nº 325857, Road Nr. 3253, Otia Office Center, 3rd Floor, Maputo, Mozambique, 1100","+258846248689","http://www.cargonet.co.mz/","https://www.freightnet.com/profile/262441.htm","Yes"
"Low Price Solutions Lda","Avenida Consiglieri Pedroso 54, Maputo, Maputo, 1100","00258 847919554","","https://www.freightnet.com/profile/229778.htm","Yes"
"ESC LOGISTICA LDA","Rua Dr. Egas Moniz, n.41 Bairro da Sommerchield , Maputo, Mozambique, 0000","","","https://www.freightnet.com/profile/249836.htm","No"
"RP Business - Logistics, Freight & Custom Broker","Rua de Kassuende Nr 22, 1º, porta 3 , Maputo, Maputo, 1100","","","https://www.freightnet.com/profile/181881.htm","No"
"Blue Ocean Shipping Company Lda","Av. Samora Machel, Matola C, Rua 1215, Office Nr. 7 , Matola, Mozambique, 1115","","","https://www.freightnet.com/profile/250211.htm","No"
"Row despachos + Logistica","Av. Namaacha, Nº492 , Ressano Garcia Border, Maputo, Maputo, 1100","","","https://www.freightnet.com/profile/151474.htm","No"
"SEALAND LOGISTICS LDA","RUA KRUSS GOMES  , BEIRA, MOZAMBIQUE, MZ","","","https://www.freightnet.com/profile/157143.htm","No"
"Semente Continental Ltd","Porto de Pesca- Largo dos CFM, porta no C1-Beira Mozambique , Beira, Mozambique, 00000","","","https://www.freightnet.com/profile/260950.htm","No"
"Link africa freight logistics","Harare , Harare, Zimbabwe, 00000","","","https://www.freightnet.com/profile/260456.htm","No"
"Cydac Shipping & Logistics, Lda","Av. 24 de Julho, 2096 , Predio Progresso, 8 andar Porta 805, Maputo, Mozambique, 0000","","","https://www.freightnet.com/profile/246002.htm","No"
"Payflex Trading Lda","Rua Romao Fernandes  Farinha No: 75A 1ST Floor, Suite Nr. 8. Alto Mae B, Maputo  , Maputo, Maputo, 1100","","","https://www.freightnet.com/profile/197091.htm","No"
"Transcom Sharaf Logistica Lda","Estarda Nacional No. 6 , Manga Velha, Beira, Mozambique, 11222","","","https://www.freightnet.com/profile/121122.htm","No"
"New World Logistics Lda","52 Cnr Marques da Costa Praca do Municipio 2 Andar Porta 19 , Beira, Mozambique, 189","","","https://www.freightnet.com/profile/145693.htm","No"
"Africa Freight Group","Rua Abreu de Lima Number 29, Maputo , Maputo, Maputo, +258","","","https://www.freightnet.com/profile/212704.htm","No"
"Fenix Cargo Lda","Ave. 24 de Julho , Maputo, Mozambique, 0100","","","https://www.freightnet.com/profile/210052.htm","No"
"UbeMoz Logistic and Transport, lda","Romao Fernandes Farinha, Nr. 75, 2nd floor, Maputo city , Maputo, MAPUTO CIDADE, 1100","","","https://www.freightnet.com/profile/189487.htm","No"
"BULMOZ,LDA","Av. Guerra Popular - Maputo , Bairro de Cimento - Pemba, Maputo, Mozambique, 1434","","","https://www.freightnet.com/profile/166422.htm","No"
"Interlog lda","Marracuene- Rua da Handling- Paragem cemitério S/N , Marracuane- Maputo N1 desvio da Handling- Agostinho neto SN, Maputo, Mozambique, 1149","","","https://www.freightnet.com/profile/204738.htm","No"
"Outreach Logistics International Freight Services, Lda","Rua Luís Inácio  , No 175, Beira, Mozambique, 2100","","","https://www.freightnet.com/profile/198515.htm","No"
"SACE Lda","Estrada do aeroporto - Manga - Beira , Rua 21-Nhaconjo (Manga)-Mozambique, Beira, Mozambique, 000000","","","https://www.freightnet.com/profile/181595.htm","No"
"MZ Express S.A.","Angola Av, No. 1991/2013, Bairro do Aeroporto , Maputo-Mozambique, Maputo, Maputo, 258","","","https://www.freightnet.com/profile/195464.htm","No"
"MULALENE LOGISTICS","Av.25 de Setembro N1509 , 2 Andar , Apart 6 , 18 Pony Street Tijger Vallei Office Park, Maputo, Maputo, 888","","","https://www.freightnet.com/profile/195123.htm","No"
"AJAH LOGISTICS LTD","The Mirage Plaza,       Belle Vue Area, Mombasa road. , Mombasa, Mombasa road., 1100","","","https://www.freightnet.com/profile/184185.htm","No"
"Universo Carga & Logistica lda","EN1, Bairro Cumbeza  , Maputo, Maputo, 00258","","","https://www.freightnet.com/profile/183305.htm","No"
"AMI Worldwide","PO Box: 32194 , Dubai, UAE, Dubai, Dubai, 32194","","","https://www.freightnet.com/profile/147922.htm","No"
