"name","address","phone","website","profileUrl","isPremiumMember"
"RADIUS MYANMAR SERVICES CO.,LTD.","388,1st Floor,Strand Road & Corner of Latha Street (Lower Block), Latha Township, Yangon, 11131","(+95) 9253000059","http://www.radiusmyanmar.com/","https://www.freightnet.com/profile/139209.htm","Yes"
"West East Freight Forwarding Co.,Ltd","No.6, Shinsawpu Pagoda Street , Sanchaung, Myanmar, 11111","","","https://www.freightnet.com/profile/177662.htm","No"
"Your Excellency Service Co.,Ltd","No. 170/176, (MGW Center), 5th Floor, Room (502), Bo Aung Kyaw Road , Botataung Township, Yangon, State, +959","","","https://www.freightnet.com/profile/261467.htm","No"
"GLORY STAR MYANMAR  COMPANY LIMITED","No.286,36 Street, Kyauktada Township, Yangon,Myanmar , Kyauktada Township, Myanmar, 11182","","","https://www.freightnet.com/profile/240031.htm","No"
"Reliance Myanmar Logistics Co.,Ltd","No.94(A),4th Floor,Shwe Pyi Thar Street,Tharkayta Township , No.94(A),4th Floor,Shwe Pyi Thar Street,Tharkayta Township, Yangon, Yangon,Myanmar, 11231","","","https://www.freightnet.com/profile/171846.htm","No"
"Success Partners Co., Ltd.","No. 686, Room No.302, Kamahtan Street, Myittarnyunt Tsp, Tamwe Tsp , Yangon, Myanmar, 11091","","","https://www.freightnet.com/profile/186829.htm","No"
"ZNT TRANSPORTATION & LOGISTIC","Thakata, Yangon , Yangon, Myanmar, 11231","","","https://www.freightnet.com/profile/238032.htm","No"
"M5 International Co,.Ltd","No,14, Hman Yawai Street,, Bahan nn,Yangon, Yangon, 11201","","","https://www.freightnet.com/profile/236249.htm","No"
"Famous Freight Liner Logistics Co.,Ltd","527#02,Merchant Road,Kyauktada Tsp,Yangon  , KYAUKTADA, YANGON,MYANAMR, +95","","","https://www.freightnet.com/profile/156980.htm","No"
"Missouri Logistics Co., Ltd.","No. 172, 5th Floor, Botahtaung Pagoda Road, Yangon, Myanmar, 11211","","","https://www.freightnet.com/profile/233149.htm","No"
"Fast Forward Shipping & Logistics Service Co.,Ltd","Rm. C-6, No.646, Hlaing Sabei Condo, Insein Road, Hlaing Township, Yangon, Myanmar. , Yangon, Yangon/Myanmar, 11051","","","https://www.freightnet.com/profile/143183.htm","No"
"Aung Trading Co.,ltd.","No.80,6 floor,alone township,Yangon. , Yangon., Myanmar, 11121","","","https://www.freightnet.com/profile/228339.htm","No"
"Uprising Shipping Services & Logistics Co. Ltd","No.110(A). 1st Floor. 52nd Streert. Middle Block. 1-Quater. Pazundaung Township. Yangon. Myanmar , -, Pazundaung, Yangon/ Myanmar, +00951","","","https://www.freightnet.com/profile/110640.htm","No"
"M5 INTERNATIONAL CO LTD","NO.(21/23).BOTAHTAUNG LANE 2 , BOTAHTAUNG TOWNSHIP YANGON, Yangon, 11162","","","https://www.freightnet.com/profile/193933.htm","No"
"Myanmar Elite Logistics Co.,Ltd","2B, 2Floor, EFR Building, No 941, corner of Shukhintha Myopat    Road and Myoma 11 St, North 4 Ward, Thaketa Township    Yangon Myanmar   , Yangon, Myanamr, 111311","","","https://www.freightnet.com/profile/218742.htm","No"
"Wagon Links Co., Ltd","No.100/104,2nd Floor, 48th Street, Middle Block,Botahtaung Township,Yangon,Myanmar , Botahtaung, Myanmar, 11161","","","https://www.freightnet.com/profile/208439.htm","No"
"awesome asia logisitcs and trading","224  Aung Kyaw street , yangon, yangon, 11172","","","https://www.freightnet.com/profile/135475.htm","No"
"Prolog Solutions Co Ltd","La Pyayt Wun Plaza, Unit513 , No.37 Alan Pya Pagoda Road, Dagon Township, Yangon, Myanmar, 11191","","","https://www.freightnet.com/profile/200250.htm","No"
"NFA SHIPPING & LOGISTICS CO., LTD.","NO.136, 3 (C), 2ND FLOOR, ANAWRAHTAR ROAD,, BOTAHTAUNG TOWNSHIP, YANGON, 11161","","","https://www.freightnet.com/profile/172621.htm","No"
"Black Island Logistics Co.,Ltd","No.527, 2nd Flr, 4th St, Block 3, Near Malikha Housing, Thingangyun Tsp, Yangon , Yangon, Myanmar, +95","","","https://www.freightnet.com/profile/177490.htm","No"
"Flix International Limited","No.110(G/F) Hledan Street, Lanmadaw Tsp. , No.44(A) Bo Sun Pat Street, Pabedan Tsp., Yangon, Yangon Region, Myanmar, 11131","","","https://www.freightnet.com/profile/170736.htm","No"
"VIGOROUS SHIPPING INT'L CO LTD","No.84-B, 9th Floor, Sein & Mya Condo, Pansodan Rd, Yangon, Yangon, Myanmar, 11211","","","https://www.freightnet.com/profile/159822.htm","No"
"Mahar Dawn Company Limited","No.222, 2nd  Floor, 50th Street Condo, 50th Street  (Lower Block), Botahtaung Township, Yangon, Myanmar, 11161","","","https://www.freightnet.com/profile/150046.htm","No"
"The Great Andaman Co.,ltd","TH001, Thitsar Garden Housing, Thitsar Road, Ward 8, South Okkalapa Township, Yangon, Myanmar , Yangon, Myanmar, 11091","","","https://www.freightnet.com/profile/156453.htm","No"
"UNI-LINK LOGISTICS CO., LTD","ROOM 501, 5TH FLOOR MAHABANDOOLA HOUSING COMPLEX(B), NO.62 TAWATAINTHA STREET PAZUNDAUNG TOWNSHIP, YANGON, MYANMAR, 11171","","","https://www.freightnet.com/profile/155139.htm","No"
"Gulf Agency Myanmar Limited","No.170/176 MGW Tower 02-201  , Bo Aung Kyaw Str, Yangon, Myanmar, 11161","","","https://www.freightnet.com/profile/153965.htm","No"
"Helio International Company Limited","Room No-0805 8th Floor Bo Myat Tun Tower , Corner of Maha Bandoola Road and Bo Myat Tun Road Botataung Township, Yangon, Myanmar, 951","","","https://www.freightnet.com/profile/20585.htm","No"
"HTIN THIHA SHIPPING AGENCY & LOGISTICS CO., LTD","254 Rm71 Mingalar Tower Seikkan Thar St Kyauktada Tsp, Seikkan Thar St,, Kyauktada Tsp, Yangon, Myanmar, 11182,","","","https://www.freightnet.com/profile/90298.htm","No"
"Wing Power Logistic & Freight Forwarding Co.,Ltd","Building 40, No#2,Yanshin Road  , Yankin Township, Yangon,Myanmar., 11201","","","https://www.freightnet.com/profile/136910.htm","No"
"S.T.L CO., LTD","86/100, Room 8/B , Bo Aung Kyaw Street, Botahtaung T.S, Yangon, Myanmar, 11161","","","https://www.freightnet.com/profile/147150.htm","No"
"Desti International Co.,Ltd","No.68/70,1F , 32 St,Pabedan T/S, Yangon, Myanmar, 111142","","","https://www.freightnet.com/profile/146467.htm","No"
"Premium Multi-Trans Co., Ltd","No.169,Bo Myat Htun Street , Yangon, Myanmar, 11161","","","https://www.freightnet.com/profile/144813.htm","No"
"YELLOW BRIGHT STAR CO.,LTD","BLDG 3A, ROOM B2, THAPYAE NYO STREET, SHINSAWPU WARD , SANCHAUNG TOWNSHIP, YANGON, YANGON, 11111","","","https://www.freightnet.com/profile/142408.htm","No"
"UNI-GLOBAL MYANMAR CO.,LTD","No.(52) Wut Kyaung Street,Yay Kyaw,Pazundaung Township,, Yangon, Myanmar, 47400","","","https://www.freightnet.com/profile/129021.htm","No"
"Solitaire Logistics & Services Co., Ltd","no<8/4> Kha Yae Myine Street, Supoung Ward , Thuwanna Township ,Yangon Myanmar. Myanmar , no<8/4> Kha Yae Myine Street, Supoung Ward , Thuwanna Township ,Yangon Myanmar. Myanmar, Yangon, Myanmar, 11072","","","https://www.freightnet.com/profile/133324.htm","No"
"HYPER SHINE FORWARDING CO.,LTD","NO.7, NAGAYONE PAGODA ST., 8&HALF MILE, MAYANGONE T/S., YANGON, MYANMAR , 8mile, yangon, myanmar, 11061","","","https://www.freightnet.com/profile/127329.htm","No"
"New Resources Shipping Co., Ltd","Builing 110, Room 6/A, 6th Floor, Maharbandoola Road, Pazundaung Tsp, Yangon, Myanmar , Yangon, Myanmar, 11177","","","https://www.freightnet.com/profile/106065.htm","No"
"MYANMAR BLUE OCEAN AGENCY CO., LTD.","RM(703), BLDG B, EAST POINT CONDO , PAZUNDAUNG T/S, YANGON, MYANMAR, 95","","","https://www.freightnet.com/profile/117351.htm","No"
"Myanmar Euro Pac Forwarding Co Ltd","La Pyayt Wun Plaza, Unit 803, No.37 Alan Pya Pagoda Road , Dagon Township, Yangon, 1245","","","https://www.freightnet.com/profile/16308.htm","No"
"SARS Logistics Services & Trading Co.,Ltd.","No.141/149,Room 403, Bagayar Condo, Sanchaung, Yango/Myanmar, 951","","","https://www.freightnet.com/profile/105433.htm","No"
"Desti International Co., Ltd","No.70/72, First Floor, 32nd Street, Lower Block, Pabedan T/S, Yangon, Myanmar , Yangon, Myanmar, 11143","","","https://www.freightnet.com/profile/107948.htm","No"
"First Greenhill Logistics Ltd.,","No.608,Bonsoonpat Condominium,Room No(5D),5th Floor,Merchant Road, Yangon, Myanmar. , Yangon, Myanmar, 951","","","https://www.freightnet.com/profile/102800.htm","No"
"Win Logistics","Myaitta Yeikmon Housing, Thamainbran Road, Natchung, Tamwe , Yangon, Myanmar, 11211","","","https://www.freightnet.com/profile/100668.htm","No"
"Archway exprss Logistics","No. 139 B, 40 STREET, Kyautata Town Ship, YANGON, MYANMAR. , Yangon, Myanmar , Burmar, -","","","https://www.freightnet.com/profile/98764.htm","No"
"Unity Global Transport Services Co., Ltd.","#B5/7 1st floor, Yadana St,, Thingangyun township, Yangon, Myanmar., 951","","","https://www.freightnet.com/profile/95936.htm","No"
"Ability Project Services Co., Ltd.","Building B-2 (2), Thirimingalar Yeiktha , Strand Road, Ahlone Township, Yangon, Myanmar, 000000","","","https://www.freightnet.com/profile/92426.htm","No"
"NISSHIN (MYANMAR) CO.,LTD.","ROOM NO. (502), YANGON INTERNATIONAL HOTEL, AHLONE ROAD, AHLONE TOWNSHIP, YANGON, MYANMAR. , YANGON, MYANMAR, 11121","","","https://www.freightnet.com/profile/94907.htm","No"
"Eternal Alliance Logistics Ltd.","No.439, 3rd Floor (Left), Merchant Road, Corner of 44th Street, Botataung Township, Yangon, Myanmar (Burma)., 11161","","","https://www.freightnet.com/profile/57783.htm","No"
"Prime Link Freight Management Co Ltd","No. 91/93 ,Bldg #1, Rm 205,  Pyay Road 8th  Mile junction  , Pic: Mr. Thike Zaw Pe (Managing Director), Yangon, Union Of Myanmar, 0951","","","https://www.freightnet.com/profile/10014.htm","No"
"Sedate Shipping & Logistics Co Ltd","Rm.,910 (G), 9th Floor, La Pyayt Wun Plaza , No.37, Alanpya Pagoda Road, Dagon Township, Yangon, 11191","","","https://www.freightnet.com/profile/21043.htm","No"
"Land Sea Air Services Company Limited","No - 132, 1st Floor (Right), Seik Kan Thar Street , Kyaukdata Township, Yangon,","","","https://www.freightnet.com/profile/22719.htm","No"
"Vinco Shipping","Rm. 902, 9th Fl,Ahlone Tower, Ahlone T/s.  , Yangon, Myanmar, 00951","","","https://www.freightnet.com/profile/19164.htm","No"
"Myanmar Link Shipping Agency Ltd","#404, Mgw Center, 170-176 Boaungkyaw Street , Yangon, Yangon, 11161","","","https://www.freightnet.com/profile/5278.htm","No"
"Integrated Shipping Co., Ltd.","97, Ground Floor, 50th Street, Pazundaung Township, Yangon, Myanmar. , Yangon, Myanmar,","","","https://www.freightnet.com/profile/5630.htm","No"
"Aquamarine Shipping Co., Ltd.","Rm 306, 4th Flr., 18th St.,, Latha Township, Yangon,","","","https://www.freightnet.com/profile/7607.htm","No"
"Aquamarine Shipping","No. 503, 5 th Floor, Excel Treasure Tower, Shwe Gone Dine Junction , Bahan Township, Yangon, Yangon, --","","","https://www.freightnet.com/profile/11460.htm","No"
"Secure Shipping Services Co Ltd","Room 910(H), 9th Floor, La Pyayt Wun Plaza, No. 37, Alan Pya Pagoda Road, Dagon Township , Yangon, 11191","","","https://www.freightnet.com/profile/17944.htm","No"
"Nawarat International Co Ltd","FJVCC, Room 06, 9th Floor, Bldg 422-426 , Strand Road, Botataung Township, Yangon,","","","https://www.freightnet.com/profile/18884.htm","No"
"Helio Shipping Co Ltd","No.100, Nguwar Road  , Ahlone Township, Yangon,","","","https://www.freightnet.com/profile/18886.htm","No"
"Total Network Connection Freight Svc Ltd","19/8 Yawmin Gyi Road , Dagon Township, Yangon, Myanmar, 000000","","","https://www.freightnet.com/profile/20328.htm","No"
"Starship Shipping Svc Ltd","No.608, MGW Tower, Bo Aung Kyaw Rd , Botatung Tsp, Yangon,","","","https://www.freightnet.com/profile/21908.htm","No"
"Ever Flow River Forwarding & General Services Co Ltd","Top Floor, MPA-Allied Yangon, Inland Container Depot , Botataung Zay Street, Seikkan Township, Yangon,","","","https://www.freightnet.com/profile/22790.htm","No"
"Myanmar Container Line Co Ltd","91/93, Bldg No.1, Rm 205,  Pyay Road 8th Mile junction , Yangon,","","","https://www.freightnet.com/profile/24190.htm","No"
"HTH Shipping Services","254 Rm71 Mingalar Tower Seikkan Thar St Kyauktada Tsp , Seikkan Thar St, Kyauktada Tsp, Yangon, Myanmar, 11182","","","https://www.freightnet.com/profile/26556.htm","No"
"M.D.C Co., Ltd.","#B 2-6 Malika Garden Housing, Yadanar Road, Thingangyum, Yangon, Yangon","","","https://www.freightnet.com/profile/58236.htm","No"
"Unstoppable Logistics & Trading Co.,Ltd","No.36,Room No.A1&B1,Alanpya Pagoda Road,Mingalar Taungnyunt Township,Yangon,Myanmar , No.36,Room No.A1&B1,Alanpya Pagoda Road,Mingalar Taungnyunt Township,Yangon,Myanmar, Yangon, Yangon, 123","","","https://www.freightnet.com/profile/112839.htm","No"
"Dawn Shipping (Myanmar) Co.,Ltd","Room (404), No. 244, Pansodan Road , Kyauktada Township, Yangon, Yangon, 951","","","https://www.freightnet.com/profile/129263.htm","No"
