"name","address","phone","website","profileUrl","isPremiumMember"
"Kemanya Logistics and Freight Services Cc","209 Sam Nujoma Avenue , Erf 2691/16 Christian Eman Street, Walvis Bay, Namibia, 9000","+264812048824","","https://www.freightnet.com/profile/243942.htm","Yes"
"WELVIX GLOBAL LOGISTICS cc","Number 6, Railway Street, Office no: 2, Walvis bay Namibia , P.O.Box 652, WALVIS BAY NAMIBIA, WALVIS BAY  - 227, Erongo, 227","+264813028249","","https://www.freightnet.com/profile/167613.htm","Yes"
"Woker Freight Services (Pty) Ltd","2 Third Street, Walvis Bay, Namibia, 13013","+264 64 2012027","http://www.wfs.com.na/","https://www.freightnet.com/profile/189415.htm","Yes"
"Invictus Global Logistics (Pty) Ltd","Box 23283 , 24 Hoanib Street, Cimbebasia, Windhoek, Khomas, 9000","","","https://www.freightnet.com/profile/262727.htm","No"
"Pronto Global Air & Ocean Freight","John Ovenstone Street, Walvis Bay , 3 Diesel Street, Southern Industrial Area, Windhoek, Walvis Bay and Windhoek, Namibia, 9000","","","https://www.freightnet.com/profile/84147.htm","No"
"Nara Logistics cc","Nangolo Mbumba drive, no.215 , Walvis Bay, Namibia, 9000","","","https://www.freightnet.com/profile/253901.htm","No"
"OLM Freight and Logistics Ltd","2 third street ,PO box,, Walvis bay, Namibia, 13013","","","https://www.freightnet.com/profile/255130.htm","No"
"Brand Plan Advertising","℅ Tinie Louw and Etienne Rossouw str , Northern Industrial Area, Windhoek, Namibia, 10012","","","https://www.freightnet.com/profile/239131.htm","No"
"Vulogic Consulting CC","30 Alwyn Street , Windhoek, Namibia, 10023","","","https://www.freightnet.com/profile/226029.htm","No"
"BEBE General Traders","1131 Lanzarote street , Rockey Crest, Windhoek, Namibia, 9000","","","https://www.freightnet.com/profile/220560.htm","No"
"WELVIX GLOBAL LOGISTICS CC","P O Box 4165 , Walvis bay, Erongo, 0000","","","https://www.freightnet.com/profile/136317.htm","No"
"Woker freight services","1 Jeppe Street , Northern Industrial Area, Windhoek, Namibia, 9000","","","https://www.freightnet.com/profile/226828.htm","No"
"JL TRANSPORT SERVICES","965 NAGUIL STREET , WINDHOEK, NAMIBIA, 9000","","","https://www.freightnet.com/profile/183566.htm","No"
"Logistics Support Services","No 17 , 2nd Street East , Syncorlift Area, Walvis Bay, Namibia, Namibia","","","https://www.freightnet.com/profile/159020.htm","No"
"RAM(Pty)Ltd","4898 , Circumferential, Walvis Bay, Namibia, 13013","","","https://www.freightnet.com/profile/192344.htm","No"
"Procurement Freight Services","3115 Sam Nujoma Ave  , The Business Park Building, Walvis Bay, Namibia, 9000","","","https://www.freightnet.com/profile/109385.htm","No"
"ADM HEAVY HAULAGE CC","P O BOX 4128 , NO 56 EVERGREEN STREET, WALVIS BAY, Namibia, 9000","","","https://www.freightnet.com/profile/187525.htm","No"
"Logistics Support Services","c/o John Newman and Allen Dean Martin  , Walvis Bay, Erongo, 9000","","","https://www.freightnet.com/profile/192458.htm","No"
"MAA Imports & Exports CC","No. 4 Kalahari Street , Walvis Bay, Namibia, 9000","","","https://www.freightnet.com/profile/21546.htm","No"
"WELVIX GLOBAL LOGISTICS cc","P.O. BOX 1465, WINDHOEK , 7643, CDB, Franz Indongo street, Windhoek, Walvis bay, Namibia, 9000","","","https://www.freightnet.com/profile/159878.htm","No"
"Major key Logistics cc","Floor 2,Atlas house,Sam Nuuyoma drive,Windhoek, Namibia , 40 Schonlein street, Windhoek west, Windhoek, Namibia, Namibia, 282 Gobabis, Namibia","","","https://www.freightnet.com/profile/155243.htm","No"
"Condor Logistical Support & Services","Premises B, Nangolo Mbumba Drive , Walvis Bay, Namibia, 9000","","","https://www.freightnet.com/profile/152648.htm","No"
"Sea & Air Logistics Namibia CC","Room 3, 1st Floor , Unit 13, Kingland Park, Nickel Street, Windhoek, Khomas Region, 9000","","","https://www.freightnet.com/profile/109859.htm","No"
"Global Logistics clearing and forwarding","146 6th Street , Walvis Bay, Namibia, 9000","","","https://www.freightnet.com/profile/99648.htm","No"
"beacon shipping cc","no 7 sauerbruch street , windhoek west, windhoek, namibia, 9000","","","https://www.freightnet.com/profile/143748.htm","No"
